player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,week,position
Cooper KuppLAR,8.2,110.2,0.8,0.4,2.1,0.0,0.0,16.1,LAR,17,WR
Davante AdamsGB,7.6,96.1,0.8,0.0,0.1,0.0,0.0,14.4,GB,17,WR
Stefon DiggsBUF,6.3,82.2,0.7,0.0,0.0,0.0,0.0,12.6,BUF,17,WR
Tyreek HillKC,6.3,81.2,0.6,0.6,2.7,0.0,0.0,12.2,KC,17,WR
Justin JeffersonMIN,6.7,92.4,0.5,0.2,1.3,0.0,0.0,12.1,MIN,17,WR
Deebo SamuelSF,4.0,57.0,0.3,4.0,31.4,0.3,0.1,11.9,SF,17,WR
A.J. BrownTEN,5.9,81.7,0.6,0.0,0.4,0.0,0.0,11.6,TEN,17,WR
Tee HigginsCIN,5.6,78.7,0.6,0.0,0.3,0.0,0.0,11.4,CIN,17,WR
Diontae JohnsonPIT,6.6,73.9,0.6,0.5,2.6,0.0,0.1,11.0,PIT,17,WR
Ja'Marr ChaseCIN,5.1,71.9,0.6,0.2,1.4,0.0,0.0,10.7,CIN,17,WR
Keenan AllenLAC,6.4,72.8,0.6,0.0,0.1,0.0,0.0,10.6,LAC,17,WR
Tyler LockettSEA,5.1,70.4,0.6,0.0,0.0,0.0,0.0,10.3,SEA,17,WR
CeeDee LambDAL,5.3,67.4,0.5,0.5,2.9,0.0,0.0,10.3,DAL,17,WR
Brandin CooksHOU,5.9,71.7,0.5,0.3,1.3,0.0,0.0,10.2,HOU,17,WR
Jaylen WaddleMIA,6.6,69.2,0.5,0.1,0.5,0.0,0.1,9.8,MIA,17,WR
Amari CooperDAL,4.7,61.0,0.6,0.0,0.1,0.0,0.0,9.5,DAL,17,WR
Christian KirkARI,5.2,68.0,0.4,0.0,0.4,0.0,0.0,9.4,ARI,17,WR
Michael Pittman Jr.IND,5.0,61.8,0.5,0.4,2.1,0.0,0.0,9.4,IND,17,WR
Amon-Ra St. BrownDET,6.2,64.8,0.4,0.3,2.0,0.0,0.0,9.2,DET,17,WR
Hunter RenfrowLV,6.7,74.6,0.3,0.1,0.4,0.0,0.1,9.2,LV,17,WR
Odell Beckham Jr.LAR,4.0,55.2,0.5,0.4,1.8,0.0,0.0,8.9,LAR,17,WR
Mike WilliamsLAC,4.2,58.6,0.5,0.0,0.0,0.0,0.0,8.8,LAC,17,WR
Jarvis LandryCLE,4.8,58.6,0.4,0.4,2.2,0.0,0.0,8.7,CLE,17,WR
D.K. MetcalfSEA,4.4,62.5,0.4,0.0,0.0,0.0,0.0,8.5,SEA,17,WR
Darnell MooneyCHI,4.5,55.4,0.4,0.5,2.9,0.0,0.0,8.3,CHI,17,WR
DJ MooreCAR,5.2,67.7,0.2,0.2,0.9,0.0,0.0,8.0,CAR,17,WR
Marquise BrownBAL,5.7,63.6,0.3,0.0,0.1,0.0,0.0,7.8,BAL,17,WR
DeVonta SmithPHI,4.1,59.3,0.3,0.0,0.0,0.0,0.0,7.8,PHI,17,WR
