Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Davante AdamsGB,7.9,105.2,0.8,0.0,0.0,0.0,0.1,15.1
Tyreek HillKC,6.5,91.7,0.8,1.0,6.1,0.0,0.1,14.7
Cooper KuppLAR,7.1,88.6,0.8,0.3,1.2,0.0,0.1,13.6
Stefon DiggsBUF,6.4,87.9,0.7,0.0,0.2,0.0,0.1,12.8
Terry McLaurinWAS,6.1,86.0,0.7,0.0,0.3,0.0,0.1,12.6
DJ MooreCAR,6.3,87.4,0.6,0.5,3.1,0.0,0.1,12.5
Ja'Marr ChaseCIN,5.1,78.7,0.7,0.3,1.2,0.0,0.0,12.0
Justin JeffersonMIN,5.7,84.1,0.6,0.0,0.2,0.0,0.1,11.7
Diontae JohnsonPIT,6.8,79.5,0.6,0.1,0.6,0.0,0.1,11.7
Marquise BrownBAL,5.4,72.7,0.7,0.2,1.2,0.0,0.0,11.3
DeAndre HopkinsARI,6.0,75.5,0.6,0.0,0.1,0.0,0.1,11.3
Mike EvansTB,5.1,73.1,0.7,0.0,0.0,0.0,0.0,11.2
Mike WilliamsLAC,5.1,73.5,0.6,0.0,0.1,0.0,0.0,11.0
D.K. MetcalfSEA,5.2,77.7,0.6,0.0,0.2,0.0,0.1,11.0
DeVonta SmithPHI,5.5,75.8,0.6,0.1,0.3,0.0,0.1,10.8
Brandin CooksHOU,5.8,78.4,0.5,0.3,1.3,0.0,0.0,10.8
Keenan AllenLAC,6.7,75.5,0.5,0.0,0.3,0.0,0.1,10.7
Robert WoodsLAR,5.6,65.6,0.5,1.2,6.6,0.1,0.1,10.4
Courtland SuttonDEN,5.4,73.1,0.5,0.0,0.1,0.0,0.1,10.3
Chris GodwinTB,5.4,69.8,0.5,0.1,0.5,0.0,0.1,10.3
Amari CooperDAL,4.9,66.5,0.6,0.1,0.7,0.0,0.1,10.2
CeeDee LambDAL,5.3,71.4,0.5,0.7,3.9,0.0,0.1,10.2
Chase ClaypoolPIT,4.8,69.5,0.4,0.5,2.7,0.0,0.0,9.9
A.J. BrownTEN,4.7,64.4,0.6,0.3,1.5,0.0,0.0,9.9
Adam ThielenMIN,4.9,60.4,0.6,0.1,0.3,0.0,0.0,9.9
Emmanuel SandersBUF,4.6,61.0,0.6,0.1,0.5,0.0,0.0,9.6
Michael Pittman Jr.IND,5.1,65.4,0.5,0.2,1.1,0.0,0.0,9.5
Preston WilliamsMIA,4.0,63.0,0.5,0.0,0.0,0.0,0.0,9.3
Marvin Jones Jr.JAC,4.7,66.8,0.4,0.0,0.0,0.0,0.0,9.2
