,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,Atlanta Falcons,2.6,1.2,0.5,0.8,0.2,0.0,19.7,329.6,8.1
1,Las Vegas Raiders,2.9,1.0,0.6,0.7,0.2,0.0,19.4,316.4,8.0
2,New England Patriots,2.6,1.1,0.5,0.8,0.2,0.0,16.1,308.1,7.9
3,Tampa Bay Buccaneers,2.7,0.8,0.6,1.1,0.2,0.0,19.6,292.9,7.5
4,Baltimore Ravens,2.6,0.8,0.6,0.9,0.2,0.1,19.5,324.8,7.4
5,Pittsburgh Steelers,2.6,0.8,0.7,1.0,0.1,0.0,19.5,348.1,7.4
6,Minnesota Vikings,2.1,0.8,0.6,0.9,0.2,0.0,19.6,357.9,7.0
7,Arizona Cardinals,2.6,0.9,0.8,1.5,0.1,0.0,21.1,351.3,6.9
8,Washington Commanders,2.3,1.2,0.5,0.7,0.2,0.0,23.2,326.3,6.7
9,Philadelphia Eagles,2.8,0.9,0.6,0.7,0.1,0.0,24.5,347.9,6.6
10,Los Angeles Rams,3.2,0.7,0.6,0.8,0.1,0.1,24.8,344.4,6.6
11,Dallas Cowboys,2.7,0.8,0.7,1.0,0.2,0.0,21.6,358.8,6.6
12,Denver Broncos,1.7,0.9,0.5,0.6,0.2,0.1,19.1,308.5,6.5
13,Carolina Panthers,2.8,0.8,0.6,0.8,0.1,0.0,20.1,344.0,6.5
14,New Orleans Saints,2.0,1.1,0.6,0.8,0.2,0.1,20.2,325.9,6.3
15,Tennessee Titans,2.0,1.1,0.5,0.6,0.2,0.0,21.7,342.6,6.3
16,Green Bay Packers,2.5,0.8,0.6,0.9,0.1,0.0,23.8,340.7,6.3
17,Indianapolis Colts,2.3,0.8,0.7,1.0,0.1,0.1,26.1,366.5,6.2
18,San Francisco 49ers,2.2,0.9,0.6,0.9,0.1,0.0,27.6,364.6,6.1
19,Cleveland Browns,2.4,0.8,0.6,0.8,0.1,0.0,23.1,363.8,6.1
20,Chicago Bears,2.2,0.7,0.7,1.0,0.1,0.1,25.2,375.0,5.9
21,New York Jets,2.4,0.7,0.6,0.8,0.1,0.0,23.1,341.4,5.7
22,Seattle Seahawks,2.3,0.7,0.6,0.8,0.1,0.0,25.8,385.8,5.7
23,Houston Texans,2.1,0.8,0.6,0.8,0.1,0.0,22.9,362.9,5.7
24,Kansas City Chiefs,2.0,0.8,0.6,0.9,0.2,0.0,26.8,392.9,5.6
25,Los Angeles Chargers,2.0,0.8,0.5,0.8,0.1,0.0,21.7,358.4,5.5
26,Jacksonville Jaguars,2.1,0.7,0.6,0.7,0.1,0.0,26.0,403.1,5.3
27,Buffalo Bills,1.7,0.8,0.6,1.1,0.1,0.0,26.8,373.3,5.3
28,Detroit Lions,2.1,0.6,0.6,0.9,0.1,0.0,28.8,401.2,5.3
29,Miami Dolphins,1.8,0.7,0.6,1.1,0.1,0.0,28.3,392.4,5.3
30,New York Giants,1.8,0.6,0.6,1.0,0.1,0.0,29.2,401.6,5.2
31,Cincinnati Bengals,1.8,0.5,0.5,0.8,0.1,0.0,25.6,366.9,4.7
