,Player,FG,FGA,XPT,FPTS
0,Rodrigo BlankenshipIND,2.0,2.0,3.0,9.0
1,Ryan SuccopTB,1.8,2.2,3.1,8.7
2,Matt GayLAR,1.8,2.1,2.8,8.2
3,Ryan SantosoLAR,2.1,2.4,1.9,8.2
4,Mason CrosbyGB,2.0,2.3,2.3,8.1
5,Justin TuckerBAL,1.8,2.1,2.7,8.1
6,Harrison ButkerKC,1.6,1.8,3.2,8.1
7,Tyler BassBUF,1.6,2.0,3.1,8.0
8,Greg ZuerleinDAL,1.8,2.2,2.4,7.9
9,Nick FolkNE,1.9,2.3,2.0,7.8
10,Chris BoswellPIT,1.8,2.2,2.3,7.8
11,Michael BadgleyIND,1.7,2.3,2.6,7.7
12,Brandon McManusDEN,1.7,2.0,2.5,7.7
13,Evan McPhersonCIN,1.7,2.0,2.5,7.6
14,Randy BullockTEN,1.8,2.0,2.2,7.4
15,Dustin HopkinsLAC,1.6,2.0,2.6,7.4
16,Greg JosephMIN,1.7,2.0,2.3,7.3
17,Graham GanoNYG,1.7,2.0,2.1,7.2
18,Jason SandersMIA,1.6,1.9,2.2,7.2
19,Daniel CarlsonLV,1.8,2.1,1.9,7.1
20,Chase McLaughlinCLE,1.6,1.8,2.4,7.0
21,Jake ElliottPHI,1.7,2.0,1.8,6.9
22,Cairo SantosCHI,1.7,1.9,1.9,6.9
23,Jason MyersSEA,1.6,1.8,2.1,6.8
24,Matt PraterARI,1.4,1.7,2.5,6.7
25,Matthew WrightJAC,1.3,1.4,2.2,6.0
26,Ka'imi FairbairnHOU,1.3,1.5,1.8,5.7
