,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,39.1,25.4,285.7,2.0,0.9,6.0,30.5,0.5,0.3,23.6
1,Patrick Mahomes IIKC,38.2,24.9,281.6,2.1,0.5,4.2,22.6,0.2,0.2,22.0
2,Dak PrescottDAL,37.9,25.5,294.9,2.1,0.6,3.1,13.4,0.1,0.3,21.4
3,Justin HerbertLAC,38.4,25.5,279.8,2.0,0.9,4.3,22.6,0.2,0.2,21.1
4,Kyler MurrayARI,33.3,22.6,254.4,1.8,0.9,7.1,30.8,0.3,0.2,20.9
5,Taysom HillNO,29.9,18.7,218.7,1.3,1.0,8.9,49.3,0.6,0.3,20.8
6,Aaron RodgersGB,35.2,23.2,275.7,2.1,0.3,2.4,11.4,0.1,0.2,20.5
7,Cam NewtonCAR,31.7,20.2,221.6,1.2,1.0,7.6,34.8,0.6,0.2,19.3
8,Matthew StaffordLAR,36.0,24.2,284.4,1.9,0.6,1.7,6.1,0.0,0.1,18.8
9,Russell WilsonSEA,29.7,20.1,240.1,1.8,0.6,3.9,21.6,0.1,0.2,18.3
10,Kirk CousinsMIN,35.2,23.6,274.0,1.8,0.7,1.5,6.6,0.1,0.2,18.1
11,Ryan TannehillTEN,31.2,20.8,238.1,1.6,0.6,3.6,18.6,0.2,0.2,17.9
12,Jimmy GaroppoloSF,33.1,22.0,273.5,1.7,0.7,2.0,5.6,0.1,0.2,17.7
13,Taylor HeinickeWAS,35.6,23.2,250.5,1.5,1.1,3.8,21.1,0.1,0.2,17.4
14,Derek CarrLV,36.5,24.1,282.9,1.5,0.8,2.4,9.5,0.1,0.2,17.2
15,Justin FieldsCHI,31.8,19.2,214.8,1.0,1.1,6.9,35.8,0.2,0.4,15.1
16,Trevor LawrenceJAC,34.4,20.9,222.0,1.0,0.8,3.8,19.2,0.1,0.2,14.4
17,Matt RyanATL,34.6,23.3,242.8,1.2,0.9,1.7,6.3,0.1,0.2,14.2
18,Zach WilsonNYJ,33.8,20.3,229.3,1.2,1.3,2.0,7.8,0.1,0.2,13.4
19,Davis MillsHOU,34.5,22.3,243.3,1.0,1.0,2.0,7.8,0.0,0.2,13.3
20,Jared GoffDET,34.1,21.3,228.3,1.0,0.8,1.3,5.2,0.0,0.3,12.3
21,Trey LanceSF,0.6,0.4,5.2,0.0,0.0,1.6,8.1,0.1,0.0,1.6
22,Trevor SiemianNO,2.6,1.5,16.4,0.2,0.0,0.1,0.7,0.0,0.0,1.3
23,Drew LockDEN,1.4,0.9,11.4,0.1,0.0,0.3,1.2,0.0,0.0,1.0
24,Chase DanielLAC,1.7,1.1,11.4,0.1,0.0,0.2,1.1,0.0,0.0,1.0
25,Mitchell TrubiskyBUF,1.5,1.0,10.6,0.1,0.0,0.3,1.1,0.0,0.0,0.9
26,Chad HenneKC,1.6,1.0,10.6,0.1,0.0,0.2,1.0,0.0,0.0,0.9
27,Geno SmithSEA,1.2,0.8,9.9,0.1,0.0,0.2,1.1,0.0,0.0,0.9
28,Jordan LoveGB,1.4,0.8,9.6,0.1,0.0,0.3,1.1,0.0,0.0,0.9
29,Mason RudolphPIT,1.4,0.9,9.5,0.1,0.0,0.3,1.0,0.0,0.0,0.9
30,Brandon AllenCIN,1.3,0.9,9.2,0.1,0.0,0.3,1.0,0.0,0.0,0.9
31,Case KeenumCLE,1.2,0.8,9.6,0.1,0.0,0.1,0.7,0.0,0.0,0.9
32,Colt McCoyARI,1.3,0.9,9.4,0.1,0.0,0.2,0.7,0.0,0.0,0.8
33,Cooper RushDAL,1.5,0.9,9.9,0.1,0.0,0.3,0.2,0.0,0.0,0.8
34,Blaine GabbertTB,1.7,0.9,9.7,0.1,0.0,0.2,0.2,0.0,0.0,0.8
35,P.J. WalkerCAR,1.4,0.9,9.6,0.1,0.1,0.3,1.1,0.0,0.0,0.8
36,Kyle AllenWAS,1.4,0.9,9.7,0.1,0.1,0.1,0.6,0.0,0.0,0.7
37,Mike WhiteNYJ,1.3,0.8,8.7,0.1,0.1,0.2,0.1,0.0,0.0,0.7
38,Marcus MariotaLV,0.8,0.5,5.8,0.1,0.0,0.2,1.1,0.0,0.0,0.5
39,Joe FlaccoNYJ,1.3,0.8,9.1,0.1,0.1,0.2,0.7,0.0,0.1,0.5
40,John WolfordLAR,1.5,0.9,9.6,0.0,0.0,0.3,1.1,0.0,0.0,0.5
41,C.J. BeathardJAC,1.5,0.8,8.2,0.0,0.0,0.2,0.9,0.0,0.0,0.4
42,Tyler HuntleyBAL,1.3,0.8,8.8,0.0,0.1,0.3,1.5,0.0,0.0,0.4
43,Tyrod TaylorHOU,1.3,0.9,9.4,0.0,0.1,0.2,0.8,0.0,0.0,0.4
44,Tim BoyleDET,1.4,0.8,7.7,0.0,0.0,0.2,0.2,0.0,0.0,0.3
45,Jake FrommNYG,1.0,0.5,5.2,0.0,0.0,0.1,0.2,0.0,0.0,0.2
46,Logan WoodsideTEN,0.6,0.4,4.9,0.0,0.0,0.3,0.3,0.0,0.0,0.2
47,Feleipe FranksATL,0.9,0.6,5.4,0.0,0.1,0.2,0.9,0.0,0.0,0.2
48,Sean MannionMIN,0.6,0.3,3.7,0.0,0.0,0.1,0.1,0.0,0.0,0.2
49,Davis WebbNYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
