,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Austin EkelerLAC,14.5,63.7,0.6,5.4,45.2,0.3,0.1,16.3
1,Alvin KamaraNO,15.9,67.5,0.6,4.9,43.6,0.2,0.1,15.7
2,Najee HarrisPIT,18.0,71.6,0.5,4.0,30.7,0.1,0.1,14.0
3,Dalvin CookMIN,16.3,76.5,0.6,2.8,22.3,0.1,0.1,13.8
4,Antonio GibsonWAS,17.4,74.1,0.6,3.3,24.1,0.1,0.1,13.6
5,Ezekiel ElliottDAL,16.7,68.0,0.6,3.4,24.4,0.1,0.1,13.4
6,Javonte WilliamsDEN,15.2,69.3,0.5,2.7,23.4,0.2,0.1,13.0
7,Sony MichelLAR,17.1,73.9,0.5,2.4,18.5,0.1,0.1,12.8
8,Josh JacobsLV,15.0,62.0,0.5,4.2,30.3,0.1,0.1,12.7
9,Nick ChubbCLE,14.9,74.3,0.6,1.7,14.1,0.1,0.1,12.5
10,David MontgomeryCHI,16.1,66.5,0.5,2.8,21.1,0.1,0.1,11.8
11,Cordarrelle PattersonATL,12.7,57.9,0.3,3.3,31.6,0.2,0.1,11.7
12,James ConnerARI,15.3,57.9,0.7,1.9,15.0,0.1,0.1,11.5
13,Saquon BarkleyNYG,13.1,57.9,0.4,3.3,22.9,0.1,0.1,11.0
14,AJ DillonGB,12.9,54.9,0.3,2.3,19.8,0.3,0.1,10.6
15,D'Onta ForemanTEN,15.1,66.1,0.5,1.0,10.3,0.0,0.2,10.5
16,Chuba HubbardCAR,15.1,57.5,0.5,2.0,16.2,0.1,0.1,10.4
17,Devonta FreemanBAL,12.4,53.0,0.4,2.5,18.4,0.1,0.1,10.1
18,Jeff Wilson Jr.SF,13.7,57.1,0.5,1.2,10.6,0.1,0.1,9.9
19,Melvin Gordon IIIDEN,11.6,50.5,0.4,1.7,13.0,0.1,0.1,8.9
20,Rex BurkheadHOU,12.0,46.0,0.2,2.3,19.8,0.1,0.1,8.4
21,Alex CollinsSEA,11.3,49.8,0.3,0.9,6.9,0.0,0.1,7.6
22,Ty JohnsonNYJ,9.8,35.3,0.2,2.8,23.7,0.1,0.1,7.5
23,Godwin IgwebuikeDET,8.1,40.5,0.2,2.2,18.1,0.1,0.1,7.0
24,Austin WalterNYJ,8.3,36.0,0.2,1.9,16.7,0.1,0.1,6.9
25,Dontrell HilliardTEN,8.1,35.3,0.2,2.1,18.1,0.1,0.2,6.9
26,Devin SingletaryBUF,9.2,39.8,0.2,2.2,14.0,0.1,0.1,6.6
27,Darrel WilliamsKC,6.3,24.8,0.2,2.5,22.1,0.1,0.1,6.5
28,Jermar JeffersonDET,10.2,39.6,0.2,1.7,13.4,0.0,0.1,6.5
29,Alexander MattisonMIN,8.3,32.9,0.2,1.9,16.1,0.1,0.1,6.2
30,Rashaad PennySEA,8.8,37.4,0.2,1.0,8.4,0.0,0.0,5.8
31,Ameer AbdullahCAR,5.7,20.3,0.1,2.5,19.5,0.1,0.1,5.1
32,Mike DavisATL,6.6,24.2,0.1,2.6,17.2,0.1,0.1,5.1
