,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.2,75.4,0.6,0.1,11.1
1,Mark AndrewsBAL,6.3,73.2,0.5,0.1,10.5
2,George KittleSF,5.4,69.7,0.5,0.1,9.8
3,Rob GronkowskiTB,5.0,63.2,0.6,0.0,9.6
4,Darren WallerLV,5.1,63.9,0.5,0.1,9.3
5,Zach ErtzARI,5.5,57.3,0.3,0.0,7.5
6,Dawson KnoxBUF,3.6,41.2,0.5,0.0,7.1
7,Kyle PittsATL,4.8,59.7,0.2,0.0,7.0
8,Hunter HenryNE,3.0,32.9,0.4,0.0,5.7
9,Dalton SchultzDAL,3.9,40.6,0.2,0.0,5.5
10,Noah FantDEN,4.0,42.4,0.2,0.0,5.3
11,Mike GesickiMIA,3.9,40.6,0.2,0.0,5.0
12,Tyler ConklinMIN,3.5,36.3,0.2,0.0,4.9
13,Tyler HigbeeLAR,3.6,36.4,0.2,0.0,4.9
14,Pat FreiermuthPIT,3.5,34.1,0.2,0.0,4.5
15,Jared CookLAC,2.5,28.9,0.3,0.0,4.4
16,Cole KmetCHI,3.4,34.6,0.1,0.0,4.3
17,Gerald EverettSEA,2.9,31.1,0.2,0.0,4.0
18,Austin HooperCLE,2.8,27.6,0.2,0.0,3.8
19,Evan EngramNYG,2.9,29.7,0.1,0.0,3.7
20,John BatesWAS,2.6,27.8,0.1,0.0,3.6
21,C.J. UzomahCIN,2.7,25.1,0.1,0.0,3.3
22,Adam TrautmanNO,2.3,25.1,0.1,0.0,3.3
23,David NjokuCLE,2.0,23.4,0.1,0.0,3.2
24,Tyler KroftNYJ,2.5,26.1,0.1,0.0,3.1
25,Mo Alie-CoxIND,2.0,22.2,0.1,0.0,3.1
26,Tyree JacksonPHI,2.2,22.8,0.1,0.0,3.0
27,Albert OkwuegbunamDEN,2.1,23.5,0.1,0.0,3.0
28,Brevin JordanHOU,2.4,23.1,0.1,0.0,3.0
29,Josiah DeguaraGB,2.1,19.9,0.1,0.0,2.8
30,Tommy TrembleCAR,2.1,21.8,0.1,0.0,2.5
31,Anthony FirkserTEN,1.8,18.9,0.1,0.0,2.5
32,Foster MoreauLV,1.6,17.4,0.1,0.0,2.4
33,Brock WrightDET,1.7,18.3,0.1,0.0,2.4
34,Geoff SwaimTEN,1.8,16.7,0.1,0.0,2.4
35,Jonnu SmithNE,1.5,17.0,0.1,0.0,2.3
36,Richard RodgersPHI,1.5,16.5,0.1,0.0,2.2
37,Juwan JohnsonNO,1.6,18.5,0.1,0.0,2.2
38,Hayden HurstATL,1.8,16.7,0.1,0.0,2.1
39,Pharaoh BrownHOU,1.7,15.9,0.1,0.0,2.1
40,Jack DoyleIND,1.2,12.7,0.1,0.0,1.9
41,Jared PinkneyDET,1.4,14.3,0.1,0.0,1.9
42,Cameron BrateTB,1.4,13.1,0.1,0.0,1.9
43,Durham SmytheMIA,1.5,14.5,0.1,0.0,1.8
44,Luke FarrellJAC,1.4,15.5,0.0,0.0,1.8
45,Kyle RudolphNYG,1.2,13.0,0.1,0.0,1.7
46,Jacob HollisterJAC,1.5,13.1,0.1,0.0,1.7
47,Kenny YeboahNYJ,1.2,13.0,0.1,0.0,1.6
48,Marcedes LewisGB,1.2,13.8,0.0,0.0,1.6
49,Sean McKeonDAL,1.0,10.5,0.1,0.0,1.5
50,Blake JarwinDAL,1.1,10.3,0.1,0.0,1.5
51,Noah TogiaiPHI,1.0,10.4,0.1,0.0,1.5
52,Ian ThomasCAR,1.2,11.2,0.1,0.0,1.4
53,Nick VannettNO,1.0,9.9,0.1,0.0,1.4
54,Stephen AndersonLAC,1.0,10.0,0.1,0.0,1.4
55,Will DisslySEA,1.0,10.6,0.1,0.0,1.4
56,Jimmy GrahamCHI,0.9,10.4,0.1,0.0,1.4
57,Zach GentryPIT,0.9,9.4,0.1,0.0,1.2
58,Chris ManhertzJAC,1.0,9.8,0.0,0.0,1.2
59,Harrison BryantCLE,0.8,8.6,0.0,0.0,1.1
60,Tre' McKittyLAC,0.9,8.5,0.0,0.0,1.1
61,Mitchell WilcoxCIN,0.8,7.6,0.0,0.0,1.0
62,Noah GrayKC,0.8,7.2,0.0,0.0,0.9
63,Parker HesseATL,0.9,9.0,0.0,0.0,0.9
64,O.J. HowardTB,0.6,8.5,0.0,0.0,0.9
65,Adam ShaheenMIA,0.9,8.0,0.0,0.0,0.8
66,Dominique DafneyGB,0.5,5.3,0.0,0.0,0.7
67,Kylen GransonIND,0.5,5.0,0.0,0.0,0.7
68,Drew SampleCIN,0.7,5.6,0.0,0.0,0.7
69,Jesse JamesCHI,0.5,4.7,0.0,0.0,0.6
70,Stephen SullivanCAR,0.5,5.0,0.0,0.0,0.5
71,Blake BellKC,0.3,3.5,0.0,0.0,0.5
72,Josh OliverBAL,0.4,4.0,0.0,0.0,0.4
73,Ryan IzzoTEN,0.3,4.0,0.0,0.0,0.4
74,Kendall BlantonLAR,0.3,3.0,0.0,0.0,0.3
75,David WellsARI,0.3,3.0,0.0,0.0,0.3
76,Darrell DanielsARI,0.2,2.0,0.0,0.0,0.2
77,Nick BowersLV,0.2,2.0,0.0,0.0,0.2
78,Antony AuclairHOU,0.2,2.0,0.0,0.0,0.2
79,Eric SaubertDEN,0.2,2.0,0.0,0.0,0.2
80,Kevin RaderPIT,0.2,2.0,0.0,0.0,0.2
81,Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
82,Charlie WoernerSF,0.1,1.0,0.0,0.0,0.1
83,Colby ParkinsonSEA,0.1,1.0,0.0,0.0,0.1
84,Tyler MabrySEA,0.1,1.0,0.0,0.0,0.1
85,Jeremy SprinkleDAL,0.1,1.0,0.0,0.0,0.1
86,Brycen HopkinsLAR,0.1,1.0,0.0,0.0,0.1
87,Ross DwelleySF,0.0,0.0,0.0,0.0,0.0
88,Cethan CarterMIA,0.0,0.0,0.0,0.0,0.0
89,Luke StockerMIN,0.0,0.0,0.0,0.0,0.0
90,J.P. HoltzCHI,0.0,0.0,0.0,0.0,0.0
