,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
0,Cooper KuppLAR,7.7,104.4,0.9,0.1,0.2,0.0,0.1,15.7
1,Tyreek HillKC,6.6,88.0,0.7,0.9,6.2,0.0,0.1,13.8
2,Cordarrelle PattersonATL,4.0,43.6,0.7,9.2,30.3,0.3,0.1,13.2
3,Stefon DiggsBUF,6.6,87.1,0.7,0.0,0.3,0.0,0.1,12.7
4,A.J. BrownTEN,6.2,89.4,0.6,0.2,1.0,0.0,0.1,12.6
5,Davante AdamsGB,6.8,89.6,0.6,0.0,0.0,0.0,0.1,12.5
6,Ja'Marr ChaseCIN,5.3,79.9,0.7,0.4,2.1,0.0,0.0,12.3
7,Justin JeffersonMIN,6.4,90.2,0.6,0.0,0.0,0.0,0.1,12.2
8,Deebo SamuelSF,5.5,80.3,0.5,0.8,5.6,0.0,0.1,11.9
9,CeeDee LambDAL,5.8,79.5,0.6,0.4,2.5,0.0,0.1,11.7
10,Marquise BrownBAL,5.3,74.5,0.7,0.0,0.3,0.0,0.0,11.5
11,Diontae JohnsonPIT,6.9,78.8,0.6,0.3,2.0,0.0,0.1,11.4
12,Amari CooperDAL,5.3,73.3,0.7,0.0,0.2,0.0,0.1,11.2
13,Mike WilliamsLAC,5.1,72.4,0.6,0.0,0.1,0.0,0.0,10.6
14,Brandin CooksHOU,5.8,76.1,0.5,0.1,0.3,0.0,0.1,10.5
15,Michael Pittman Jr.IND,5.5,71.4,0.6,0.2,0.9,0.0,0.1,10.5
16,DJ MooreCAR,5.5,76.8,0.4,0.3,2.0,0.0,0.1,10.4
17,Cole BeasleyBUF,5.5,64.6,0.6,0.0,0.0,0.0,0.1,9.7
18,Jaylen WaddleMIA,5.8,64.7,0.5,0.3,1.7,0.0,0.1,9.6
19,Courtland SuttonDEN,4.9,70.6,0.4,0.0,0.1,0.0,0.0,9.6
20,Jarvis LandryCLE,5.4,65.6,0.4,0.6,3.2,0.0,0.1,9.5
21,Keenan AllenLAC,6.5,72.7,0.3,0.0,0.1,0.0,0.1,9.2
22,Hunter RenfrowLV,5.4,61.4,0.4,0.0,0.0,0.0,0.1,8.7
23,Chase ClaypoolPIT,4.2,59.6,0.3,0.7,3.8,0.0,0.0,8.2
24,Christian KirkARI,4.7,57.9,0.3,0.1,0.6,0.0,0.0,7.5
25,Marvin Jones Jr.JAC,4.7,57.9,0.3,0.0,0.0,0.0,0.0,7.5
26,Jamison CrowderNYJ,5.3,59.1,0.3,0.0,0.1,0.0,0.1,7.4
27,Julio JonesTEN,4.2,58.7,0.2,0.0,0.0,0.0,0.0,7.2
28,DeVonta SmithPHI,4.4,56.4,0.2,0.0,0.1,0.0,0.0,7.0
29,Jakobi MeyersNE,5.6,59.7,0.2,0.0,0.1,0.0,0.1,7.0
30,Jerry JeudyDEN,4.1,56.3,0.2,0.3,1.4,0.0,0.0,6.9
31,Kenny GolladayNYG,3.6,51.5,0.3,0.0,0.0,0.0,0.0,6.6
32,Tyler BoydCIN,4.2,48.9,0.3,0.0,0.4,0.0,0.0,6.6
33,Van JeffersonLAR,3.4,47.6,0.3,0.0,0.0,0.0,0.0,6.5
34,Bryan EdwardsLV,3.3,51.2,0.2,0.0,0.0,0.0,0.0,6.5
35,Darnell MooneyCHI,4.3,52.7,0.2,0.1,0.3,0.0,0.0,6.4
36,Marquez CallawayNO,3.5,46.8,0.3,0.0,0.0,0.0,0.0,6.3
37,Rashod BatemanBAL,3.6,48.7,0.2,0.0,0.3,0.0,0.0,6.1
38,Zach PascalIND,3.5,42.9,0.3,0.0,0.1,0.0,0.0,6.1
39,Allen Robinson IICHI,3.9,49.2,0.2,0.0,0.0,0.0,0.0,5.9
40,Tim PatrickDEN,3.4,46.0,0.2,0.0,0.0,0.0,0.0,5.9
41,Mecole HardmanKC,3.5,43.5,0.2,0.6,3.6,0.0,0.1,5.8
42,Nelson AgholorNE,3.3,42.5,0.2,0.2,1.1,0.0,0.0,5.7
43,Laviska Shenault Jr.JAC,4.2,43.8,0.1,0.7,3.7,0.0,0.0,5.6
44,Russell GageATL,4.2,44.5,0.2,0.0,0.2,0.0,0.0,5.5
45,Tre'Quan SmithNO,2.7,37.2,0.3,0.1,0.4,0.0,0.0,5.5
46,Darius SlaytonNYG,3.0,41.2,0.2,0.0,0.1,0.0,0.0,5.4
47,Donovan Peoples-JonesCLE,2.5,39.2,0.2,0.0,0.1,0.0,0.1,5.2
48,Robby AndersonCAR,3.3,39.5,0.2,0.1,0.3,0.0,0.0,5.2
49,K.J. OsbornMIN,3.1,39.9,0.2,0.1,0.5,0.0,0.0,5.1
50,Brandon AiyukSF,3.0,36.0,0.2,0.4,2.2,0.0,0.0,4.9
51,Nico CollinsHOU,2.9,37.1,0.2,0.0,0.1,0.0,0.0,4.7
52,Cedrick Wilson Jr.DAL,2.2,29.3,0.3,0.2,0.8,0.0,0.0,4.6
53,Deonte HartyNO,2.7,33.3,0.2,0.2,2.0,0.0,0.0,4.6
54,Quez WatkinsPHI,2.8,38.1,0.1,0.0,0.0,0.0,0.0,4.6
55,Elijah MooreNYJ,2.8,34.9,0.1,0.5,2.4,0.0,0.0,4.6
56,Marquez Valdes-ScantlingGB,2.1,33.6,0.2,0.1,0.3,0.0,0.0,4.5
57,Rashard HigginsCLE,2.5,35.3,0.2,0.0,0.0,0.0,0.0,4.5
58,Allen LazardGB,2.7,34.1,0.2,0.0,0.3,0.0,0.0,4.5
59,Kendrick BourneNE,2.6,32.5,0.2,0.1,1.1,0.0,0.0,4.3
60,Jalen ReagorPHI,2.4,27.6,0.2,0.5,2.9,0.0,0.0,4.0
61,Denzel MimsNYJ,2.3,32.3,0.1,0.0,0.0,0.0,0.0,4.0
62,Gabriel DavisBUF,1.6,24.6,0.2,0.0,0.0,0.0,0.0,3.8
63,Tajae SharpeATL,2.6,30.9,0.1,0.0,0.0,0.0,0.0,3.8
64,Keelan Cole Sr.NYJ,2.1,28.9,0.1,0.0,0.1,0.0,0.0,3.6
65,Danny AmendolaHOU,2.5,28.5,0.1,0.0,0.0,0.0,0.0,3.6
66,Antoine WesleyARI,2.2,25.3,0.1,0.0,0.0,0.0,0.0,3.4
67,Mack HollinsMIA,1.9,25.1,0.1,0.0,0.0,0.0,0.0,3.3
68,Olamide ZaccheausATL,2.0,26.3,0.1,0.0,0.1,0.0,0.0,3.3
69,Randall CobbGB,2.1,24.5,0.1,0.1,0.3,0.0,0.0,3.3
70,Zay JonesLV,1.9,23.4,0.1,0.0,0.1,0.0,0.0,3.2
71,Jalen GuytonLAC,1.8,23.7,0.1,0.4,2.1,0.0,0.0,3.2
72,Ashton DulinIND,1.9,20.5,0.1,0.1,0.0,0.0,0.0,2.9
73,Demarcus RobinsonKC,1.5,19.5,0.1,0.0,0.0,0.0,0.0,2.8
74,Devin DuvernayBAL,1.6,19.5,0.1,0.3,1.9,0.0,0.0,2.7
75,Chris ConleyHOU,1.4,20.4,0.1,0.0,0.0,0.0,0.0,2.7
76,Byron PringleKC,1.6,20.2,0.1,0.0,0.0,0.0,0.0,2.7
