team,opponent,week,home,year
ARI,LAC,1,True,2014
ARI,NYG,2,False,2014
ARI,SF,3,True,2014
ARI,BYE,4,,2014
ARI,DEN,5,False,2014
ARI,WAS,6,True,2014
ARI,LV,7,False,2014
ARI,PHI,8,True,2014
ARI,DAL,9,False,2014
ARI,LAR,10,True,2014
ARI,DET,11,True,2014
ARI,SEA,12,False,2014
ARI,ATL,13,False,2014
ARI,KC,14,True,2014
ARI,LAR,15,False,2014
ARI,SEA,16,True,2014
ARI,SF,17,False,2014
ATL,NO,1,True,2014
ATL,CIN,2,False,2014
ATL,TB,3,True,2014
ATL,MIN,4,False,2014
ATL,NYG,5,False,2014
ATL,CHI,6,True,2014
ATL,BAL,7,False,2014
ATL,DET,8,True,2014
ATL,BYE,9,,2014
ATL,TB,10,False,2014
ATL,CAR,11,False,2014
ATL,CLE,12,True,2014
ATL,ARI,13,True,2014
ATL,GB,14,False,2014
ATL,PIT,15,True,2014
ATL,NO,16,False,2014
ATL,CAR,17,True,2014
BAL,CIN,1,True,2014
BAL,PIT,2,True,2014
BAL,CLE,3,False,2014
BAL,CAR,4,True,2014
BAL,IND,5,False,2014
BAL,TB,6,False,2014
BAL,ATL,7,True,2014
BAL,CIN,8,False,2014
BAL,PIT,9,False,2014
BAL,TEN,10,True,2014
BAL,BYE,11,,2014
BAL,NO,12,False,2014
BAL,LAC,13,True,2014
BAL,MIA,14,False,2014
BAL,JAC,15,True,2014
BAL,HOU,16,False,2014
BAL,CLE,17,True,2014
BUF,CHI,1,False,2014
BUF,MIA,2,True,2014
BUF,LAC,3,True,2014
BUF,HOU,4,False,2014
BUF,DET,5,False,2014
BUF,NE,6,True,2014
BUF,MIN,7,True,2014
BUF,NYJ,8,False,2014
BUF,BYE,9,,2014
BUF,KC,10,True,2014
BUF,MIA,11,False,2014
BUF,NYJ,12,True,2014
BUF,CLE,13,True,2014
BUF,DEN,14,False,2014
BUF,GB,15,True,2014
BUF,LV,16,False,2014
BUF,NE,17,False,2014
CAR,TB,1,False,2014
CAR,DET,2,True,2014
CAR,PIT,3,True,2014
CAR,BAL,4,False,2014
CAR,CHI,5,True,2014
CAR,CIN,6,False,2014
CAR,GB,7,False,2014
CAR,SEA,8,True,2014
