team,opponent,week,home
ARI,SF,1,False
ARI,WAS,2,True
ARI,DET,3,True
ARI,CAR,4,False
ARI,NYJ,5,False
ARI,DAL,6,False
ARI,SEA,7,True
ARI,BYE,8,
ARI,MIA,9,True
ARI,BUF,10,True
ARI,SEA,11,False
ARI,NE,12,False
ARI,LAR,13,True
ARI,NYG,14,False
ARI,PHI,15,True
ARI,SF,16,True
ARI,LAR,17,False
ATL,SEA,1,True
ATL,DAL,2,False
ATL,CHI,3,True
ATL,GB,4,False
ATL,CAR,5,True
ATL,MIN,6,False
ATL,DET,7,True
ATL,CAR,8,False
ATL,DEN,9,True
ATL,BYE,10,
ATL,NO,11,False
ATL,LV,12,True
ATL,NO,13,True
ATL,LAC,14,False
ATL,TB,15,True
ATL,KC,16,False
ATL,TB,17,False
BAL,CLE,1,True
BAL,HOU,2,False
BAL,KC,3,True
BAL,WAS,4,False
BAL,CIN,5,True
BAL,PHI,6,False
BAL,BYE,7,
BAL,PIT,8,True
BAL,IND,9,False
BAL,NE,10,False
BAL,TEN,11,True
BAL,PIT,12,False
BAL,DAL,13,True
BAL,CLE,14,False
BAL,JAC,15,True
BAL,NYG,16,True
BAL,CIN,17,False
BUF,NYJ,1,True
BUF,MIA,2,False
BUF,LAR,3,True
BUF,LV,4,False
BUF,TEN,5,False
BUF,KC,6,True
BUF,NYJ,7,False
BUF,NE,8,True
BUF,SEA,9,True
BUF,ARI,10,False
BUF,BYE,11,
BUF,LAC,12,True
BUF,SF,13,False
BUF,PIT,14,True
BUF,DEN,15,False
BUF,NE,16,False
BUF,MIA,17,True
CAR,LV,1,True
CAR,TB,2,False
CAR,LAC,3,False
CAR,ARI,4,True
CAR,ATL,5,False
CAR,CHI,6,True
CAR,NO,7,False
CAR,ATL,8,True
CAR,KC,9,False
CAR,TB,10,True
CAR,DET,11,True
CAR,MIN,12,False
CAR,BYE,13,
CAR,DEN,14,True
CAR,GB,15,False
CAR,WAS,16,False
CAR,NO,17,True
CHI,DET,1,False
CHI,NYG,2,True
CHI,ATL,3,False
CHI,IND,4,True
CHI,TB,5,True
CHI,CAR,6,False
CHI,LAR,7,False
CHI,NO,8,True
CHI,TEN,9,False
CHI,MIN,10,True
CHI,BYE,11,
CHI,GB,12,False
CHI,DET,13,True
CHI,HOU,14,True
CHI,MIN,15,False
CHI,JAC,16,False
CHI,GB,17,True
CIN,LAC,1,True
CIN,CLE,2,False
CIN,PHI,3,False
CIN,JAC,4,True
CIN,BAL,5,False
CIN,IND,6,False
CIN,CLE,7,True
CIN,TEN,8,True
CIN,BYE,9,
CIN,PIT,10,False
CIN,WAS,11,False
CIN,NYG,12,True
CIN,MIA,13,False
CIN,DAL,14,True
CIN,PIT,15,True
CIN,HOU,16,False
CIN,BAL,17,True
CLE,BAL,1,False
CLE,CIN,2,True
CLE,WAS,3,True
CLE,DAL,4,False
CLE,IND,5,True
CLE,PIT,6,False
CLE,CIN,7,False
CLE,LV,8,True
CLE,BYE,9,
CLE,HOU,10,True
CLE,PHI,11,True
CLE,JAC,12,False
CLE,TEN,13,False
CLE,BAL,14,True
CLE,NYG,15,False
CLE,NYJ,16,False
CLE,PIT,17,True
DAL,LAR,1,False
DAL,ATL,2,True
DAL,SEA,3,False
DAL,CLE,4,True
DAL,NYG,5,True
DAL,ARI,6,True
DAL,WAS,7,False
DAL,PHI,8,False
DAL,PIT,9,True
DAL,BYE,10,
DAL,MIN,11,False
DAL,WAS,12,True
DAL,BAL,13,False
DAL,CIN,14,False
DAL,SF,15,True
DAL,PHI,16,True
DAL,NYG,17,False
DEN,TEN,1,True
DEN,PIT,2,False
DEN,TB,3,True
DEN,NYJ,4,False
DEN,BYE,5,
DEN,NE,6,False
DEN,KC,7,True
DEN,LAC,8,True
DEN,ATL,9,False
DEN,LV,10,False
DEN,MIA,11,True
DEN,NO,12,True
DEN,KC,13,False
DEN,CAR,14,False
DEN,BUF,15,True
DEN,LAC,16,False
DEN,LV,17,True
DET,CHI,1,True
DET,GB,2,False
DET,ARI,3,False
DET,NO,4,True
DET,BYE,5,
DET,JAC,6,False
DET,ATL,7,False
DET,IND,8,True
DET,MIN,9,False
DET,WAS,10,True
DET,CAR,11,False
DET,HOU,12,True
DET,CHI,13,False
DET,GB,14,True
DET,TEN,15,False
DET,TB,16,True
DET,MIN,17,True
GB,MIN,1,False
GB,DET,2,True
GB,NO,3,False
GB,ATL,4,True
GB,BYE,5,
GB,TB,6,False
GB,HOU,7,False
GB,MIN,8,True
GB,SF,9,False
GB,JAC,10,True
GB,IND,11,False
GB,CHI,12,True
GB,PHI,13,True
GB,DET,14,False
GB,CAR,15,True
GB,TEN,16,True
GB,CHI,17,False
HOU,KC,1,False
HOU,BAL,2,True
HOU,PIT,3,False
HOU,MIN,4,True
HOU,JAC,5,True
HOU,TEN,6,False
HOU,GB,7,True
HOU,BYE,8,
HOU,JAC,9,False
HOU,CLE,10,False
HOU,NE,11,True
HOU,DET,12,False
HOU,IND,13,True
HOU,CHI,14,False
HOU,IND,15,False
HOU,CIN,16,True
HOU,TEN,17,True
IND,JAC,1,False
IND,MIN,2,True
IND,NYJ,3,True
IND,CHI,4,False
IND,CLE,5,False
IND,CIN,6,True
IND,BYE,7,
IND,DET,8,False
IND,BAL,9,True
IND,TEN,10,False
IND,GB,11,True
IND,TEN,12,True
IND,HOU,13,False
IND,LV,14,False
IND,HOU,15,True
IND,PIT,16,False
IND,JAC,17,True
JAC,IND,1,True
JAC,TEN,2,False
JAC,MIA,3,True
JAC,CIN,4,False
JAC,HOU,5,False
JAC,DET,6,True
JAC,LAC,7,False
JAC,BYE,8,
JAC,HOU,9,True
JAC,GB,10,False
JAC,PIT,11,True
JAC,CLE,12,True
JAC,MIN,13,False
JAC,TEN,14,True
JAC,BAL,15,False
JAC,CHI,16,True
JAC,IND,17,False
KC,HOU,1,True
KC,LAC,2,False
KC,BAL,3,False
KC,NE,4,True
KC,LV,5,True
KC,BUF,6,False
KC,DEN,7,False
KC,NYJ,8,True
KC,CAR,9,True
KC,BYE,10,
KC,LV,11,False
KC,TB,12,False
KC,DEN,13,True
KC,MIA,14,False
KC,NO,15,False
KC,ATL,16,True
KC,LAC,17,True
MIA,NE,1,False
MIA,BUF,2,True
MIA,JAC,3,False
MIA,SEA,4,True
MIA,SF,5,False
MIA,NYJ,6,True
MIA,BYE,7,
MIA,LAR,8,True
MIA,ARI,9,False
MIA,LAC,10,True
MIA,DEN,11,False
MIA,NYJ,12,False
MIA,CIN,13,True
MIA,KC,14,True
MIA,NE,15,True
MIA,LV,16,False
MIA,BUF,17,False
MIN,GB,1,True
MIN,IND,2,False
MIN,TEN,3,True
MIN,HOU,4,False
MIN,SEA,5,False
MIN,ATL,6,True
MIN,BYE,7,
MIN,GB,8,False
MIN,DET,9,True
MIN,CHI,10,False
MIN,DAL,11,True
MIN,CAR,12,True
MIN,JAC,13,True
MIN,TB,14,False
MIN,CHI,15,True
MIN,NO,16,False
MIN,DET,17,False
NE,MIA,1,True
NE,SEA,2,False
NE,LV,3,True
NE,KC,4,False
NE,BYE,5,
NE,DEN,6,True
NE,SF,7,True
NE,BUF,8,False
NE,NYJ,9,False
NE,BAL,10,True
NE,HOU,11,False
NE,ARI,12,True
NE,LAC,13,False
NE,LAR,14,False
NE,MIA,15,False
NE,BUF,16,True
NE,NYJ,17,True
NO,TB,1,True
NO,LV,2,False
NO,GB,3,True
NO,DET,4,False
NO,LAC,5,True
NO,BYE,6,
NO,CAR,7,True
NO,CHI,8,False
NO,TB,9,False
NO,SF,10,True
NO,ATL,11,True
NO,DEN,12,False
NO,ATL,13,False
NO,PHI,14,False
NO,KC,15,True
NO,MIN,16,True
NO,CAR,17,False
NYG,PIT,1,True
NYG,CHI,2,False
NYG,SF,3,True
NYG,LAR,4,False
NYG,DAL,5,False
NYG,WAS,6,True
NYG,PHI,7,False
NYG,TB,8,True
NYG,WAS,9,False
NYG,PHI,10,True
NYG,BYE,11,
NYG,CIN,12,False
NYG,SEA,13,False
NYG,ARI,14,True
NYG,CLE,15,True
NYG,BAL,16,False
NYG,DAL,17,True
NYJ,BUF,1,False
NYJ,SF,2,True
NYJ,IND,3,False
NYJ,DEN,4,True
NYJ,ARI,5,True
NYJ,MIA,6,False
NYJ,BUF,7,True
NYJ,KC,8,False
NYJ,NE,9,True
NYJ,BYE,10,
NYJ,LAC,11,False
NYJ,MIA,12,True
NYJ,LV,13,True
NYJ,SEA,14,False
NYJ,LAR,15,False
NYJ,CLE,16,True
NYJ,NE,17,False
LV,CAR,1,False
LV,NO,2,True
LV,NE,3,False
LV,BUF,4,True
LV,KC,5,False
LV,BYE,6,
LV,TB,7,True
LV,CLE,8,False
LV,LAC,9,False
LV,DEN,10,True
LV,KC,11,True
LV,ATL,12,False
LV,NYJ,13,False
LV,IND,14,True
LV,LAC,15,True
LV,MIA,16,True
LV,DEN,17,False
PHI,WAS,1,False
PHI,LAR,2,True
PHI,CIN,3,True
PHI,SF,4,False
PHI,PIT,5,False
PHI,BAL,6,True
PHI,NYG,7,True
PHI,DAL,8,True
PHI,BYE,9,
PHI,NYG,10,False
PHI,CLE,11,False
PHI,SEA,12,True
PHI,GB,13,False
PHI,NO,14,True
PHI,ARI,15,False
PHI,DAL,16,False
PHI,WAS,17,True
PIT,NYG,1,False
PIT,DEN,2,True
PIT,HOU,3,True
PIT,BYE,4,
PIT,PHI,5,True
PIT,CLE,6,True
PIT,TEN,7,False
PIT,BAL,8,False
PIT,DAL,9,False
PIT,CIN,10,True
PIT,JAC,11,False
PIT,BAL,12,True
PIT,WAS,13,True
PIT,BUF,14,False
PIT,CIN,15,False
PIT,IND,16,True
PIT,CLE,17,False
LAC,CIN,1,False
LAC,KC,2,True
LAC,CAR,3,True
LAC,TB,4,False
LAC,NO,5,False
LAC,BYE,6,
LAC,JAC,7,True
LAC,DEN,8,False
LAC,LV,9,True
LAC,MIA,10,False
LAC,NYJ,11,True
LAC,BUF,12,False
LAC,NE,13,True
LAC,ATL,14,True
LAC,LV,15,False
LAC,DEN,16,True
LAC,KC,17,False
SEA,ATL,1,False
SEA,NE,2,True
SEA,DAL,3,True
SEA,MIA,4,False
SEA,MIN,5,True
SEA,BYE,6,
SEA,ARI,7,False
SEA,SF,8,True
SEA,BUF,9,False
SEA,LAR,10,False
SEA,ARI,11,True
SEA,PHI,12,False
SEA,NYG,13,True
SEA,NYJ,14,True
SEA,WAS,15,False
SEA,LAR,16,True
SEA,SF,17,False
SF,ARI,1,True
SF,NYJ,2,False
SF,NYG,3,False
SF,PHI,4,True
SF,MIA,5,True
SF,LAR,6,True
SF,NE,7,False
SF,SEA,8,False
SF,GB,9,True
SF,NO,10,False
SF,BYE,11,
SF,LAR,12,False
SF,BUF,13,True
SF,WAS,14,True
SF,DAL,15,False
SF,ARI,16,False
SF,SEA,17,True
LAR,DAL,1,True
LAR,PHI,2,False
LAR,BUF,3,False
LAR,NYG,4,True
LAR,WAS,5,False
LAR,SF,6,False
LAR,CHI,7,True
LAR,MIA,8,False
LAR,BYE,9,
LAR,SEA,10,True
LAR,TB,11,False
LAR,SF,12,True
LAR,ARI,13,False
LAR,NE,14,True
LAR,NYJ,15,True
LAR,SEA,16,False
LAR,ARI,17,True
TB,NO,1,False
TB,CAR,2,True
TB,DEN,3,False
TB,LAC,4,True
TB,CHI,5,False
TB,GB,6,True
TB,LV,7,False
TB,NYG,8,False
TB,NO,9,True
TB,CAR,10,False
TB,LAR,11,True
TB,KC,12,True
TB,BYE,13,
TB,MIN,14,True
TB,ATL,15,False
TB,DET,16,False
TB,ATL,17,True
TEN,DEN,1,False
TEN,JAC,2,True
TEN,MIN,3,False
TEN,BYE,4,
TEN,BUF,5,True
TEN,HOU,6,True
TEN,PIT,7,True
TEN,CIN,8,False
TEN,CHI,9,True
TEN,IND,10,True
TEN,BAL,11,False
TEN,IND,12,False
TEN,CLE,13,True
TEN,JAC,14,False
TEN,DET,15,True
TEN,GB,16,False
TEN,HOU,17,False
WAS,PHI,1,True
WAS,ARI,2,False
WAS,CLE,3,False
WAS,BAL,4,True
WAS,LAR,5,True
WAS,NYG,6,False
WAS,DAL,7,True
WAS,BYE,8,
WAS,NYG,9,True
WAS,DET,10,False
WAS,CIN,11,True
WAS,DAL,12,False
WAS,PIT,13,False
WAS,SF,14,False
WAS,SEA,15,True
WAS,CAR,16,True
WAS,PHI,17,False
