team,games,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost,year
NYJ,16,237,87,128,22,69,219,31.5,7,19,36.8,87,680,2009
MIN,16,271,63,183,25,69,200,34.5,5,12,41.7,109,902,2009
GB,16,272,68,168,36,76,211,36.0,10,25,40.0,107,914,2009
PIT,16,274,70,186,18,96,227,42.3,7,10,70.0,102,903,2009
CIN,16,276,95,165,16,81,210,38.6,7,15,46.7,99,767,2009
SF,16,278,77,176,25,88,240,36.7,6,15,40.0,114,969,2009
WAS,16,280,85,176,19,87,219,39.7,4,17,23.5,98,763,2009
BAL,16,280,82,164,34,80,218,36.7,7,17,41.2,88,741,2009
DAL,16,286,74,186,26,70,200,35.0,6,12,50.0,93,768,2009
NE,16,289,80,193,16,72,194,37.1,10,21,47.6,91,780,2009
ARI,16,289,81,188,20,82,232,35.4,12,24,50.0,104,840,2009
DEN,16,290,99,167,24,81,218,37.2,8,16,50.0,78,726,2009
CAR,16,290,109,155,26,70,197,35.5,9,17,52.9,82,632,2009
PHI,16,295,81,179,35,73,221,33.0,17,30,56.7,104,789,2009
MIA,16,297,88,184,25,69,198,34.9,8,15,53.3,73,589,2009
HOU,16,300,91,175,34,79,201,39.3,9,21,42.9,92,728,2009
ATL,16,303,89,197,17,97,214,45.3,8,17,47.1,110,892,2009
SEA,16,305,80,204,21,87,223,39.0,6,12,50.0,111,971,2009
JAC,16,307,100,191,16,94,209,45.0,12,17,70.6,64,498,2009
NYG,16,308,103,182,23,77,199,38.7,12,19,63.2,88,678,2009
LAC,16,309,112,177,20,82,203,40.4,10,20,50.0,103,795,2009
BUF,16,310,134,157,19,97,240,40.4,14,26,53.9,107,919,2009
NO,16,310,111,175,24,82,216,38.0,11,24,45.8,86,717,2009
CHI,16,312,105,186,21,93,226,41.2,6,13,46.2,88,744,2009
LV,16,314,126,158,30,77,216,35.7,9,14,64.3,86,684,2009
KC,16,318,122,178,18,85,223,38.1,6,11,54.6,106,821,2009
IND,16,320,106,203,11,104,231,45.0,6,19,31.6,92,889,2009
TEN,16,323,89,210,24,89,218,40.8,12,17,70.6,94,724,2009
TB,16,324,129,171,24,86,214,40.2,9,15,60.0,80,731,2009
DET,16,332,95,213,24,85,210,40.5,10,15,66.7,113,944,2009
LAR,16,333,127,182,24,91,209,43.5,6,12,50.0,80,613,2009
CLE,16,336,120,189,27,86,221,38.9,10,20,50.0,101,812,2009
