team,games,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,year
NYJ,16,259,2704,10.4,169.0,59,8,2,1,2009
BUF,16,295,3137,10.6,196.1,52,14,2,1,2009
DEN,16,298,3222,10.8,201.4,53,18,4,1,2009
CAR,16,305,3249,10.7,203.1,63,14,6,5,2009
GB,16,294,3450,11.7,215.6,68,29,4,3,2009
TB,16,301,3484,11.6,217.8,80,28,1,1,2009
CIN,16,318,3486,11.0,217.9,87,18,4,2,2009
BAL,16,306,3506,11.5,219.1,81,17,6,5,2009
LV,16,259,3531,13.6,220.7,63,16,3,1,2009
WAS,16,314,3557,11.3,222.3,75,19,1,1,2009
LAC,16,326,3569,10.9,223.1,84,23,2,0,2009
NE,16,300,3584,11.9,224.0,75,25,7,1,2009
IND,16,372,3631,9.8,226.9,63,19,5,4,2009
CHI,16,341,3654,10.7,228.4,50,29,9,7,2009
NYG,16,314,3662,11.7,228.9,60,31,3,1,2009
HOU,16,344,3674,10.7,229.6,69,19,6,5,2009
PIT,16,319,3761,11.8,235.1,83,22,3,2,2009
PHI,16,354,3778,10.7,236.1,86,27,2,1,2009
MIN,16,341,3812,11.2,238.3,63,26,8,2,2009
KC,16,302,3844,12.7,240.3,64,25,5,3,2009
JAC,16,345,3853,11.2,240.8,98,28,3,1,2009
DAL,16,344,3874,11.3,242.1,74,19,4,1,2009
LAR,16,315,3913,12.4,244.6,73,22,7,5,2009
NO,16,330,3961,12.0,247.6,71,15,5,3,2009
SF,16,352,3963,11.3,247.7,90,14,8,5,2009
MIA,16,281,3996,14.2,249.8,81,23,1,0,2009
ARI,16,346,3998,11.6,249.9,72,22,3,2,2009
ATL,16,336,4043,12.0,252.7,65,25,4,3,2009
SEA,16,374,4112,11.0,257.0,64,27,0,0,2009
CLE,16,313,4149,13.3,259.3,75,22,1,1,2009
TEN,16,404,4363,10.8,272.7,72,31,3,1,2009
DET,16,371,4399,11.9,274.9,68,35,3,2,2009
