team,games,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,year
GB,16,371,1333,3.6,83.3,42,5,10,3,2009
MIN,16,357,1394,3.9,87.1,42,5,8,5,2009
PIT,16,372,1438,3.9,89.9,37,7,4,1,2009
DAL,16,365,1448,4.0,90.5,35,7,7,4,2009
BAL,16,435,1492,3.4,93.3,58,8,5,2,2009
SF,16,426,1552,3.6,97.0,41,12,7,4,2009
CIN,16,399,1573,3.9,98.3,57,12,6,4,2009
NYJ,16,420,1578,3.8,98.6,35,11,6,3,2009
PHI,16,413,1675,4.1,104.7,72,11,8,4,2009
ATL,16,432,1709,4.0,106.8,45,10,12,6,2009
TEN,16,402,1711,4.3,106.9,80,16,7,3,2009
HOU,16,396,1711,4.3,106.9,91,17,10,3,2009
NE,16,398,1768,4.4,110.5,50,6,9,5,2009
NYG,16,423,1773,4.2,110.8,66,21,6,1,2009
SEA,16,428,1776,4.2,111.0,80,17,7,3,2009
WAS,16,449,1799,4.0,112.4,67,10,10,4,2009
ARI,16,402,1804,4.5,112.8,85,13,6,1,2009
MIA,16,435,1835,4.2,114.7,50,16,5,3,2009
JAC,16,458,1863,4.1,116.4,89,12,15,8,2009
LAC,16,422,1882,4.5,117.6,36,10,11,6,2009
NO,16,435,1955,4.5,122.2,68,19,3,2,2009
CAR,16,450,1997,4.4,124.8,46,15,10,5,2009
CHI,16,467,2022,4.3,126.4,62,14,10,3,2009
IND,16,467,2024,4.3,126.5,64,10,5,2,2009
DET,16,458,2025,4.4,126.6,61,18,9,5,2009
DEN,16,458,2059,4.5,128.7,56,11,13,5,2009
LAR,16,500,2201,4.4,137.6,62,24,7,5,2009
CLE,16,506,2314,4.6,144.6,64,15,9,5,2009
LV,16,548,2488,4.5,155.5,77,24,12,5,2009
BUF,16,535,2501,4.7,156.3,76,19,6,2,2009
KC,16,531,2504,4.7,156.5,78,18,5,4,2009
TB,16,529,2531,4.8,158.2,45,16,7,6,2009
