team,games,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost,year
NE,16,373,114,222,37,90,206,43.7,11,22,50.0,81,743,2009
NO,16,348,115,215,18,88,197,44.7,6,15,40.0,89,787,2009
MIN,16,343,99,220,24,100,223,44.8,8,12,66.7,101,757,2009
HOU,16,340,93,231,16,82,204,40.2,8,12,66.7,95,833,2009
IND,16,339,69,241,29,95,193,49.2,5,11,45.5,74,546,2009
DAL,16,335,110,203,22,82,202,40.6,4,11,36.4,115,892,2009
GB,16,335,102,201,32,103,219,47.0,3,9,33.3,118,1057,2009
MIA,16,333,129,188,16,120,245,49.0,13,18,72.2,78,640,2009
PIT,16,331,96,210,25,80,203,39.4,8,12,66.7,85,769,2009
ATL,16,330,105,192,33,91,216,42.1,16,23,69.6,78,664,2009
LAC,16,330,80,222,28,83,187,44.4,5,10,50.0,78,570,2009
NYG,16,323,103,194,26,90,210,42.9,9,15,60.0,95,802,2009
BAL,16,320,115,187,18,89,214,41.6,6,13,46.2,115,1094,2009
ARI,16,317,77,215,25,69,190,36.3,5,9,55.6,108,886,2009
DEN,16,306,95,186,25,78,215,36.3,7,18,38.9,93,800,2009
JAC,16,300,114,170,16,102,226,45.1,12,21,57.1,70,542,2009
SEA,16,297,80,184,33,75,225,33.3,8,19,42.1,95,840,2009
CIN,16,295,109,159,27,93,229,40.6,10,14,71.4,114,863,2009
PHI,16,290,87,182,21,75,207,36.2,6,14,42.9,115,951,2009
CAR,16,289,123,152,14,82,220,37.3,9,20,45.0,88,698,2009
TEN,16,288,115,154,19,89,214,41.6,12,22,54.6,98,821,2009
DET,16,281,82,168,31,84,234,35.9,7,26,26.9,98,768,2009
NYJ,16,280,132,131,17,86,232,37.1,15,20,75.0,88,677,2009
WAS,16,280,72,191,17,86,216,39.8,7,22,31.8,85,679,2009
CHI,16,262,71,170,21,81,217,37.3,7,18,38.9,100,836,2009
LAR,16,259,79,159,21,73,226,32.3,10,28,35.7,100,834,2009
KC,16,256,91,139,26,62,227,27.3,14,29,48.3,84,667,2009
TB,16,246,80,148,18,71,218,32.6,9,22,40.9,93,696,2009
SF,16,238,77,137,24,65,218,29.8,12,21,57.1,98,758,2009
CLE,16,237,102,118,17,76,233,32.6,10,15,66.7,77,678,2009
LV,16,234,81,131,22,63,213,29.6,10,21,47.6,117,920,2009
BUF,16,233,81,126,26,51,198,25.8,7,15,46.7,107,855,2009
