team,games,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,year
NYJ,16,607,2756,4.5,172.3,71,21,9,4,2009
TEN,16,499,2592,5.2,162.0,91,19,14,8,2009
CAR,16,525,2498,4.8,156.1,77,18,11,6,2009
MIA,16,509,2231,4.4,139.4,68,22,11,5,2009
BAL,16,468,2200,4.7,137.5,77,22,6,3,2009
NO,16,468,2106,4.5,131.6,55,21,6,4,2009
DAL,16,436,2103,4.8,131.4,66,14,6,3,2009
CLE,16,498,2087,4.2,130.4,71,10,6,4,2009
CIN,16,505,2056,4.1,128.5,61,9,8,1,2009
JAC,16,447,2029,4.5,126.8,80,19,7,4,2009
KC,16,438,1929,4.4,120.6,76,8,14,5,2009
NE,16,466,1921,4.1,120.1,55,19,7,5,2009
MIN,16,467,1918,4.1,119.9,64,19,8,5,2009
GB,16,438,1885,4.3,117.8,62,20,3,0,2009
ATL,16,451,1876,4.2,117.3,58,15,5,3,2009
BUF,16,424,1867,4.4,116.7,47,6,6,3,2009
NYG,16,443,1837,4.1,114.8,38,14,12,7,2009
DEN,16,440,1836,4.2,114.8,45,9,6,4,2009
PIT,16,428,1793,4.2,112.1,60,10,8,5,2009
LAR,16,411,1784,4.3,111.5,58,4,7,4,2009
LV,16,410,1701,4.1,106.3,60,7,8,5,2009
PHI,16,384,1637,4.3,102.3,67,14,7,3,2009
TB,16,403,1625,4.0,101.6,35,5,12,3,2009
DET,16,409,1616,4.0,101.0,64,9,7,2,2009
SF,16,371,1600,4.3,100.0,80,12,5,2,2009
SEA,16,395,1566,4.0,97.9,62,7,11,3,2009
WAS,16,391,1508,3.9,94.3,78,8,6,1,2009
ARI,16,365,1494,4.1,93.4,50,16,12,7,2009
CHI,16,373,1492,4.0,93.3,72,6,10,3,2009
HOU,16,425,1475,3.5,92.2,32,13,11,6,2009
LAC,16,427,1423,3.3,88.9,36,17,2,2,2009
IND,16,366,1294,3.5,80.9,45,16,4,2,2009
