team,games,receiving_rec_against,receiving_yds_against,receiving_yr_against,receiving_yds_per_game_against,receiving_longest_rec_against,receiving_td_against,receiving_fumbles,receiving_fumbles_lost,year
LAC,16,285,3135,11.0,195.9,71,18,5,4,2010
BUF,16,294,3253,11.1,203.3,52,28,4,2,2010
LV,16,249,3319,13.3,207.4,57,29,2,0,2010
NO,16,306,3353,11.0,209.6,68,13,10,5,2010
TB,16,307,3359,10.9,209.9,65,23,2,1,2010
GB,16,296,3440,11.6,215.0,85,16,5,2,2010
NYJ,16,269,3454,12.8,215.9,50,24,2,2,2010
MIN,16,333,3544,10.6,221.5,67,25,3,2,2010
MIA,16,288,3573,12.4,223.3,86,22,1,1,2010
CAR,16,326,3617,11.1,226.1,56,19,5,3,2010
IND,16,356,3627,10.2,226.7,61,22,5,2,2010
CIN,16,326,3648,11.2,228.0,54,21,5,3,2010
NYG,16,308,3668,11.9,229.3,87,24,9,9,2010
CLE,16,309,3709,12.0,231.8,78,26,1,1,2010
PIT,16,363,3744,10.3,234.0,67,15,4,4,2010
PHI,16,309,3761,12.2,235.1,80,31,2,1,2010
KC,16,319,3777,11.8,236.1,87,23,2,0,2010
DET,16,330,3786,11.5,236.6,89,23,8,6,2010
BAL,16,349,3789,10.9,236.8,88,22,7,4,2010
CHI,16,363,3820,10.5,238.8,59,14,6,5,2010
ATL,16,364,3846,10.6,240.4,83,23,4,0,2010
LAR,16,328,3868,11.8,241.8,65,21,5,4,2010
ARI,16,324,3881,12.0,242.6,70,22,4,2,2010
DEN,16,297,3936,13.3,246.0,73,26,1,0,2010
SF,16,358,3941,11.0,246.3,71,25,4,1,2010
DAL,16,348,4151,11.9,259.4,91,33,3,0,2010
JAC,16,329,4193,12.7,262.1,67,28,4,3,2010
SEA,16,339,4240,12.5,265.0,69,31,4,3,2010
TEN,16,410,4304,10.5,269.0,75,23,3,1,2010
NE,16,388,4348,11.2,271.8,66,25,3,3,2010
WAS,16,367,4363,11.9,272.7,92,23,6,4,2010
HOU,16,354,4499,12.7,281.2,73,33,3,2,2010
