Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
New Orleans Saints,16,416,116,280,20,118,208,56.7,3,10,30.0,99,851
New England Patriots,16,399,107,262,30,89,194,45.9,7,11,63.6,87,815
San Diego Chargers,16,359,97,234,28,103,211,48.8,4,11,36.4,91,753
Philadelphia Eagles,16,356,134,197,25,85,205,41.5,7,15,46.7,107,853
Green Bay Packers,16,353,89,230,34,91,189,48.2,4,8,50.0,76,591
Atlanta Falcons,16,349,100,215,34,99,224,44.2,4,13,30.8,93,769
Detroit Lions,16,349,71,244,34,76,212,35.9,8,14,57.1,128,"1,075"
Carolina Panthers,16,345,139,175,31,75,185,40.5,6,10,60.0,113,"1,013"
Pittsburgh Steelers,16,341,96,221,24,90,196,45.9,3,8,37.5,101,854
New York Giants,16,331,84,216,31,77,206,37.4,4,13,30.8,94,795
Oakland Raiders,16,328,110,186,32,71,199,35.7,7,13,53.9,163,"1,358"
Dallas Cowboys,16,327,91,219,17,78,198,39.4,5,10,50.0,114,816
Houston Texans,16,321,131,176,14,93,224,41.5,3,11,27.3,99,852
Buffalo Bills,16,313,100,180,33,62,191,32.5,9,22,40.9,86,743
Washington Redskins,16,312,79,204,29,81,219,37.0,4,13,30.8,91,897
Baltimore Ravens,16,312,98,181,33,97,229,42.4,4,7,57.1,92,742
New York Jets,16,301,92,173,36,74,213,34.7,4,11,36.4,102,849
Minnesota Vikings,16,297,118,159,20,83,216,38.4,7,18,38.9,109,908
Miami Dolphins,16,287,89,166,32,69,207,33.3,6,16,37.5,85,779
Denver Broncos,16,286,129,130,27,66,214,30.8,3,13,23.1,101,842
Arizona Cardinals,16,286,83,175,28,66,205,32.2,9,15,60.0,106,"1,004"
Cincinnati Bengals,16,285,93,160,32,80,219,36.5,4,10,40.0,99,874
San Francisco 49ers,16,282,101,150,31,65,221,29.4,9,14,64.3,113,"1,014"
Tennessee Titans,16,281,71,185,25,80,218,36.7,10,14,71.4,104,960
Cleveland Browns,16,278,77,173,28,92,238,38.7,10,18,55.6,95,847
Kansas City Chiefs,16,277,89,163,25,81,225,36.0,7,17,41.2,110,916
Tampa Bay Buccaneers,16,277,74,180,23,76,206,36.9,8,21,38.1,123,"1,007"
Chicago Bears,16,271,97,153,21,66,203,32.5,2,8,25.0,104,800
St. Louis Rams,16,267,79,159,29,64,228,28.1,8,23,34.8,112,899
Seattle Seahawks,16,265,89,153,23,77,228,33.8,7,15,46.7,138,"1,047"
Indianapolis Colts,16,258,69,170,19,74,214,34.6,4,11,36.4,76,549
Jacksonville Jaguars,16,251,103,122,26,81,241,33.6,6,17,35.3,77,680
