Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Denver Broncos,16,546,"2,632",4.8,164.5,60,11,11,7
Houston Texans,16,546,"2,448",4.5,153.0,56,18,10,5
Carolina Panthers,16,445,"2,408",5.4,150.5,74,26,3,0
Minnesota Vikings,16,448,"2,318",5.2,144.9,67,18,7,1
Philadelphia Eagles,16,450,"2,276",5.1,142.3,60,20,9,4
New Orleans Saints,16,431,"2,127",4.9,132.9,36,16,3,3
Oakland Raiders,16,466,"2,110",4.5,131.9,70,16,7,3
San Francisco 49ers,16,498,"2,044",4.1,127.8,55,14,5,2
Chicago Bears,16,456,"2,015",4.4,125.9,46,10,7,4
Baltimore Ravens,16,459,"1,996",4.3,124.8,70,15,6,4
Miami Dolphins,16,469,"1,987",4.2,124.2,76,11,13,5
Jacksonville Jaguars,16,489,"1,970",4.0,123.1,56,9,13,3
Buffalo Bills,16,391,"1,921",4.9,120.1,80,12,10,4
Pittsburgh Steelers,16,434,"1,903",4.4,118.9,76,13,5,4
Kansas City Chiefs,16,487,"1,893",3.9,118.3,34,5,5,3
San Diego Chargers,16,436,"1,864",4.3,116.5,41,16,8,4
Atlanta Falcons,16,453,"1,834",4.0,114.6,81,14,4,3
Dallas Cowboys,16,408,"1,807",4.4,112.9,91,5,8,3
Cincinnati Bengals,16,455,"1,778",3.9,111.1,42,10,7,2
New England Patriots,16,438,"1,764",4.0,110.3,33,18,3,0
Seattle Seahawks,16,444,"1,756",4.0,109.8,48,15,8,4
New York Jets,16,443,"1,692",3.8,105.8,31,14,8,4
St. Louis Rams,16,409,"1,667",4.1,104.2,47,7,6,2
Arizona Cardinals,16,389,"1,625",4.2,101.6,71,12,8,4
Washington Redskins,16,400,"1,614",4.0,100.9,39,8,4,1
Indianapolis Colts,16,382,"1,594",4.2,99.6,80,8,7,5
Green Bay Packers,16,395,"1,558",3.9,97.4,47,12,4,2
Cleveland Browns,16,415,"1,531",3.7,95.7,40,4,10,3
Detroit Lions,16,356,"1,523",4.3,95.2,88,9,6,1
Tampa Bay Buccaneers,16,346,"1,458",4.2,91.1,54,9,8,5
Tennessee Titans,16,376,"1,438",3.8,89.9,48,8,5,3
New York Giants,16,411,"1,427",3.5,89.2,37,17,6,1
