team,games,rushing_att_against,rushing_yds_against,rushing_ya_against,rushing_yds_per_game_against,rushing_longest_rush_against,rushing_td_against,rushing_fumbles,rushing_fumbles_lost,year
TB,16,377,1320,3.5,82.5,64,13,3,1,2012
PIT,16,391,1450,3.7,90.6,64,9,6,4,2012
DEN,16,404,1458,3.6,91.1,36,5,6,3,2012
SF,16,407,1507,3.7,94.2,35,7,5,3,2012
WAS,16,363,1532,4.2,95.8,53,11,7,4,2012
LAC,16,406,1542,3.8,96.4,41,10,9,5,2012
HOU,16,390,1560,4.0,97.5,29,5,10,6,2012
CHI,16,388,1627,4.2,101.7,80,6,12,9,2012
NE,16,415,1630,3.9,101.9,31,10,19,8,2012
SEA,16,368,1649,4.5,103.1,74,8,8,3,2012
MIN,16,427,1692,4.0,105.8,76,10,8,6,2012
CIN,16,423,1715,4.1,107.2,32,13,8,5,2012
MIA,16,431,1734,4.0,108.4,62,10,3,0,2012
CAR,16,416,1761,4.2,110.1,65,11,7,4,2012
LAR,16,442,1880,4.3,117.5,82,18,4,2,2012
DET,16,420,1889,4.5,118.1,81,13,4,1,2012
GB,16,418,1896,4.5,118.5,82,12,3,1,2012
LV,16,444,1897,4.3,118.6,70,18,3,3,2012
CLE,16,457,1898,4.2,118.6,80,14,9,6,2012
BAL,16,492,1965,4.0,122.8,31,15,11,6,2012
ATL,16,411,1971,4.8,123.2,72,16,8,6,2012
DAL,16,441,2003,4.5,125.2,43,17,4,3,2012
PHI,16,479,2021,4.2,126.3,43,11,7,0,2012
TEN,16,483,2035,4.2,127.2,46,16,6,2,2012
NYG,16,449,2066,4.6,129.1,78,9,8,4,2012
NYJ,16,495,2138,4.3,133.6,94,17,7,6,2012
KC,16,482,2171,4.5,135.7,47,11,7,2,2012
ARI,16,506,2192,4.3,137.0,46,12,5,2,2012
IND,16,428,2200,5.1,137.5,86,14,4,1,2012
JAC,16,545,2256,4.1,141.0,53,19,4,2,2012
BUF,16,470,2333,5.0,145.8,83,23,11,2,2012
NO,16,457,2361,5.2,147.6,91,18,6,5,2012
