team,games,passing_cmp,passing_att,passing_cmp_percent,passing_yds,passing_ya,passing_yds_per_game,passing_longest_pass,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year
DEN,16,461,675,68.3,5444,8.3,340.3,78,55,10,20,128,114.4,2013
NO,16,446,651,68.5,4918,7.9,307.4,76,39,12,37,244,104.5,2013
DET,16,371,634,58.5,4482,7.3,280.1,87,29,19,23,168,84.2,2013
LAC,16,378,544,69.5,4328,8.2,270.5,60,32,11,30,150,105.5,2013
CHI,16,373,579,64.4,4281,7.7,267.6,80,32,13,30,169,96.9,2013
GB,16,366,570,64.2,4268,8.0,266.8,83,25,16,45,270,91.7,2013
ATL,16,445,659,67.5,4243,6.9,265.2,81,26,17,44,298,89.5,2013
CIN,16,364,587,62.0,4136,7.4,258.5,82,33,20,29,182,89.0,2013
PHI,16,310,508,61.0,4110,8.7,256.9,70,32,9,46,296,102.7,2013
NE,16,380,628,60.5,4087,6.9,255.4,81,25,11,40,256,87.3,2013
CLE,16,379,681,55.7,4047,6.4,252.9,95,26,20,49,325,75.7,2013
PIT,16,377,586,64.3,4017,7.3,251.1,67,28,14,43,289,92.3,2013
ARI,16,363,574,63.2,4002,7.5,250.1,91,24,22,41,289,83.9,2013
DAL,16,375,586,64.0,3954,7.2,247.1,82,33,12,35,272,95.7,2013
HOU,16,371,633,58.6,3813,6.6,238.3,66,19,22,42,370,74.0,2013
WAS,16,355,611,58.1,3751,6.6,234.4,62,20,19,43,306,76.1,2013
IND,16,350,582,60.1,3725,6.8,232.8,73,23,10,32,227,86.5,2013
BAL,16,363,619,58.6,3590,6.3,224.4,74,19,23,48,324,72.0,2013
NYG,16,325,567,57.3,3588,6.8,224.3,70,18,29,40,287,67.6,2013
MIA,16,357,594,60.1,3567,6.7,222.9,67,24,19,58,399,80.1,2013
TEN,16,328,533,61.5,3496,7.0,218.5,77,22,16,37,214,83.6,2013
JAC,16,349,592,59.0,3441,6.3,215.1,67,16,21,50,310,71.8,2013
MIN,16,325,546,59.5,3427,6.7,214.2,79,18,19,44,218,76.0,2013
KC,16,333,546,61.0,3340,6.5,208.8,71,24,8,41,221,88.6,2013
LV,16,298,519,57.4,3340,7.0,208.8,73,17,20,44,289,73.9,2013
SEA,16,267,420,63.6,3236,8.4,202.3,80,27,9,44,272,102.4,2013
LAR,16,301,506,59.5,3125,6.6,195.3,81,22,11,36,235,84.8,2013
BUF,16,299,522,57.3,3103,6.5,193.9,59,16,15,48,270,75.0,2013
CAR,16,292,473,61.7,3043,7.1,190.2,79,24,13,43,336,88.8,2013
SF,16,244,417,58.5,2979,7.7,186.2,64,21,8,39,231,91.7,2013
NYJ,16,266,480,55.4,2932,6.8,183.3,69,13,22,47,338,66.6,2013
TB,16,291,514,56.6,2820,6.2,176.3,85,22,12,47,361,79.6,2013
