team,games,first_downs_total_against,first_downs_rush_against,first_downs_pass_against,first_downs_penalty_against,third_downs_made_against,third_downs_att_against,third_downs_percentage_against,fourth_downs_made_against,fourth_downs_att_against,fourth_downs_percentage_against,penalties,penalties_yds,year
NYJ,16,271,62,185,24,77,232,33.2,13,23,56.5,90,767,2015
SEA,16,273,71,175,27,67,195,34.4,1,7,14.3,94,795,2015
HOU,16,281,79,173,29,61,214,28.5,7,12,58.3,116,991,2015
ARI,16,284,79,177,28,75,210,35.7,8,17,47.1,130,1202,2015
DEN,16,289,81,162,46,80,227,35.2,5,14,35.7,104,773,2015
CAR,16,298,74,198,26,86,227,37.9,15,26,57.7,99,822,2015
LAC,16,299,101,170,28,74,195,38.0,7,8,87.5,120,976,2015
GB,16,300,96,183,21,79,220,35.9,10,21,47.6,120,1107,2015
NE,16,303,77,204,22,84,225,37.3,8,18,44.4,112,1013,2015
CHI,16,307,103,182,22,89,201,44.3,5,12,41.7,98,895,2015
CIN,16,307,74,202,31,86,218,39.5,9,20,45.0,116,1063,2015
BAL,16,311,80,189,42,86,216,39.8,4,9,44.4,103,748,2015
KC,16,313,86,193,34,72,217,33.2,13,27,48.2,110,941,2015
DAL,16,317,113,172,32,81,208,38.9,5,10,50.0,113,898,2015
TEN,16,317,101,192,24,92,216,42.6,4,12,33.3,112,982,2015
MIN,16,318,94,189,35,71,206,34.5,11,22,50.0,109,875,2015
DET,16,319,96,191,32,82,200,41.0,5,8,62.5,96,785,2015
LAR,16,320,98,192,30,78,225,34.7,4,15,26.7,109,992,2015
BUF,16,321,87,197,37,85,210,40.5,3,13,23.1,113,906,2015
CLE,16,321,104,186,31,81,203,39.9,10,15,66.7,108,833,2015
PIT,16,327,71,231,25,90,225,40.0,7,24,29.2,121,1149,2015
WAS,16,329,103,202,24,78,207,37.7,11,20,55.0,112,955,2015
IND,16,331,89,210,32,89,227,39.2,10,14,71.4,133,1168,2015
ATL,16,335,107,197,31,82,191,42.9,5,15,33.3,95,728,2015
LV,16,344,94,206,44,84,224,37.5,9,17,52.9,104,943,2015
MIA,16,351,112,203,36,96,221,43.4,4,12,33.3,121,1005,2015
TB,16,351,104,208,39,97,211,46.0,4,6,66.7,104,859,2015
SF,16,356,128,199,29,82,210,39.1,6,11,54.6,112,920,2015
JAC,16,362,102,222,38,105,227,46.3,6,12,50.0,114,989,2015
PHI,16,365,100,239,26,99,231,42.9,6,9,66.7,123,1051,2015
NYG,16,367,104,236,27,108,230,47.0,8,14,57.1,120,1077,2015
NO,16,380,103,223,54,71,176,40.3,10,13,76.9,114,887,2015
