Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Seattle Seahawks,16,362,"1,304",3.6,81.5,48,10,9,4
New York Jets,16,373,"1,335",3.6,83.4,45,4,8,5
Denver Broncos,16,408,"1,337",3.3,83.6,48,10,4,3
Carolina Panthers,16,364,"1,415",3.9,88.4,63,11,9,4
Pittsburgh Steelers,16,382,"1,459",3.8,91.2,44,6,12,4
Arizona Cardinals,16,374,"1,460",3.9,91.3,52,9,12,5
Cincinnati Bengals,16,344,"1,477",4.3,92.3,69,8,4,2
Kansas City Chiefs,16,383,"1,571",4.1,98.2,42,7,7,2
New England Patriots,16,397,"1,580",4.0,98.8,48,8,6,2
Houston Texans,16,388,"1,597",4.1,99.8,85,10,5,3
Tampa Bay Buccaneers,16,466,"1,606",3.4,100.4,21,12,9,5
Baltimore Ravens,16,418,"1,661",4.0,103.8,62,10,7,4
Oakland Raiders,16,406,"1,678",4.1,104.9,80,12,2,2
Atlanta Falcons,16,416,"1,680",4.0,105.0,44,20,7,4
Jacksonville Jaguars,16,464,"1,709",3.7,106.8,87,15,4,2
Buffalo Bills,16,394,"1,730",4.4,108.1,58,10,4,1
Minnesota Vikings,16,411,"1,748",4.3,109.3,72,7,6,4
Tennessee Titans,16,462,"1,797",3.9,112.3,32,11,3,1
Detroit Lions,16,429,"1,805",4.2,112.8,75,18,7,3
St. Louis Rams,16,453,"1,820",4.0,113.8,47,7,9,5
Green Bay Packers,16,420,"1,905",4.5,119.1,55,13,8,3
Chicago Bears,16,433,"1,934",4.5,120.9,44,9,6,4
Dallas Cowboys,16,461,"1,934",4.2,120.9,50,16,2,1
New York Giants,16,444,"1,942",4.4,121.4,68,15,11,6
Indianapolis Colts,16,452,"1,952",4.3,122.0,56,14,10,6
Washington Redskins,16,406,"1,962",4.8,122.6,70,10,13,6
San Diego Chargers,16,417,"2,005",4.8,125.3,65,17,7,3
Miami Dolphins,16,502,"2,019",4.0,126.2,53,13,3,1
San Francisco 49ers,16,504,"2,020",4.0,126.3,71,20,4,2
Cleveland Browns,16,458,"2,055",4.5,128.4,54,11,6,3
New Orleans Saints,16,421,"2,076",4.9,129.8,45,12,15,7
Philadelphia Eagles,16,478,"2,153",4.5,134.6,84,10,3,0
