Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
New Orleans Saints,16,460,"5,205",11.3,325.3,80,32,6,4
San Diego Chargers,16,442,"4,855",11.0,303.4,80,30,7,3
Pittsburgh Steelers,16,391,"4,822",12.3,301.4,88,26,3,2
New England Patriots,16,404,"4,812",11.9,300.8,76,36,3,2
Arizona Cardinals,16,353,"4,775",13.5,298.4,68,35,4,3
Atlanta Falcons,16,410,"4,602",11.2,287.6,70,21,4,2
New York Giants,16,392,"4,504",11.5,281.5,87,36,5,2
Detroit Lions,16,420,"4,463",10.6,278.9,57,33,3,3
Baltimore Ravens,16,426,"4,449",10.4,278.1,50,21,3,1
Jacksonville Jaguars,16,355,"4,428",12.5,276.8,90,35,2,1
Philadelphia Eagles,16,405,"4,341",10.7,271.3,78,23,6,3
Washington Redskins,16,386,"4,294",11.1,268.4,78,30,7,2
Miami Dolphins,16,365,"4,231",11.6,264.4,54,24,2,1
Denver Broncos,16,368,"4,216",11.5,263.5,75,19,4,3
New York Jets,16,362,"4,170",11.5,260.6,69,33,6,3
Cleveland Browns,16,371,"4,156",11.2,259.8,61,20,6,3
Oakland Raiders,16,373,"4,129",11.1,258.1,68,34,5,1
Cincinnati Bengals,16,334,"4,104",12.3,256.5,80,31,3,1
Houston Texans,16,358,"4,079",11.4,254.9,61,29,3,2
Seattle Seahawks,16,333,"4,061",12.2,253.8,80,34,3,1
Tampa Bay Buccaneers,16,312,"4,042",13.0,252.6,68,22,4,3
Indianapolis Colts,16,355,"3,928",11.1,245.5,87,26,2,1
Tennessee Titans,16,342,"3,893",11.4,243.3,61,25,2,2
Carolina Panthers,16,300,"3,873",12.9,242.1,74,35,3,3
Chicago Bears,16,334,"3,843",11.5,240.2,87,21,4,0
Green Bay Packers,16,348,"3,825",11.0,239.1,65,31,4,1
Dallas Cowboys,16,334,"3,677",11.0,229.8,67,16,4,4
San Francisco 49ers,16,322,"3,646",11.3,227.9,76,16,4,1
Buffalo Bills,16,295,"3,600",12.2,225.0,63,23,6,3
Kansas City Chiefs,16,310,"3,493",11.3,218.3,80,20,5,4
Minnesota Vikings,16,294,"3,246",11.0,202.9,52,14,4,1
St. Louis Rams,16,273,"2,931",10.7,183.2,68,11,3,2
