Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Jacksonville Jaguars,16,289,"3,074",10.6,192.1,74,17,1,1
Minnesota Vikings,16,324,"3,329",10.3,208.1,52,13,1,1
Denver Broncos,16,294,"3,385",11.5,211.6,64,29,3,1
Los Angeles Chargers,16,329,"3,417",10.4,213.6,87,17,3,2
Pittsburgh Steelers,16,297,"3,610",12.2,225.6,75,20,5,3
Seattle Seahawks,16,325,"3,616",11.1,226.0,75,19,1,1
Chicago Bears,16,343,"3,653",10.7,228.3,88,18,4,4
Cincinnati Bengals,16,336,"3,657",10.9,228.6,72,20,1,1
Washington Redskins,16,306,"3,692",12.1,230.8,75,23,2,2
Baltimore Ravens,16,333,"3,701",11.1,231.3,57,18,4,2
Atlanta Falcons,16,362,"3,725",10.3,232.8,54,22,0,0
Dallas Cowboys,16,371,"3,746",10.1,234.1,56,28,3,1
Miami Dolphins,16,339,"3,788",11.2,236.8,69,26,1,1
Arizona Cardinals,16,343,"3,796",11.1,237.3,72,24,3,2
Los Angeles Rams,16,324,"3,799",11.7,237.4,65,21,3,2
Buffalo Bills,16,370,"3,844",10.4,240.3,77,14,7,4
Cleveland Browns,16,360,"3,881",10.8,242.6,61,28,7,2
Philadelphia Eagles,16,363,"3,883",10.7,242.7,77,24,3,3
New Orleans Saints,16,329,"3,884",11.8,242.8,53,22,4,1
New York Jets,16,329,"3,904",11.9,244.0,79,30,5,4
San Francisco 49ers,16,344,"3,943",11.5,246.4,72,27,5,4
Carolina Panthers,16,351,"3,969",11.3,248.1,70,25,4,2
Houston Texans,16,321,"3,999",12.5,249.9,94,30,2,0
Green Bay Packers,16,348,"4,041",11.6,252.6,71,30,3,2
Oakland Raiders,16,361,"4,046",11.2,252.9,74,24,2,1
Tennessee Titans,16,369,"4,100",11.1,256.3,80,27,5,2
Detroit Lions,16,366,"4,120",11.3,257.5,97,21,5,4
Indianapolis Colts,16,320,"4,123",12.9,257.7,67,23,4,1
Kansas City Chiefs,16,325,"4,131",12.7,258.2,69,23,6,4
New York Giants,16,347,"4,199",12.1,262.4,83,32,4,4
Tampa Bay Buccaneers,16,371,"4,306",11.6,269.1,61,22,5,4
New England Patriots,16,367,"4,319",11.8,269.9,78,24,4,2
