Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
Tampa Bay Buccaneers,16,408,625,65.3,"5,125",8.6,320.3,75,36,26,41,233,94.1
Pittsburgh Steelers,16,459,689,66.6,"5,008",7.5,313.0,97,35,17,24,166,95.5
Kansas City Chiefs,16,385,583,66.0,"4,955",8.8,309.7,89,50,12,26,171,113.8
Atlanta Falcons,16,428,617,69.4,"4,653",8.0,290.8,75,36,7,42,296,108.0
Los Angeles Rams,16,368,568,64.8,"4,507",8.3,281.7,70,32,12,33,223,100.7
Indianapolis Colts,16,432,644,67.1,"4,461",7.1,278.8,68,39,15,18,134,98.2
Philadelphia Eagles,16,422,599,70.5,"4,275",7.6,267.2,83,29,11,40,249,100.8
New England Patriots,16,378,574,65.9,"4,258",7.7,266.1,63,29,11,21,147,97.8
Green Bay Packers,16,392,640,61.3,"4,238",7.2,264.9,75,25,4,53,391,93.7
Los Angeles Chargers,16,348,512,68.0,"4,089",8.4,255.6,75,32,12,34,227,104.9
New York Giants,16,382,583,65.5,"4,047",7.6,252.9,58,23,12,47,358,92.7
New Orleans Saints,16,381,519,73.4,"4,042",8.0,252.6,72,33,7,20,132,112.3
Minnesota Vikings,16,425,606,70.1,"4,036",7.1,252.3,75,30,10,40,262,99.7
Cleveland Browns,16,353,574,61.5,"4,007",7.4,250.4,71,29,17,38,254,88.8
San Francisco 49ers,16,331,532,62.2,"3,867",8.0,241.7,85,26,20,48,380,87.8
Carolina Panthers,16,378,563,67.1,"3,836",7.2,239.8,82,28,16,32,235,92.9
Houston Texans,16,345,506,68.2,"3,781",8.2,236.3,73,26,9,62,384,102.9
Oakland Raiders,16,382,556,68.7,"3,751",7.3,234.4,66,19,10,52,306,93.6
Denver Broncos,16,367,588,62.4,"3,695",6.7,230.9,64,19,15,34,235,82.1
Detroit Lions,16,375,574,65.3,"3,576",6.7,223.5,67,22,12,41,268,88.5
Chicago Bears,16,344,512,67.2,"3,564",7.3,222.8,70,28,14,33,183,95.4
Baltimore Ravens,16,334,556,60.1,"3,558",6.7,222.4,74,18,9,32,150,84.0
Dallas Cowboys,16,356,527,67.6,"3,538",7.4,221.1,90,22,8,56,347,96.7
Cincinnati Bengals,16,331,542,61.1,"3,290",6.6,205.6,49,27,13,37,279,87.0
New York Jets,16,299,524,57.1,"3,165",6.5,197.8,76,18,19,37,239,73.0
Jacksonville Jaguars,16,329,536,61.4,"3,109",6.4,194.3,80,15,13,53,322,79.1
Seattle Seahawks,16,280,427,65.6,"3,093",8.1,193.3,66,35,7,51,355,110.9
Washington Redskins,16,311,509,61.1,"3,021",6.5,188.8,79,16,15,44,266,78.1
Tennessee Titans,16,293,437,67.0,"2,975",7.4,185.9,66,16,12,47,280,89.8
Miami Dolphins,16,292,455,64.2,"2,900",7.3,181.3,75,26,13,52,409,93.0
Buffalo Bills,16,271,499,54.3,"2,794",6.2,174.6,75,13,23,41,288,62.6
Arizona Cardinals,16,283,495,57.2,"2,523",5.8,157.7,75,15,18,52,361,69.0
