team,games,receiving_rec,receiving_yds,receiving_yr,receiving_yds_per_game,receiving_longest_rec,receiving_td,receiving_fumbles,receiving_fumbles_lost,year
TB,16,408,5358,13.1,334.9,75,36,7,4,2018
PIT,16,459,5174,11.3,323.4,97,35,7,5,2018
KC,16,385,5126,13.3,320.4,89,50,4,3,2018
ATL,16,428,4949,11.6,309.3,75,36,7,4,2018
LAR,16,368,4730,12.9,295.6,70,32,3,1,2018
GB,16,392,4629,11.8,289.3,75,25,2,1,2018
IND,16,432,4595,10.6,287.2,68,39,4,4,2018
PHI,16,422,4524,10.7,282.8,83,29,5,1,2018
NE,16,378,4405,11.7,275.3,63,29,2,2,2018
NYG,16,382,4405,11.5,275.3,58,23,3,1,2018
LAC,16,348,4316,12.4,269.8,75,32,6,3,2018
MIN,16,425,4298,10.1,268.6,75,30,1,1,2018
CLE,16,353,4261,12.1,266.3,71,29,6,3,2018
SF,16,331,4247,12.8,265.4,85,26,3,1,2018
NO,16,381,4174,11.0,260.9,72,33,6,4,2018
HOU,16,345,4165,12.1,260.3,73,26,4,3,2018
CAR,16,378,4071,10.8,254.4,82,28,6,2,2018
LV,16,382,4057,10.6,253.6,66,19,2,1,2018
DEN,16,367,3930,10.7,245.6,64,19,4,2,2018
DAL,16,356,3885,10.9,242.8,90,22,3,2,2018
DET,16,375,3844,10.3,240.3,67,22,3,1,2018
CHI,16,344,3747,10.9,234.2,70,28,4,4,2018
BAL,16,334,3708,11.1,231.8,74,18,1,1,2018
CIN,16,331,3569,10.8,223.1,49,27,2,1,2018
SEA,16,280,3448,12.3,215.5,66,35,4,0,2018
JAC,16,329,3431,10.4,214.4,80,15,8,6,2018
NYJ,16,299,3404,11.4,212.8,76,18,5,3,2018
MIA,16,292,3309,11.3,206.8,75,26,1,1,2018
WAS,16,311,3287,10.6,205.4,79,16,3,2,2018
TEN,16,293,3255,11.1,203.4,66,16,4,2,2018
BUF,16,271,3082,11.4,192.6,75,13,4,3,2018
ARI,16,283,2884,10.2,180.3,75,15,2,1,2018
