team,games,first_downs_total,first_downs_rush,first_downs_pass,first_downs_penalty,third_downs_made,third_downs_att,third_downs_percentage,fourth_downs_made,fourth_downs_att,fourth_downs_percentage,penalties,penalties_yds,year
BAL,16,386,188,171,27,88,187,47.1,17,24,70.8,109,867,2019
ATL,16,383,84,258,41,87,207,42.0,13,21,61.9,119,956,2019
DAL,16,379,120,229,30,96,204,47.1,7,16,43.8,109,1008,2019
PHI,16,354,104,215,35,104,229,45.4,8,24,33.3,100,836,2019
TB,16,353,81,244,28,90,217,41.5,9,17,52.9,133,1111,2019
KC,16,350,93,211,46,89,187,47.6,6,10,60.0,107,1029,2019
LAC,16,349,90,220,39,86,194,44.3,10,18,55.6,103,872,2019
NO,16,347,97,230,20,81,192,42.2,5,13,38.5,120,1036,2019
HOU,16,346,112,203,31,84,193,43.5,13,25,52.0,111,892,2019
LAR,16,342,92,222,28,83,208,39.9,3,13,23.1,118,899,2019
SEA,16,341,121,190,30,79,200,39.5,7,14,50.0,109,882,2019
IND,16,340,131,165,44,86,207,41.6,14,24,58.3,79,670,2019
NE,16,338,110,197,31,87,227,38.3,6,15,40.0,94,828,2019
SF,16,336,110,195,31,90,200,45.0,7,12,58.3,105,939,2019
CAR,16,335,82,230,23,66,207,31.9,12,24,50.0,87,754,2019
GB,16,320,90,190,40,73,203,36.0,7,14,50.0,100,774,2019
TEN,16,317,104,177,36,70,185,37.8,4,14,28.6,99,932,2019
LV,16,315,104,194,17,88,201,43.8,11,19,57.9,128,1138,2019
MIA,16,315,64,210,41,71,207,34.3,13,28,46.4,92,769,2019
BUF,16,314,120,162,32,76,212,35.9,8,18,44.4,117,927,2019
MIN,16,314,106,171,37,83,194,42.8,8,15,53.3,96,895,2019
ARI,16,314,109,176,29,71,197,36.0,13,20,65.0,121,956,2019
DET,16,313,82,196,35,90,220,40.9,5,13,38.5,113,937,2019
CIN,16,312,85,191,36,80,222,36.0,13,26,50.0,93,761,2019
NYG,16,311,89,187,35,79,212,37.3,14,31,45.2,90,784,2019
CLE,16,305,90,180,35,71,196,36.2,7,17,41.2,122,1106,2019
JAC,16,298,85,183,30,76,220,34.6,12,25,48.0,132,1165,2019
CHI,16,297,85,178,34,77,216,35.7,7,21,33.3,103,838,2019
DEN,16,279,77,162,40,64,202,31.7,11,16,68.8,110,912,2019
PIT,16,265,75,147,43,67,195,34.4,2,15,13.3,111,893,2019
NYJ,16,253,61,162,30,65,212,30.7,7,19,36.8,115,1105,2019
WAS,16,248,74,154,20,52,179,29.1,6,14,42.9,106,835,2019
