team,games,passing_cmp_against,passing_att_against,passing_cmp_percent_against,passing_yds_against,passing_ya_against,passing_yds_per_game_against,passing_longest_pass_against,passing_td_against,passing_int_against,passing_sack_against,sack_yards_lost,passer_rating,year
BUF,17,297,530,56.0,2771,5.7,163.0,73,12,19,42,276,65.3,2021
NE,17,319,538,59.3,3181,6.4,187.1,67,21,23,36,256,73.3,2021
CHI,17,314,477,65.8,3257,7.6,191.6,83,31,8,49,366,103.3,2021
CAR,17,337,515,65.4,3266,6.9,192.1,62,26,9,39,293,95.0,2021
CLE,17,367,576,63.7,3439,6.4,202.3,75,29,13,43,273,89.4,2021
SF,17,372,545,68.3,3510,7.1,206.5,91,25,9,48,364,97.0,2021
ARI,17,367,561,65.4,3645,6.9,214.4,64,30,13,41,227,93.5,2021
DEN,17,341,562,60.7,3652,6.9,214.8,59,22,13,36,249,85.0,2021
PIT,17,355,563,63.1,3656,7.1,215.1,62,24,13,55,321,88.7,2021
GB,17,379,603,62.9,3724,6.7,219.1,79,31,18,39,297,86.9,2021
PHI,17,409,589,69.4,3756,6.8,220.9,64,28,12,29,220,95.4,2021
LAC,17,357,559,63.9,3761,7.1,221.2,71,27,11,35,231,93.0,2021
LV,17,400,606,66.0,3789,6.6,222.9,52,29,6,35,207,96.4,2021
NO,17,369,592,62.3,3821,7.0,224.8,84,20,18,46,310,81.7,2021
NYG,17,402,611,65.8,3839,6.6,225.8,59,27,15,34,205,89.0,2021
MIA,17,373,608,61.3,3871,7.0,227.7,64,23,14,48,380,85.4,2021
JAC,17,377,543,69.4,3875,7.6,227.9,55,24,7,32,236,100.8,2021
ATL,17,391,577,67.8,3952,7.1,232.5,38,31,12,18,152,97.4,2021
IND,17,390,597,65.3,3980,7.0,234.1,69,32,19,33,223,90.5,2021
DAL,17,364,612,59.5,4049,7.1,238.2,75,24,26,41,297,76.6,2021
TB,17,445,680,65.4,4062,6.4,238.9,75,26,17,47,285,85.6,2021
LAR,17,416,625,66.6,4109,7.2,241.7,63,17,19,50,367,83.8,2021
HOU,17,363,546,66.5,4117,8.0,242.2,68,27,17,32,225,94.1,2021
DET,17,359,544,66.0,4160,8.0,244.7,79,31,11,30,201,101.1,2021
TEN,17,395,628,62.9,4169,7.1,245.2,68,24,16,43,316,86.4,2021
CIN,17,420,626,67.1,4222,7.2,248.4,60,26,13,42,276,93.1,2021
KC,17,401,610,65.7,4273,7.3,251.4,72,27,15,31,209,92.0,2021
MIN,17,401,626,64.1,4300,7.5,252.9,77,29,16,51,378,91.4,2021
WAS,17,400,597,67.0,4333,7.6,254.9,72,34,11,38,187,100.8,2021
NYJ,17,401,587,68.3,4409,8.0,259.4,65,28,7,33,273,103.2,2021
SEA,17,443,658,67.3,4513,7.2,265.5,76,24,11,34,253,93.6,2021
BAL,17,397,621,63.9,4742,8.0,278.9,82,31,9,34,244,99.4,2021
