team,games,rushing_att,rushing_yds,rushing_ya,rushing_yds_per_game,rushing_longest_rush,rushing_td,rushing_fumbles,rushing_fumbles_lost,year
PHI,17,550,2715,4.9,159.7,38,25,17,3,2021
IND,17,499,2540,5.1,149.4,83,22,19,2,2021
BAL,17,517,2479,4.8,145.8,46,18,15,3,2021
CLE,17,485,2471,5.1,145.4,70,20,18,1,2021
TEN,17,551,2404,4.4,141.4,76,23,11,3,2021
BUF,17,461,2209,4.8,129.9,46,20,18,2,2021
SF,17,499,2166,4.3,127.4,49,22,12,0,2021
NE,17,489,2151,4.4,126.5,64,24,11,2,2021
DAL,17,473,2119,4.5,124.6,58,15,11,3,2021
ARI,17,496,2076,4.2,122.1,57,23,10,0,2021
SEA,17,413,2074,5.0,122.0,73,18,18,1,2021
WAS,17,477,2061,4.3,121.2,38,13,8,3,2021
DEN,17,455,2025,4.5,119.1,70,16,10,6,2021
CHI,17,475,2018,4.2,118.7,41,14,13,2,2021
NO,17,510,1991,3.9,117.1,44,12,9,1,2021
KC,17,431,1955,4.5,115.0,51,16,9,4,2021
MIN,17,449,1930,4.3,113.5,66,10,13,3,2021
GB,17,446,1900,4.3,111.8,57,13,7,2,2021
DET,17,427,1886,4.4,110.9,57,12,12,2,2021
CAR,17,455,1842,4.0,108.4,33,17,8,2,2021
LAC,17,423,1834,4.3,107.9,75,18,7,2,2021
JAC,17,392,1755,4.5,103.2,66,13,7,4,2021
CIN,17,436,1742,4.0,102.5,46,16,8,1,2021
NYG,17,419,1688,4.0,99.3,46,8,9,2,2021
LAR,17,420,1683,4.0,99.0,39,10,3,2,2021
TB,17,385,1672,4.3,98.4,55,18,9,3,2021
NYJ,17,380,1667,4.4,98.1,55,14,9,1,2021
LV,17,414,1617,3.9,95.1,31,14,7,2,2021
PIT,17,411,1583,3.9,93.1,37,10,9,0,2021
MIA,17,442,1568,3.5,92.2,30,12,5,1,2021
ATL,17,393,1451,3.7,85.4,39,11,2,3,2021
HOU,17,420,1422,3.4,83.6,36,8,6,1,2021
