player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1,73,73,100,3,0,53,53,15.7,21.5,8,2014
Ben Roethlisberger,QB,PIT,1,74,74,100,1,0,47,47,14.6,19.7,8,2014
Danny Amendola,WR,HOU,1,39,39,64,0,13,5,13,0.3,0.8,8,2014
Jared Cook,TE,LAC,1,33,33,55,0,15,6,15,2.5,7.6,8,2014
Josh Johnson,QB,NYJ,1,5,5,6,0,0,80,80,0.7,14.0,8,2014
Marcedes Lewis,TE,GB,1,31,31,42,0,3,0,3,0.0,0.0,8,2014
Matt Ryan,QB,ATL,1,53,53,100,4,0,55,55,8.1,15.3,8,2014
Matthew Slater,WR,NE,1,1,1,1,0,0,0,0,0.0,0.0,8,2014
Matthew Stafford,QB,LAR,1,58,58,87,0,0,55,55,24.2,41.7,8,2014
Tom Brady,QB,TB,1,61,61,100,2,0,67,67,27.2,44.6,8,2014
Emmanuel Sanders,WR,BUF,1,56,56,77,0,7,0,7,0.0,0.0,8,2014
Rob Gronkowski,TE,TB,1,6,6,10,0,17,0,17,0.0,0.0,8,2014
A.J. Green,WR,ARI,1,56,56,95,0,14,9,14,5.0,8.9,8,2014
Mark Ingram II,RB,NO,1,22,22,29,27,9,36,36,5.2,23.6,8,2014
Randall Cobb,WR,GB,1,50,50,68,0,10,6,10,13.5,27.0,8,2014
Kyle Rudolph,TE,NYG,1,21,21,35,0,14,10,14,7.2,34.3,8,2014
Luke Stocker,TE,MIN,1,17,17,26,0,6,6,6,0.7,4.1,8,2014
Taiwan Jones,RB,BUF,1,1,1,1,0,0,0,0,0.0,0.0,8,2014
Lee Smith,TE,ATL,1,18,18,34,0,0,0,0,0.0,0.0,8,2014
Ryan Tannehill,QB,TEN,1,72,72,99,3,0,49,49,23.2,32.2,8,2014
Kirk Cousins,QB,MIN,1,66,66,100,5,0,58,58,13.2,20.0,8,2014
Mohamed Sanu Sr.,WR,SF,1,25,25,45,0,16,12,16,5.9,23.6,8,2014
T.Y. Hilton,WR,IND,1,35,35,44,0,14,6,14,1.6,4.6,8,2014
Marvin Jones Jr.,WR,JAC,1,69,69,91,0,12,7,12,3.5,5.1,8,2014
Brandon Bolden,RB,NE,1,25,25,32,16,0,16,16,2.6,10.4,8,2014
Josh Gordon,WR,KC,1,32,32,40,0,3,0,3,0.0,0.0,8,2014
Cole Beasley,WR,BUF,1,52,52,71,0,25,21,27,11.0,21.2,8,2014
Travis Kelce,TE,KC,1,74,74,91,0,8,5,8,0.7,0.9,8,2014
Marquise Goodwin,WR,CHI,1,30,30,43,0,10,7,10,3.2,10.7,8,2014
DeAndre Hopkins,WR,ARI,1,15,15,25,0,13,13,13,6.6,44.0,8,2014
Robert Woods,WR,LAR,1,58,58,87,5,16,10,21,17.7,30.5,8,2014
Cordarrelle Patterson,RB,ATL,1,32,32,60,28,16,44,44,13.2,41.3,8,2014
Keenan Allen,WR,LAC,1,59,59,98,0,19,10,19,13.7,23.2,8,2014
Tavon Austin,WR,JAC,1,28,28,37,0,11,4,11,0.5,1.8,8,2014
Giovani Bernard,RB,TB,1,13,13,21,15,8,23,23,9.7,74.6,8,2014
Rex Burkhead,RB,HOU,1,30,30,49,13,13,27,30,10.8,36.0,8,2014
Geno Smith,QB,SEA,1,57,57,100,4,0,46,46,22.6,39.6,8,2014
Zach Ertz,TE,ARI,1,43,43,73,0,9,9,9,4.2,9.8,8,2014
Kyle Juszczyk,RB,SF,1,31,31,55,0,6,3,6,1.1,3.5,8,2014
Ryan Griffin,TE,NYJ,1,41,41,49,0,2,2,2,0.7,1.7,8,2014
Demetrius Harris,TE,ARI,1,10,10,17,0,0,0,0,0.0,0.0,8,2014
Jack Doyle,TE,IND,1,50,50,63,0,4,4,4,7.2,14.4,8,2014
Teddy Bridgewater,QB,DEN,1,53,53,100,2,0,51,51,12.6,23.8,8,2014
Carlos Hyde,RB,JAC,1,50,50,66,18,16,30,34,7.2,14.4,8,2014
Mike Evans,WR,TB,1,58,58,95,0,7,3,7,10.8,18.6,8,2014
