player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1.0,76.0,76.0,100.0,4.0,0.0,70.0,70.0,15.3,20.1,13,2018
Adrian Peterson,RB,WAS,1.0,16.0,16.0,35.0,56.0,0.0,56.0,56.0,15.8,98.8,13,2018
Ben Roethlisberger,QB,PIT,1.0,68.0,68.0,99.0,0.0,0.0,66.0,66.0,17.2,25.3,13,2018
Benjamin Watson,TE,NO,1.0,20.0,20.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Chase Daniel,QB,CHI,1.0,83.0,83.0,99.0,5.0,0.0,52.0,52.0,11.8,14.2,13,2018
Darren Sproles,RB,PHI,1.0,9.0,9.0,12.0,44.0,0.0,44.0,44.0,8.2,91.1,13,2018
Drew Brees,QB,NO,1.0,52.0,52.0,100.0,2.0,0.0,56.0,56.0,7.3,14.0,13,2018
Eli Manning,QB,NYG,1.0,72.0,72.0,99.0,0.0,0.0,49.0,49.0,8.8,12.2,13,2018
Frank Gore,RB,MIA,1.0,20.0,20.0,36.0,40.0,5.0,45.0,45.0,3.1,15.5,13,2018
Greg Olsen,TE,CAR,1.0,13.0,13.0,19.0,0.0,8.0,8.0,8.0,1.3,10.0,13,2018
Jared Cook,TE,OAK,1.0,55.0,55.0,72.0,0.0,15.0,13.0,15.0,16.0,29.1,13,2018
Josh McCown,QB,NYJ,1.0,68.0,68.0,100.0,1.0,0.0,46.0,46.0,3.4,5.0,13,2018
Julian Edelman,WR,NE,1.0,66.0,66.0,89.0,3.0,12.0,8.0,15.0,6.0,9.1,13,2018
Larry Fitzgerald,WR,ARI,1.0,60.0,60.0,97.0,0.0,10.0,5.0,10.0,4.8,8.0,13,2018
LeSean McCoy,RB,BUF,1.0,54.0,54.0,75.0,28.0,7.0,35.0,35.0,6.4,11.9,13,2018
Marcedes Lewis,TE,GB,1.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
