player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Aaron Rodgers,QB,GB,1,62,62,95,5,0,58,58,28.1,45.3,13
Adrian Peterson,RB,WAS,1,23,23,36,57,4,57,61,15.9,69.1,13
Benjamin Watson,TE,NE,1,47,47,54,0,2,2,2,2.3,4.9,13
Danny Amendola,WR,DET,1,55,55,73,0,15,5,15,3.2,5.8,13
Drew Brees,QB,NO,1,47,47,94,2,0,66,66,11.3,24.0,13
Frank Gore,RB,BUF,1,15,15,22,60,7,67,67,2.5,16.7,13
Greg Olsen,TE,CAR,1,38,38,51,0,8,8,8,2.2,5.8,13
Jared Cook,TE,NO,1,28,28,56,0,21,11,21,8.5,30.4,13
Jason Witten,TE,DAL,1,55,55,72,0,15,11,15,12.2,22.2,13
Julian Edelman,WR,NE,1,80,80,92,1,14,9,15,15.9,19.9,13
Larry Fitzgerald,WR,ARI,1,58,58,92,0,12,10,12,5.6,9.7,13
LeSean McCoy,RB,KC,1,24,24,37,21,13,33,33,9.0,37.5,13
Marcedes Lewis,TE,GB,1,27,27,42,0,7,4,7,6.1,22.6,13
Matt Moore,QB,KC,1,1,1,2,100,0,100,100,-0.1,-10.0,13
Matt Ryan,QB,ATL,1,91,91,100,3,0,58,58,18.6,20.4,13
Philip Rivers,QB,LAC,1,62,62,100,0,0,47,47,17.6,28.4,13
Ryan Fitzpatrick,QB,MIA,1,71,71,99,4,0,59,59,27.8,39.2,13
Ted Ginn Jr.,WR,NO,1,27,27,54,0,4,0,4,0.0,0.0,13
Tom Brady,QB,NE,1,87,87,100,1,0,55,55,25.3,29.1,13
Andre Roberts,WR,BUF,1,1,1,1,0,0,0,0,0.0,0.0,13
Emmanuel Sanders,WR,SF,1,54,54,98,0,11,7,11,4.1,7.6,13
Jimmy Graham,TE,GB,1,27,27,42,0,4,4,4,1.6,5.9,13
Mark Ingram II,RB,BAL,1,35,35,55,43,6,49,49,6.2,17.7,13
Randall Cobb,WR,DAL,1,65,65,86,0,5,5,5,5.3,8.2,13
Kyle Rudolph,TE,MIN,1,46,46,85,0,13,9,13,11.0,23.9,13
Andy Dalton,QB,CIN,1,65,65,100,8,0,65,65,13.3,20.5,13
Anthony Sherman,RB,KC,1,6,6,9,17,17,33,33,0.7,11.7,13
Dion Lewis,RB,TEN,1,11,11,19,0,9,9,9,0.9,8.2,13
Lee Smith,TE,BUF,1,14,14,21,0,0,0,0,0.0,0.0,13
Tyrod Taylor,QB,LAC,1,1,1,2,0,0,0,0,0.0,0.0,13
Virgil Green,TE,LAC,1,22,22,35,0,5,0,5,0.0,0.0,13
Ryan Tannehill,QB,TEN,1,59,59,100,7,0,44,44,13.8,23.4,13
Nick Foles,QB,JAC,1,27,27,40,4,0,56,56,-1.0,-3.7,13
Kirk Cousins,QB,MIN,1,54,54,100,0,0,70,70,18.0,33.3,13
Russell Wilson,QB,SEA,1,75,75,100,5,0,47,47,17.9,23.9,13
Alshon Jeffery,WR,PHI,1,62,62,87,0,26,15,26,19.7,31.8,13
Mohamed Sanu Sr.,WR,NE,1,19,19,22,0,26,16,26,1.4,7.4,13
Marvin Jones Jr.,WR,DET,1,71,71,95,0,8,4,8,10.0,14.1,13
Brandon Bolden,RB,NE,1,1,1,1,0,0,0,0,0.0,0.0,13
Derek Carrier,TE,OAK,1,9,9,15,0,22,22,22,7.0,77.8,13
Josh Gordon,WR,SEA,1,27,27,36,0,4,4,4,1.0,3.7,13
Cole Beasley,WR,BUF,1,59,59,87,0,12,10,12,17.0,28.8,13
Garrett Celek,TE,SF,1,6,6,11,0,0,0,0,0.0,0.0,13
Travis Kelce,TE,KC,1,59,59,91,0,15,8,15,9.0,15.3,13
DeAndre Hopkins,WR,HOU,1,46,46,81,0,17,13,20,10.6,23.0,13
Robert Woods,WR,LAR,1,67,67,85,0,27,19,27,17.2,25.7,13
Kenny Stills,WR,HOU,1,37,37,65,0,11,8,11,12.1,32.7,13
Cordarrelle Patterson,RB,CHI,1,27,27,42,0,0,0,0,0.0,0.0,13
Keenan Allen,WR,LAC,1,59,59,95,0,10,10,10,12.8,21.7,13
Tavon Austin,WR,DAL,1,19,19,25,0,26,11,26,2.2,11.6,13
Giovani Bernard,RB,CIN,1,12,12,18,8,17,17,25,1.2,10.0,13
Le'Veon Bell,RB,NYJ,1,61,61,85,16,8,23,25,6.7,11.0,13
Chris Thompson,RB,WAS,1,23,23,36,13,9,17,22,2.9,12.6,13
Rex Burkhead,RB,NE,1,4,4,5,75,25,75,100,1.5,37.5,13
Kenjon Barner,RB,ATL,1,6,6,7,0,33,33,33,0.6,10.0,13
Zach Ertz,TE,PHI,1,51,51,72,0,12,6,12,2.4,4.7,13
Tyler Eifert,TE,CIN,1,24,24,37,0,8,4,8,1.2,5.0,13
Vance McDonald,TE,PIT,1,48,48,86,0,6,6,6,2.1,4.4,13
Kyle Juszczyk,RB,SF,1,25,25,45,0,0,0,0,0.0,0.0,13
Latavius Murray,RB,NO,1,13,13,26,31,0,31,31,0.2,1.5,13
Ryan Griffin,TE,NYJ,1,60,60,83,0,12,8,12,3.0,5.0,13
Demetrius Harris,TE,CLE,1,40,40,61,0,10,3,10,2.3,5.8,13
Jack Doyle,TE,IND,1,66,66,94,0,17,9,17,13.3,20.2,13
Patrick DiMarco,RB,BUF,1,9,9,13,0,0,0,0,0.0,0.0,13
Blake Bortles,QB,LAR,1,7,7,9,14,0,43,43,-0.9,-12.9,13
Derek Carr,QB,OAK,1,59,59,100,5,0,56,56,11.6,19.7,13
Logan Thomas,TE,DET,1,19,19,25,0,0,0,0,0.0,0.0,13
Carlos Hyde,RB,HOU,1,21,21,37,48,5,52,52,2.2,10.5,13
Devonta Freeman,RB,ATL,1,60,60,66,28,8,35,37,6.4,10.7,13
Sammy Watkins,WR,KC,1,40,40,62,0,8,0,8,0.0,0.0,13
Mike Evans,WR,TB,1,62,62,83,0,18,6,18,5.3,8.5,13
Brandin Cooks,WR,LAR,1,61,61,77,0,3,3,3,2.4,3.9,13
Davante Adams,WR,GB,1,51,51,78,0,20,12,20,18.4,36.1,13
Donte Moncrief,WR,CAR,1,9,9,12,0,0,0,0,0.0,0.0,13
Allen Robinson II,WR,CHI,1,59,59,91,0,20,14,20,14.6,24.7,13
Odell Beckham Jr.,WR,CLE,1,62,62,94,0,10,5,10,2.9,4.7,13
Jarvis Landry,WR,CLE,1,64,64,97,0,17,9,17,7.6,11.9,13
James White,RB,NE,1,68,68,78,21,16,32,37,29.7,43.7,13
Cody Latimer,WR,NYG,1,32,32,48,0,9,3,9,4.3,13.4,13
Jimmy Garoppolo,QB,SF,1,55,55,100,5,0,44,44,9.1,16.5,13
John Brown,WR,BUF,1,61,61,90,0,7,7,8,7.7,12.6,13
Garrett Gilbert,QB,CLE,1,2,2,3,0,0,100,100,0.0,0.0,13
Albert Wilson,WR,MIA,1,37,37,51,5,14,19,19,6.3,17.0,13
Willie Snead IV,WR,BAL,1,24,24,38,0,8,4,8,1.2,5.0,13
Allen Hurns,WR,MIA,1,57,57,79,0,7,5,7,3.3,5.8,13
Keith Smith,RB,ATL,1,16,16,18,13,6,13,19,0.4,2.5,13
Cameron Brate,TE,TB,1,27,27,36,0,4,4,4,0.5,1.9,13
Josh Hill,TE,NO,1,29,29,58,0,7,3,7,0.2,0.7,13
Darren Fells,TE,HOU,1,41,41,72,0,7,5,7,8.3,20.2,13
Diontae Spencer,WR,DEN,1,2,2,4,0,0,0,0,0.0,0.0,13
Seth Roberts,WR,BAL,1,32,32,50,0,6,3,6,0.5,1.6,13
Jameis Winston,QB,TB,1,74,74,99,8,0,53,53,10.7,14.5,13
Amari Cooper,WR,DAL,1,63,63,83,0,17,13,17,8.5,13.5,13
DeVante Parker,WR,MIA,1,58,58,81,0,17,12,17,27.9,48.1,13
Melvin Gordon III,RB,LAC,1,40,40,65,50,8,55,58,11.0,27.5,13
Todd Gurley II,RB,LAR,1,54,54,68,35,2,37,37,17.5,32.4,13
Maxx Williams,TE,ARI,1,18,18,29,0,0,0,0,0.0,0.0,13
Ameer Abdullah,RB,MIN,1,3,3,6,0,0,0,0,0.0,0.0,13
Tevin Coleman,RB,SF,1,10,10,18,50,10,60,60,1.5,15.0,13
Duke Johnson Jr.,RB,HOU,1,37,37,65,24,16,38,41,15.0,40.5,13
Jay Ajayi,RB,PHI,1,8,8,11,25,0,25,25,0.9,11.3,13
David Johnson,RB,ARI,1,15,15,24,27,13,40,40,2.4,16.0,13
Malcolm Brown,RB,LAR,1,18,18,23,33,6,33,39,3.0,16.7,13
Clive Walford,TE,MIA,1,11,11,15,0,9,0,9,0.0,0.0,13
Nick O'Leary,TE,JAC,1,47,47,69,0,9,2,9,0.6,1.3,13
Jesse James,TE,DET,1,25,25,33,0,0,0,0,0.0,0.0,13
Tyler Kroft,TE,BUF,1,12,12,18,0,0,0,0,0.0,0.0,13
Nick Boyle,TE,BAL,1,59,59,92,0,3,2,3,0.4,0.7,13
MyCole Pruitt,TE,TEN,1,26,26,44,0,0,0,0,0.0,0.0,13
Blake Bell,TE,KC,1,34,34,52,0,3,0,3,0.0,0.0,13
