,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,77,77,100,4,0,56,56,9.3,12.1
1,Adrian Peterson,RB,WAS,1,35,35,50,43,6,49,49,11.5,32.9
2,Benjamin Watson,TE,NE,1,31,31,42,0,10,10,10,1.5,4.8
3,Brian Hoyer,QB,IND,1,3,3,5,100,0,100,100,-0.2,-6.7
4,Danny Amendola,WR,DET,1,41,41,82,0,7,5,7,2.1,5.1
5,Drew Brees,QB,NO,1,68,68,97,4,0,60,60,22.9,33.7
6,Frank Gore,RB,BUF,1,2,2,4,0,0,0,0,0.0,0.0
7,Greg Olsen,TE,CAR,1,40,40,57,0,13,5,13,3.3,8.3
8,Jared Cook,TE,NO,1,36,36,51,0,11,8,11,20.4,56.7
9,Jason Witten,TE,DAL,1,49,49,78,0,6,4,6,1.4,2.9
10,Julian Edelman,WR,NE,1,52,52,71,0,12,10,12,9.2,17.7
11,Larry Fitzgerald,WR,ARI,1,60,60,87,0,12,7,12,10.8,18.0
12,Marcedes Lewis,TE,GB,1,41,41,53,0,2,2,2,0.2,0.5
13,Matt Moore,QB,KC,1,1,1,2,100,0,100,100,-0.1,-10.0
14,Matt Ryan,QB,ATL,1,75,75,99,5,0,65,65,18.0,24.0
15,Matthew Slater,WR,NE,1,3,3,4,0,0,0,0,0.0,0.0
16,Philip Rivers,QB,LAC,1,60,60,98,0,0,65,65,11.2,18.7
17,Ryan Fitzpatrick,QB,MIA,1,90,90,97,6,0,63,63,32.7,36.3
18,Ted Ginn Jr.,WR,NO,1,25,25,36,0,4,0,4,0.0,0.0
19,Tom Brady,QB,NE,1,73,73,100,5,0,51,51,17.2,23.6
20,Golden Tate,WR,NYG,1,59,59,84,0,19,10,19,9.6,16.3
21,Andre Roberts,WR,BUF,1,13,13,24,0,0,0,0,0.0,0.0
22,Emmanuel Sanders,WR,SF,1,56,56,98,0,11,5,11,6.1,10.9
23,Jimmy Graham,TE,GB,1,41,41,53,0,2,2,2,1.6,3.9
24,Julio Jones,WR,ATL,1,57,57,75,0,26,18,26,16.6,29.1
25,Mark Ingram II,RB,BAL,1,30,30,41,27,7,33,33,15.1,50.3
26,Randall Cobb,WR,DAL,1,48,48,76,0,15,10,15,7.3,15.2
27,Kyle Rudolph,TE,MIN,1,36,36,65,0,6,3,6,0.7,1.9
28,Andy Dalton,QB,CIN,1,90,90,100,0,0,62,62,33.8,37.6
29,Luke Stocker,TE,ATL,1,40,40,53,0,3,0,3,0.0,0.0
30,Anthony Sherman,RB,KC,1,4,4,6,0,0,0,0,0.0,0.0
31,Dion Lewis,RB,TEN,1,43,43,69,35,5,37,40,8.7,20.2
32,Lee Smith,TE,BUF,1,2,2,4,0,0,0,0,0.0,0.0
33,Tyrod Taylor,QB,LAC,1,2,2,3,100,0,100,100,-0.2,-10.0
34,Virgil Green,TE,LAC,1,12,12,20,0,8,8,8,0.4,3.3
35,Ryan Tannehill,QB,TEN,1,62,62,100,2,0,45,45,23.7,38.2
36,Kirk Cousins,QB,MIN,1,54,54,98,0,2,57,59,7.9,14.6
37,Russell Wilson,QB,SEA,1,57,57,100,4,0,58,58,11.0,19.3
38,Mohamed Sanu Sr.,WR,NE,1,70,70,96,0,7,4,7,2.4,3.4
39,T.Y. Hilton,WR,IND,1,38,38,59,0,11,8,11,2.6,6.8
40,Brandon Bolden,RB,NE,1,3,3,4,0,0,0,0,0.0,0.0
41,Derek Carrier,TE,OAK,1,18,18,29,0,11,11,11,1.2,6.7
42,Case Keenum,QB,WAS,1,35,35,50,3,0,66,66,16.4,46.9
43,Cole Beasley,WR,BUF,1,46,46,84,0,26,15,26,10.8,23.5
