rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Jason Witten,5.0,7.0,53.0,10.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,0.1,TE,7,2009,DAL
2.0,Greg Olsen,4.0,5.0,24.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,7.0,TE,7,2009,CHI
167.0,Dustin Keller,1.0,4.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,NYJ
168.0,Dante Rosario,3.0,4.0,35.0,11.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,CAR
170.0,David Johnson,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,PIT
171.0,Delanie Walker,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,TE,7,2009,SF
173.0,Fred Davis,8.0,10.0,78.0,9.8,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,WAS
174.0,Gary Barnidge,3.0,6.0,77.0,25.7,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,TE,7,2009,CAR
175.0,Heath Miller,6.0,6.0,38.0,6.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,PIT
176.0,J.P. Foschi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,7,2009,CIN
180.0,Daniel Fells,1.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,LAR
181.0,Anthony Fasano,3.0,4.0,21.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,TE,7,2009,MIA
182.0,Antonio Gates,5.0,6.0,55.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,TE,7,2009,LAC
187.0,Dallas Clark,3.0,5.0,44.0,14.7,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,IND
189.0,Brent Celek,3.0,5.0,8.0,2.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,PHI
193.0,Jeff King,3.0,3.0,23.0,7.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,CAR
194.0,Tony Gonzalez,4.0,7.0,37.0,9.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,ATL
195.0,Vernon Davis,7.0,11.0,93.0,13.3,29.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,TE,7,2009,SF
196.0,Zach Miller,2.0,2.0,15.0,7.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,LV
197.0,Owen Daniels,7.0,9.0,123.0,17.6,42.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,HOU
200.0,Jermichael Finley,1.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,GB
206.0,Kellen Winslow,2.0,4.0,9.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,7,2009,TB
208.0,Martellus Bennett,3.0,3.0,32.0,10.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,TE,7,2009,DAL
