Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Cam Newton(CAR),15,27,55.6,232,8.6,3,0,2,7,78,0,0,1,29.1,29.1,20.3%
2,Russell Wilson(DEN),23,37,62.2,293,7.9,2,0,2,9,71,0,0,1,26.8,26.8,90.4%
3,Matthew Stafford(LAR),27,46,58.7,313,6.8,2,1,0,1,0,0,0,1,18.5,18.5,97.2%
4,Ryan Fitzpatrick(WAS),9,17,52.9,112,6.6,2,1,0,5,18,1,0,1,18.3,18.3,6.1%
5,Robert Griffin III(FA),13,21,61.9,163,7.8,1,0,0,5,72,0,0,1,17.7,17.7,0.6%
6,Matt Schaub(FA),21,35,60.0,207,5.9,2,0,0,4,5,0,0,1,16.2,16.2,0.0%
7,Andy Dalton(CHI),25,38,65.8,211,5.6,1,2,1,4,5,1,0,1,14.9,14.9,1.6%
8,Aaron Rodgers(GB),27,35,77.1,286,8.2,1,1,2,4,15,0,0,1,14.9,14.9,97.4%
9,Nick Foles(CHI),22,34,64.7,251,7.4,1,0,1,0,0,0,0,1,14.0,14.0,0.7%
10,Chad Henne(KC),19,42,45.2,202,4.8,1,1,3,3,1,1,1,1,13.6,13.6,0.1%
11,Ryan Tannehill(TEN),13,29,44.8,186,6.4,0,0,3,5,19,1,1,1,13.3,13.3,62.7%
12,Tom Brady(FA),24,40,60.0,238,6.0,1,1,4,4,-1,0,0,1,11.4,11.4,99.1%
13,Matt Ryan(ATL),18,33,54.5,165,5.0,1,0,1,3,-2,0,0,1,10.4,10.4,36.3%
14,Joe Flacco(NYJ),16,34,47.1,188,5.5,1,1,3,1,-1,0,1,1,7.4,7.4,0.3%
15,Drew Brees(FA),28,50,56.0,341,6.8,0,5,1,0,0,0,0,1,3.6,3.6,35.7%
16,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
17,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
18,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
19,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
20,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
21,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
22,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
23,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
24,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
25,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
26,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
27,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
28,Drew Lock(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
29,Daniel Jones(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6%
30,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
31,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
32,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
33,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
34,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
35,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
36,Jake Browning(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
37,Gardner Minshew II(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%
38,Jarrett Stidham(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,Danny Etling(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,Alex McGough(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,Tim Boyle(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
42,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
44,Kyler Murray(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3%
45,Justin Herbert(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8%
46,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,Kellen Mond(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
48,Bryce Perkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,Chris Streveler(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,Shane Buechele(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
