rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Jimmy Graham,9,16,115,12.8,27,1,1,0,0,0,0,1,17.5,17.5,0.8,CHI,TE,17,2012
2,Jason Witten,7,8,56,8.0,14,0,1,0,0,0,0,1,11.6,11.6,0.1,FA,TE,17,2012
3,Marcedes Lewis,7,10,103,14.7,25,2,0,0,0,0,0,1,10.3,10.3,0.2,GB,TE,17,2012
4,Rob Gronkowski,2,4,42,21.0,23,1,1,0,0,0,0,1,10.2,10.2,97.7,TB,TE,17,2012
5,Luke Stocker,3,5,50,16.7,26,1,0,0,0,0,0,1,5.0,5.0,0.0,MIN,TE,17,2012
6,Greg Olsen,4,5,43,10.8,16,0,0,0,0,0,0,1,4.3,4.3,7.0,FA,TE,17,2012
7,Kyle Rudolph,2,6,20,10.0,10,0,0,0,0,0,0,1,2.0,2.0,0.3,NYG,TE,17,2012
8,Virgil Green,2,2,19,9.5,11,0,0,0,0,0,0,1,1.9,1.9,0.0,FA,TE,17,2012
9,Bruce Miller,1,1,6,6.0,6,0,0,2,3,0,0,1,0.9,0.9,0.0,FA,TE,17,2012
10,Garrett Graham,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0,FA,TE,17,2012
11,Parker Hesse,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,TE,17,2012
12,Chris Myarick,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,TE,17,2012
13,Ian Bunting,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,TE,17,2012
14,Alex Smith,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,TE,17,2012
15,Cole Kmet,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,33.3,CHI,TE,17,2012
16,Brycen Hopkins,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,LAR,TE,17,2012
17,Hunter Bryant,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DET,TE,17,2012
