Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Julio Jones(TEN),6,9,108,18.0,31,2,2,0,0,0,0,1,22.8,22.8,60.7%
2,Alshon Jeffery(FA),3,5,80,26.7,42,2,1,0,0,0,0,1,14.0,14.0,0.1%
3,Andre Roberts(LAC),5,9,54,10.8,19,0,1,1,15,0,0,1,12.9,12.9,0.1%
4,Dez Bryant(FA),4,5,85,21.3,38,1,0,0,0,0,0,1,8.5,8.5,2.6%
5,DeSean Jackson(LV),4,11,77,19.3,35,1,0,1,5,0,0,1,8.2,8.2,4.4%
6,Antonio Brown(FA),4,8,74,18.5,27,2,0,1,4,0,0,1,7.8,7.8,84.1%
7,Randall Cobb(GB),9,9,77,8.6,16,0,0,0,0,0,0,1,7.7,7.7,7.6%
8,A.J. Green(ARI),5,11,70,14.0,19,0,0,0,0,0,0,1,7.0,7.0,51.8%
9,Larry Fitzgerald(FA),4,11,63,15.8,23,2,0,0,0,0,0,1,6.3,6.3,0.3%
10,Emmanuel Sanders(BUF),4,8,55,13.8,17,0,0,0,0,0,0,1,5.5,5.5,46.6%
11,Travis Benjamin(SF),1,6,12,12.0,12,0,0,1,35,0,0,1,4.7,4.7,0.0%
12,Josh Gordon(KC),2,4,32,16.0,20,1,0,0,0,0,0,1,3.2,3.2,1.8%
13,Julian Edelman(FA),1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,13.1%
14,DeVonta Smith(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6%
15,Tom Kennedy(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
16,Laviska Shenault Jr.(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3%
17,Jalen Reagor(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3%
18,Tee Higgins(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2%
19,CeeDee Lamb(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7%
20,Jerry Jeudy(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4%
21,Justin Jefferson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
22,Gunner Olszewski(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
23,Michael Pittman Jr.(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6%
24,Brandon Aiyuk(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8%
25,Jauan Jennings(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
26,Lynn Bowden Jr.(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
27,Juwan Johnson(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
28,Quartney Davis(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
