rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Dan Bailey,3,3,100.0,53,0,0,1,0,2,1,1,1,14.0,14.0,0.0,FA,K,2,2013
2,Matt Prater,2,2,100.0,47,0,0,0,2,0,5,5,1,13.0,13.0,52.8,ARI,K,2,2013
3,Graham Gano,3,3,100.0,39,0,2,1,0,0,2,2,1,11.0,11.0,31.4,NYG,K,2,2013
4,Stephen Hauschka,2,2,100.0,37,0,0,2,0,0,3,3,1,9.0,9.0,0.0,FA,K,2,2013
5,Mike Nugent,2,2,100.0,41,0,1,0,1,0,2,2,1,9.0,9.0,1.0,FA,K,2,2013
6,Mason Crosby,1,1,100.0,28,0,1,0,0,0,5,5,1,8.0,8.0,40.7,GB,K,2,2013
7,Robbie Gould,1,1,100.0,20,0,1,0,0,0,4,4,1,7.0,7.0,22.5,SF,K,2,2013
8,Stephen Gostkowski,2,3,66.7,30,0,1,1,0,0,1,1,1,7.0,7.0,0.1,FA,K,2,2013
9,Ryan Succop,1,2,50.0,40,0,0,0,1,0,2,2,1,6.0,6.0,57.4,TB,K,2,2013
10,Greg Zuerlein,1,1,100.0,29,0,1,0,0,0,3,3,1,6.0,6.0,74.2,DAL,K,2,2013
11,Nick Folk,1,1,100.0,37,0,0,1,0,0,1,1,1,4.0,4.0,81.8,NE,K,2,2013
12,Justin Tucker,0,2,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,98.0,BAL,K,2,2013
13,Randy Bullock,0,3,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,10.8,TEN,K,2,2013
14,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,2,2013
15,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,2,2013
16,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,2,2013
17,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,2,2013
18,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,K,2,2013
19,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,2,2013
20,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,2,2013
21,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,2,2013
22,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,2,2013
23,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,2,2013
24,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,2,2013
25,Adam Vinatieri,2,3,66.7,38,0,0,2,0,0,2,2,1,0.0,0.0,0.2,FA,K,2,2013
