rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Stefon Diggs,9,11,182,20.2,46,3,1,0,0,0,0,1,24.2,24.2,100.0,BUF,WR,2,2016
2,Travis Benjamin,6,6,115,19.2,45,2,2,1,-1,0,0,1,23.4,23.4,0.0,SF,WR,2,2016
3,Kelvin Benjamin,7,9,108,15.4,25,2,2,0,0,0,0,1,22.8,22.8,0.1,FA,WR,2,2016
4,Corey Coleman,5,8,104,20.8,47,2,2,0,0,0,0,1,22.4,22.4,0.0,FA,WR,2,2016
5,Eric Decker,6,8,126,21.0,35,3,1,0,0,0,0,1,18.6,18.6,0.6,FA,WR,2,2016
6,DeAndre Hopkins,7,11,113,16.1,35,2,1,0,0,0,0,1,17.3,17.3,69.3,ARI,WR,2,2016
7,Marquise Goodwin,2,5,112,56.0,84,1,1,0,0,0,0,1,17.2,17.2,0.3,CHI,WR,2,2016
8,Julio Jones,5,5,106,21.2,48,3,1,0,0,0,0,1,16.6,16.6,60.7,TEN,WR,2,2016
9,Mike Wallace,4,6,41,10.3,17,0,2,0,0,0,0,1,16.1,16.1,0.0,FA,WR,2,2016
10,Danny Amendola,4,4,48,12.0,13,0,2,0,0,0,1,1,15.0,15.0,0.1,HOU,WR,2,2016
11,Greg Salas,4,5,89,22.3,71,1,1,0,0,0,0,1,14.9,14.9,0.0,FA,WR,2,2016
12,Larry Fitzgerald,5,10,77,15.4,25,2,1,1,4,0,0,1,14.1,14.1,0.3,FA,WR,2,2016
13,Jaron Brown,2,2,78,39.0,51,2,1,0,0,0,0,1,13.8,13.8,0.0,ARI,WR,2,2016
14,Jordy Nelson,5,11,73,14.6,39,2,1,0,0,0,0,1,13.3,13.3,0.1,FA,WR,2,2016
15,Mike Evans,6,18,70,11.7,19,0,1,0,0,0,0,1,13.0,13.0,97.8,TB,WR,2,2016
16,Tyrell Williams,3,6,61,20.3,44,1,1,0,0,0,0,1,12.1,12.1,4.8,FA,WR,2,2016
17,Marvin Jones Jr.,8,11,118,14.8,47,2,0,0,0,0,0,1,11.8,11.8,55.4,JAC,WR,2,2016
18,Sterling Shepard,8,8,117,14.6,32,2,0,0,0,0,0,1,11.7,11.7,23.7,NYG,WR,2,2016
19,Jarvis Landry,10,13,135,13.5,33,3,0,0,0,0,1,1,11.7,11.7,72.5,CLE,WR,2,2016
20,Torrey Smith,3,10,55,18.3,28,2,1,0,0,0,0,1,11.5,11.5,0.0,FA,WR,2,2016
21,Willie Snead IV,5,8,54,10.8,17,0,1,0,0,0,0,1,11.4,11.4,0.1,FA,WR,2,2016
22,Demaryius Thomas,5,7,90,18.0,44,1,0,0,0,0,0,1,11.0,11.0,0.1,FA,WR,2,2016
23,Anquan Boldin,4,7,48,12.0,24,1,1,0,0,0,0,1,10.8,10.8,0.1,FA,WR,2,2016
24,DeVante Parker,8,13,106,13.3,28,2,0,0,0,0,0,1,10.6,10.6,64.3,MIA,WR,2,2016
25,William Fuller V,4,7,104,26.0,53,2,0,0,0,0,0,1,10.4,10.4,22.8,MIA,WR,2,2016
26,Sammie Coates,2,5,97,48.5,53,2,0,1,6,0,0,1,10.3,10.3,0.0,FA,WR,2,2016
27,Dez Bryant,7,12,102,14.6,21,1,0,0,0,0,0,1,10.2,10.2,2.6,FA,WR,2,2016
28,Brandon Marshall,6,9,101,16.8,37,2,0,0,0,0,0,1,10.1,10.1,2.6,FA,WR,2,2016
29,Jamison Crowder,6,8,39,6.5,11,0,1,0,0,0,0,1,9.9,9.9,23.6,NYJ,WR,2,2016
30,Kenny Stills,2,4,39,19.5,24,1,1,0,0,0,0,1,9.9,9.9,0.1,NO,WR,2,2016
31,Tyler Lockett,4,4,99,24.8,53,2,0,0,0,0,0,1,9.9,9.9,97.5,SEA,WR,2,2016
32,Alshon Jeffery,5,7,96,19.2,49,2,0,0,0,0,0,1,9.6,9.6,0.1,FA,WR,2,2016
33,Kenny Britt,6,10,94,15.7,36,1,0,0,0,0,0,1,9.4,9.4,0.0,FA,WR,2,2016
34,Quincy Enunwa,6,6,92,15.3,34,2,0,0,0,0,0,1,9.2,9.2,0.0,FA,WR,2,2016
35,Michael Crabtree,4,5,31,7.8,10,0,1,0,0,0,0,1,9.1,9.1,0.0,FA,WR,2,2016
36,Odell Beckham Jr.,8,11,86,10.8,17,0,0,0,0,0,0,1,8.6,8.6,90.8,LAR,WR,2,2016
37,Devin Funchess,2,4,19,9.5,16,0,1,0,0,0,0,1,7.9,7.9,0.0,FA,WR,2,2016
38,Julian Edelman,7,10,76,10.9,19,0,0,0,0,0,0,1,7.6,7.6,13.1,FA,WR,2,2016
39,Cole Beasley,5,6,75,15.0,28,1,0,0,0,0,0,1,7.5,7.5,63.2,BUF,WR,2,2016
40,Marqise Lee,5,7,75,15.0,22,1,0,0,0,0,0,1,7.5,7.5,0.0,FA,WR,2,2016
41,Amari Cooper,5,9,71,14.2,25,1,0,0,0,0,0,1,7.1,7.1,97.7,DAL,WR,2,2016
42,Victor Cruz,4,8,91,22.8,40,2,0,0,0,0,1,1,7.1,7.1,0.1,FA,WR,2,2016
43,Jordan Matthews,6,9,71,11.8,32,2,0,0,0,0,0,1,7.1,7.1,0.0,SF,WR,2,2016
44,Andre Johnson,1,2,9,9.0,9,0,1,0,0,0,0,1,6.9,6.9,0.0,FA,WR,2,2016
45,Justin Hardy,1,3,8,8.0,8,0,1,0,0,0,0,1,6.8,6.8,0.0,FA,WR,2,2016
46,Jeremy Maclin,6,15,68,11.3,17,0,0,0,0,0,0,1,6.8,6.8,0.0,FA,WR,2,2016
47,Brandin Cooks,7,9,68,9.7,18,0,0,0,0,0,0,1,6.8,6.8,92.7,HOU,WR,2,2016
48,Michael Floyd,2,6,8,4.0,7,0,1,0,0,0,0,1,6.8,6.8,0.0,FA,WR,2,2016
49,Adam Humphries,6,8,67,11.2,24,1,0,0,0,0,0,1,6.7,6.7,0.8,WAS,WR,2,2016
50,Andre Holmes,1,3,6,6.0,6,0,1,0,0,0,0,1,6.6,6.6,0.0,FA,WR,2,2016
51,Allen Hurns,5,10,64,12.8,24,1,0,0,0,0,0,1,6.4,6.4,0.0,MIA,WR,2,2016
52,Steve Smith,3,6,64,21.3,31,1,0,0,0,0,0,1,6.4,6.4,0.0,FA,WR,2,2016
53,Chris Hogan,4,6,59,14.8,24,1,0,0,0,0,0,1,5.9,5.9,0.0,FA,WR,2,2016
54,Tyler Boyd,6,8,78,13.0,29,1,0,0,0,0,1,1,5.8,5.8,71.3,CIN,WR,2,2016
55,Josh Doctson,1,5,57,57.0,57,1,0,0,0,0,0,1,5.7,5.7,0.0,FA,WR,2,2016
56,Tavon Austin,5,9,50,10.0,27,1,0,2,6,0,0,1,5.6,5.6,0.1,JAC,WR,2,2016
57,Michael Thomas,4,5,56,14.0,23,1,0,0,0,0,0,1,5.6,5.6,20.6,NO,WR,2,2016
58,Allen Robinson II,3,5,54,18.0,35,1,0,0,0,0,0,1,5.4,5.4,53.7,CHI,WR,2,2016
59,Eddie Royal,4,6,52,13.0,31,1,0,0,0,0,0,1,5.2,5.2,0.0,FA,WR,2,2016
60,Kevin White,4,6,36,9.0,19,0,0,1,9,0,0,1,4.5,4.5,0.0,NO,WR,2,2016
61,Vincent Jackson,4,9,44,11.0,15,0,0,0,0,0,0,1,4.4,4.4,0.0,FA,WR,2,2016
62,Randall Cobb,5,7,42,8.4,14,0,0,1,1,0,0,1,4.3,4.3,7.6,GB,WR,2,2016
63,Nelson Agholor,4,7,42,10.5,18,0,0,0,0,0,0,1,4.2,4.2,13.6,NE,WR,2,2016
64,Adam Thielen,4,5,41,10.3,15,0,0,0,0,0,0,1,4.1,4.1,82.7,MIN,WR,2,2016
65,T.Y. Hilton,4,11,41,10.3,16,0,0,0,0,0,0,1,4.1,4.1,16.8,IND,WR,2,2016
66,DeSean Jackson,3,5,40,13.3,28,1,0,0,0,0,0,1,4.0,4.0,4.4,LV,WR,2,2016
67,Rishard Matthews,4,6,40,10.0,20,1,0,0,0,0,0,1,4.0,4.0,0.0,FA,WR,2,2016
68,Brandon LaFell,3,8,39,13.0,17,0,0,0,0,0,0,1,3.9,3.9,0.0,FA,WR,2,2016
69,Emmanuel Sanders,3,8,39,13.0,19,0,0,0,0,0,0,1,3.9,3.9,46.6,BUF,WR,2,2016
70,Antonio Brown,4,11,39,9.8,17,0,0,0,0,0,0,1,3.9,3.9,84.1,FA,WR,2,2016
71,A.J. Green,2,8,38,19.0,21,1,0,0,0,0,0,1,3.8,3.8,51.8,ARI,WR,2,2016
72,Ted Ginn Jr.,2,4,51,25.5,52,1,0,1,5,0,1,1,3.6,3.6,0.0,FA,WR,2,2016
73,Paul Richardson Jr.,3,6,35,11.7,14,0,0,0,0,0,0,1,3.5,3.5,0.0,FA,WR,2,2016
74,Tajae Sharpe,4,7,33,8.3,12,0,0,0,0,0,0,1,3.3,3.3,1.1,ATL,WR,2,2016
75,Breshad Perriman,2,5,32,16.0,20,1,0,0,0,0,0,1,3.2,3.2,2.5,TB,WR,2,2016
76,Terrelle Pryor Sr.,3,10,32,10.7,16,0,0,0,0,0,0,1,3.2,3.2,0.0,FA,WR,2,2016
77,Phillip Dorsett II,1,5,30,30.0,30,1,0,0,0,0,0,1,3.0,3.0,0.0,HOU,WR,2,2016
78,Aldrick Robinson,3,4,39,13.0,20,1,0,0,0,0,0,1,3.0,3.0,0.0,FA,WR,2,2016
79,Jeremy Kerley,3,6,29,9.7,13,0,0,0,0,0,0,1,2.9,2.9,0.0,FA,WR,2,2016
80,Andrew Hawkins,3,3,28,9.3,16,0,0,0,0,0,0,1,2.8,2.8,0.0,FA,WR,2,2016
81,Taylor Gabriel,2,2,19,9.5,11,0,0,0,0,0,0,1,2.8,2.8,0.1,FA,WR,2,2016
82,Seth Roberts,3,6,25,8.3,14,0,0,0,0,0,0,1,2.5,2.5,0.0,FA,WR,2,2016
83,Jalin Marshall,3,4,45,15.0,27,1,0,0,0,0,1,1,2.5,2.5,0.0,FA,WR,2,2016
