rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
2.0,Kareem Hunt,24.0,155.0,6.5,23.0,2.0,1.0,7.0,9.0,51.0,7.3,1.0,0.0,1.0,32.6,32.6,82.1,RB,15,2017,KC
4.0,Devonta Freeman,22.0,126.0,5.7,32.0,2.0,1.0,5.0,7.0,68.0,13.6,0.0,0.0,1.0,25.4,25.4,74.2,RB,15,2017,ATL
6.0,Le'Veon Bell,24.0,117.0,4.9,18.0,0.0,1.0,5.0,6.0,48.0,9.6,0.0,0.0,1.0,22.5,22.5,5.4,RB,15,2017,PIT
7.0,LeSean McCoy,20.0,50.0,2.5,14.0,0.0,1.0,4.0,5.0,46.0,11.5,1.0,0.0,1.0,21.6,21.6,2.0,RB,15,2017,BUF
8.0,Christian McCaffrey,12.0,63.0,5.3,15.0,0.0,0.0,6.0,7.0,73.0,12.2,1.0,0.0,1.0,19.6,19.6,47.2,RB,15,2017,CAR
9.0,Kenyan Drake,16.0,78.0,4.9,31.0,1.0,1.0,6.0,11.0,35.0,5.8,0.0,0.0,1.0,17.3,17.3,29.4,RB,15,2017,MIA
10.0,Latavius Murray,20.0,76.0,3.8,14.0,0.0,1.0,1.0,1.0,28.0,28.0,0.0,0.0,1.0,16.4,16.4,22.2,RB,15,2017,MIN
11.0,C.J. Anderson,30.0,158.0,5.3,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.8,15.8,1.0,RB,15,2017,DEN
12.0,Alvin Kamara,12.0,44.0,3.7,12.0,0.0,0.0,6.0,7.0,45.0,7.5,1.0,0.0,1.0,14.9,14.9,100.0,RB,15,2017,NO
13.0,Dion Lewis,13.0,67.0,5.2,12.0,0.0,1.0,1.0,2.0,13.0,13.0,0.0,0.0,1.0,14.0,14.0,2.0,RB,15,2017,NE
14.0,Jerick McKinnon,9.0,24.0,2.7,9.0,0.0,0.0,7.0,8.0,114.0,16.3,0.0,0.0,1.0,13.8,13.8,0.8,RB,15,2017,MIN
15.0,Elijah McGuire,4.0,24.0,6.0,10.0,0.0,0.0,3.0,3.0,48.0,16.0,1.0,0.0,1.0,13.2,13.2,0.0,RB,15,2017,NYJ
16.0,Corey Grant,10.0,69.0,6.9,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.9,12.9,0.0,RB,15,2017,JAC
17.0,Tommy Bohanon,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.2,12.2,0.0,RB,15,2017,JAC
18.0,Kapri Bibbs,2.0,6.0,3.0,6.0,0.0,0.0,4.0,4.0,47.0,11.8,1.0,0.0,1.0,11.3,11.3,0.1,RB,15,2017,WAS
19.0,Bilal Powell,13.0,44.0,3.4,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.4,10.4,0.0,RB,15,2017,NYJ
20.0,Giovani Bernard,14.0,30.0,2.1,4.0,0.0,1.0,3.0,5.0,13.0,4.3,0.0,0.0,1.0,10.3,10.3,5.4,RB,15,2017,CIN
22.0,Rod Smith,7.0,13.0,1.9,6.0,0.0,1.0,3.0,3.0,21.0,7.0,0.0,0.0,1.0,9.4,9.4,0.0,RB,15,2017,DAL
24.0,Marshawn Lynch,16.0,76.0,4.8,19.0,0.0,0.0,3.0,4.0,16.0,5.3,0.0,0.0,1.0,9.2,9.2,0.3,RB,15,2017,LV
25.0,Jay Ajayi,12.0,49.0,4.1,22.0,1.0,0.0,2.0,2.0,40.0,20.0,0.0,0.0,1.0,8.9,8.9,7.0,RB,15,2017,PHI
27.0,Rex Burkhead,4.0,12.0,3.0,6.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,7.7,7.7,31.5,RB,15,2017,NE
28.0,Orleans Darkwa,9.0,7.0,0.8,5.0,0.0,1.0,1.0,3.0,9.0,9.0,0.0,0.0,1.0,7.6,7.6,0.0,RB,15,2017,NYG
29.0,Javorius Allen,13.0,70.0,5.4,16.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,7.4,7.4,0.1,RB,15,2017,BAL
30.0,Frank Gore,10.0,31.0,3.1,9.0,0.0,0.0,3.0,4.0,37.0,12.3,0.0,0.0,1.0,6.8,6.8,12.2,RB,15,2017,IND
31.0,Samaje Perine,14.0,37.0,2.6,6.0,0.0,0.0,2.0,2.0,29.0,14.5,0.0,0.0,1.0,6.6,6.6,15.2,RB,15,2017,WAS
32.0,Isaiah Crowell,5.0,72.0,14.4,59.0,1.0,0.0,4.0,5.0,-7.0,-1.8,0.0,0.0,1.0,6.5,6.5,0.1,RB,15,2017,CLE
33.0,DeMarco Murray,18.0,59.0,3.3,11.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,6.3,6.3,0.1,RB,15,2017,TEN
34.0,Jordan Howard,10.0,37.0,3.7,16.0,0.0,0.0,4.0,4.0,26.0,6.5,0.0,0.0,1.0,6.3,6.3,18.7,RB,15,2017,CHI
35.0,Alfred Morris,16.0,61.0,3.8,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.1,6.1,0.0,RB,15,2017,DAL
36.0,Kerwynn Williams,17.0,61.0,3.6,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.1,6.1,0.0,RB,15,2017,ARI
37.0,J.D. McKissic,6.0,20.0,3.3,5.0,0.0,0.0,3.0,4.0,38.0,12.7,0.0,0.0,1.0,5.8,5.8,32.9,RB,15,2017,SEA
38.0,Alfred Blue,12.0,55.0,4.6,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,0.0,RB,15,2017,HOU
39.0,Aaron Jones,3.0,47.0,15.7,23.0,2.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,5.3,5.3,98.9,RB,15,2017,GB
40.0,Alex Collins,12.0,19.0,1.6,6.0,0.0,0.0,5.0,8.0,33.0,6.6,0.0,0.0,1.0,5.2,5.2,18.8,RB,15,2017,BAL
41.0,T.J. Yeldon,7.0,27.0,3.9,9.0,0.0,0.0,4.0,5.0,25.0,6.3,0.0,0.0,1.0,5.2,5.2,0.0,RB,15,2017,JAC
42.0,Devontae Booker,11.0,39.0,3.5,12.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,4.9,4.9,23.3,RB,15,2017,DEN
43.0,Peyton Barber,13.0,53.0,4.1,9.0,0.0,0.0,3.0,3.0,15.0,5.0,0.0,1.0,1.0,4.8,4.8,1.2,RB,15,2017,TB
44.0,Terron Ward,8.0,40.0,5.0,13.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,4.6,4.6,0.0,RB,15,2017,ATL
45.0,Malcolm Brown,10.0,45.0,4.5,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,3.6,RB,15,2017,LAR
46.0,Elijhaa Penny,10.0,45.0,4.5,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,0.1,RB,15,2017,ARI
47.0,Chris Ivory,17.0,42.0,2.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,0.0,RB,15,2017,JAC
48.0,Theo Riddick,8.0,49.0,6.1,12.0,0.0,0.0,3.0,3.0,12.0,4.0,0.0,1.0,1.0,4.1,4.1,0.0,RB,15,2017,DET
49.0,Carlos Hyde,16.0,25.0,1.6,8.0,0.0,0.0,2.0,2.0,14.0,7.0,0.0,0.0,1.0,3.9,3.9,6.9,RB,15,2017,SF
50.0,Mike Davis,6.0,19.0,3.2,11.0,0.0,0.0,2.0,2.0,20.0,10.0,0.0,0.0,1.0,3.9,3.9,49.7,RB,15,2017,SEA
51.0,Travaris Cadet,4.0,24.0,6.0,12.0,0.0,0.0,1.0,1.0,14.0,14.0,0.0,0.0,1.0,3.8,3.8,0.0,RB,15,2017,BUF
52.0,Jonathan Stewart,11.0,27.0,2.5,9.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,3.6,3.6,0.0,RB,15,2017,CAR
53.0,Tion Green,10.0,35.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,0.0,RB,15,2017,DET
54.0,Matt Forte,7.0,24.0,3.4,11.0,0.0,0.0,2.0,5.0,10.0,5.0,0.0,0.0,1.0,3.4,3.4,19.1,RB,15,2017,NYJ
55.0,Lamar Miller,9.0,32.0,3.6,11.0,0.0,0.0,2.0,4.0,1.0,0.5,0.0,0.0,1.0,3.3,3.3,0.0,RB,15,2017,HOU
56.0,Danny Woodhead,1.0,1.0,1.0,1.0,0.0,0.0,6.0,7.0,31.0,5.2,0.0,0.0,1.0,3.2,3.2,20.6,RB,15,2017,BAL
57.0,Jamaal Williams,10.0,30.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,58.2,RB,15,2017,GB
