rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Melvin Gordon III,25,83,3.3,18,0,1,9,12,67,7.4,1,0,1,27.0,27.0,87.8,DEN,6,RB
2,Adrian Peterson,26,134,5.2,27,1,2,0,0,0,0.0,0,0,1,25.4,25.4,4.9,SEA,6,RB
3,Le'Veon Bell,32,179,5.6,27,1,1,3,6,12,4.0,0,0,1,25.1,25.1,5.4,FA,6,RB
4,Mark Ingram II,25,114,4.6,51,1,2,5,5,36,7.2,0,1,1,25.0,25.0,39.1,NO,6,RB
5,Derrick Henry,19,131,6.9,72,1,1,1,1,14,14.0,0,0,1,20.5,20.5,78.0,TEN,6,RB
6,Jerick McKinnon,15,69,4.6,20,1,1,5,6,30,6.0,1,1,1,19.9,19.9,0.8,KC,6,RB
7,Leonard Fournette,21,130,6.2,75,1,1,2,2,8,4.0,0,0,1,19.8,19.8,74.8,TB,6,RB
8,Carlos Hyde,13,28,2.2,7,0,2,5,6,47,9.4,0,0,1,19.5,19.5,6.9,JAC,6,RB
9,Jordan Howard,36,167,4.6,53,1,0,1,1,9,9.0,0,0,1,17.6,17.6,18.7,PHI,6,RB
10,DeMarco Murray,12,40,3.3,7,0,1,4,4,47,11.8,0,0,1,14.7,14.7,0.1,FA,6,RB
11,Doug Martin,14,53,3.8,27,1,1,1,2,11,11.0,0,0,1,14.4,14.4,0.0,FA,6,RB
12,Chris Thompson,16,33,2.1,11,0,0,4,5,105,26.3,0,0,1,13.8,13.8,0.0,FA,6,RB
13,Chris Ivory,2,3,1.5,2,0,0,9,10,74,8.2,1,0,1,13.7,13.7,0.0,FA,6,RB
14,Orleans Darkwa,21,117,5.6,47,1,0,1,1,13,13.0,0,0,1,13.0,13.0,0.0,FA,6,RB
15,Jay Ajayi,26,130,5.0,18,0,0,0,3,0,0.0,0,0,1,13.0,13.0,7.0,FA,6,RB
16,Christian McCaffrey,4,8,2.0,4,0,0,10,14,56,5.6,1,0,1,12.4,12.4,47.2,CAR,6,RB
17,Todd Gurley II,23,116,5.0,14,0,0,1,1,4,4.0,0,0,1,12.0,12.0,0.4,FA,6,RB
18,Dion Lewis,11,52,4.7,11,0,1,0,0,0,0.0,0,0,1,11.2,11.2,2.0,FA,6,RB
19,Kareem Hunt,9,21,2.3,5,0,0,5,6,89,17.8,0,0,1,11.0,11.0,82.1,CLE,6,RB
20,Samaje Perine,9,23,2.6,8,0,0,3,3,24,8.0,1,0,1,10.7,10.7,15.2,CIN,6,RB
21,Tevin Coleman,9,32,3.6,20,1,1,1,1,4,4.0,0,0,1,9.6,9.6,18.5,NYJ,6,RB
22,Alvin Kamara,10,75,7.5,21,1,0,3,3,12,4.0,0,0,1,8.7,8.7,100.0,NO,6,RB
23,LeGarrette Blount,14,67,4.8,18,0,0,0,0,0,0.0,0,0,1,8.7,8.7,0.1,FA,6,RB
24,Lamar Miller,15,41,2.7,14,0,0,3,4,40,13.3,0,0,1,8.1,8.1,0.0,FA,6,RB
25,Matt Forte,9,22,2.4,7,0,0,8,8,59,7.4,0,0,1,8.1,8.1,19.1,FA,6,RB
26,Devontae Booker,1,2,2.0,2,0,0,4,6,78,19.5,0,0,1,8.0,8.0,23.3,NYG,6,RB
27,Devonta Freeman,9,68,7.6,44,1,0,2,4,11,5.5,0,0,1,7.9,7.9,74.2,BAL,6,RB
28,Alex Collins,15,74,4.9,30,1,0,0,0,0,0.0,0,0,1,7.4,7.4,18.8,SEA,6,RB
29,Tarik Cohen,14,32,2.3,9,0,0,1,3,14,14.0,0,1,1,7.4,7.4,3.0,CHI,6,RB
30,Isaiah Crowell,12,58,4.8,14,0,0,2,2,15,7.5,0,0,1,7.3,7.3,0.1,FA,6,RB
31,Frank Gore,10,49,4.9,12,0,0,2,3,18,9.0,0,0,1,6.7,6.7,12.2,FA,6,RB
32,Javorius Allen,10,49,4.9,12,0,0,3,4,17,5.7,0,0,1,6.6,6.6,0.1,FA,6,RB
33,Marshawn Lynch,13,63,4.8,15,0,0,0,2,0,0.0,0,0,1,6.3,6.3,0.3,FA,6,RB
34,D'Onta Foreman,12,59,4.9,39,1,0,0,0,0,0.0,0,0,1,5.9,5.9,66.5,TEN,6,RB
35,Ameer Abdullah,14,54,3.9,34,1,0,0,2,0,0.0,0,0,1,5.4,5.4,10.4,CAR,6,RB
36,Theo Riddick,2,8,4.0,4,0,0,5,7,45,9.0,0,0,1,5.3,5.3,0.0,FA,6,RB
37,Charles Sims,0,0,0.0,0,0,0,4,5,45,11.3,0,0,1,4.5,4.5,0.0,FA,6,RB
38,James White,3,23,7.7,9,0,0,4,7,22,5.5,0,0,1,4.5,4.5,7.9,NE,6,RB
39,Aaron Jones,13,41,3.2,9,0,0,1,4,1,1.0,0,0,1,4.2,4.2,98.9,GB,6,RB
