rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,DeAndre Hopkins,11.0,16.0,149.0,13.5,29.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,24.9,24.9,69.3,HOU,WR,14,2017
2.0,Antonio Brown,11.0,18.0,213.0,19.4,57.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,21.3,21.3,84.1,PIT,WR,14,2017
3.0,Davante Adams,10.0,14.0,84.0,8.4,25.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,20.4,20.4,100.0,GB,WR,14,2017
4.0,Tyrell Williams,4.0,4.0,132.0,33.0,75.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,19.2,19.2,4.8,LAC,WR,14,2017
5.0,Cooper Kupp,5.0,7.0,118.0,23.6,64.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,17.8,17.8,100.0,LAR,WR,14,2017
6.0,Michael Thomas,10.0,14.0,117.0,11.7,35.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,17.7,17.7,20.6,NO,WR,14,2017
7.0,Jarvis Landry,8.0,8.0,46.0,5.8,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.6,16.6,72.5,MIA,WR,14,2017
8.0,Adam Thielen,6.0,12.0,105.0,17.5,52.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.5,16.5,82.7,MIN,WR,14,2017
9.0,Tyler Lockett,4.0,5.0,90.0,22.5,74.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,16.0,16.0,97.5,SEA,WR,14,2017
11.0,Demaryius Thomas,8.0,12.0,93.0,11.6,25.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,15.3,15.3,0.1,DEN,WR,14,2017
12.0,Golden Tate,8.0,9.0,85.0,10.6,24.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.5,14.5,0.1,DET,WR,14,2017
14.0,Dede Westbrook,5.0,8.0,81.0,16.2,29.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,14.1,14.1,0.1,JAC,WR,14,2017
15.0,Doug Baldwin,3.0,6.0,78.0,26.0,43.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,13.8,13.8,0.0,SEA,WR,14,2017
16.0,Dez Bryant,3.0,5.0,73.0,24.3,50.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.3,13.3,2.6,DAL,WR,14,2017
18.0,Josh Gordon,3.0,6.0,69.0,23.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.9,12.9,1.8,CLE,WR,14,2017
19.0,Corey Coleman,5.0,6.0,62.0,12.4,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.2,12.2,0.0,CLE,WR,14,2017
20.0,Devin Funchess,3.0,7.0,59.0,19.7,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.9,11.9,0.0,CAR,WR,14,2017
21.0,Alshon Jeffery,5.0,11.0,52.0,10.4,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.2,11.2,0.1,PHI,WR,14,2017
22.0,Keenan Allen,6.0,8.0,111.0,18.5,51.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,11.1,99.3,LAC,WR,14,2017
