,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,DeAndre Hopkins(ARI),4,12,52,13.0,34,1,3,0,0,0,0,1,23.2,23.2,69.3%
1,2,A.J. Green(ARI),7,13,189,27.0,77,3,1,0,0,0,1,1,22.9,22.9,51.8%
2,3,Davante Adams(GB),7,11,66,9.4,14,0,2,0,0,0,0,1,18.6,18.6,100.0%
3,4,Will Fuller V(MIA),2,3,57,28.5,48,1,2,1,5,0,0,1,18.2,18.2,22.8%
4,5,T.Y. Hilton(IND),7,9,177,25.3,63,3,0,0,0,0,0,1,17.7,17.7,16.8%
5,6,Odell Beckham Jr.(LAR),5,8,97,19.4,48,1,1,1,8,0,0,1,16.5,16.5,90.8%
6,7,Antonio Brown(FA),10,19,157,15.7,49,3,0,0,0,0,0,1,15.7,15.7,84.1%
7,8,Nelson Agholor(NE),4,5,93,23.3,72,1,1,0,0,0,0,1,15.3,15.3,13.6%
8,9,Cole Beasley(BUF),4,6,23,5.8,12,0,2,0,0,0,0,1,14.3,14.3,63.2%
9,10,Michael Crabtree(FA),6,8,82,13.7,41,1,1,0,0,0,0,1,14.2,14.2,0.0%
10,11,Chris Hogan(FA),8,11,74,9.3,19,0,1,0,0,0,0,1,13.4,13.4,0.0%
11,12,Mike Wallace(FA),3,3,133,44.3,54,3,0,0,0,0,0,1,13.3,13.3,0.0%
12,13,Torrey Smith(FA),3,4,70,23.3,59,1,1,1,-3,0,0,1,12.7,12.7,0.0%
13,14,Kelvin Benjamin(FA),4,6,58,14.5,31,1,1,0,0,0,0,1,11.8,11.8,0.1%
14,15,Marquise Goodwin(CHI),5,11,116,23.2,51,2,0,0,0,0,0,1,11.6,11.6,0.3%
15,16,Devin Funchess(FA),7,8,53,7.6,15,0,1,0,0,0,0,1,11.3,11.3,0.0%
16,17,Dez Bryant(FA),5,8,52,10.4,15,0,1,0,0,0,0,1,11.2,11.2,2.6%
17,18,DeSean Jackson(LV),5,9,106,21.2,41,3,0,0,0,0,0,1,10.6,10.6,4.4%
18,19,Jarvis Landry(CLE),5,10,44,8.8,17,0,1,0,0,0,0,1,10.4,10.4,72.5%
19,20,Jermaine Kearse(FA),4,4,38,9.5,24,1,1,0,0,0,0,1,9.8,9.8,0.0%
20,21,Pierre Garcon(FA),8,11,94,11.8,25,1,0,0,0,0,0,1,9.4,9.4,0.0%
21,22,Roger Lewis(FA),1,2,29,29.0,29,1,1,0,0,0,0,1,8.9,8.9,0.0%
22,23,John Brown(FA),2,7,26,13.0,13,0,1,0,0,0,0,1,8.6,8.6,1.3%
23,24,Brandon Tate(FA),2,4,25,12.5,13,0,1,0,0,0,0,1,8.5,8.5,0.0%
24,25,Brandin Cooks(HOU),5,8,85,17.0,34,1,0,0,0,0,0,1,8.5,8.5,92.7%
25,26,Jordy Nelson(FA),2,4,24,12.0,14,0,1,0,0,0,0,1,8.4,8.4,0.1%
26,27,Tavon Austin(JAC),3,5,14,4.7,9,0,0,6,27,1,1,1,8.1,8.1,0.1%
27,28,Danny Amendola(HOU),8,8,77,9.6,14,0,0,0,0,0,0,1,7.7,7.7,0.1%
28,29,Robert Woods(LAR),5,8,66,13.2,20,1,0,1,8,0,0,1,7.4,7.4,29.9%
29,30,J.J. Nelson(IND),4,6,80,20.0,28,1,0,1,14,0,1,1,7.4,7.4,0.0%
30,31,Ricardo Louis(FA),5,8,71,14.2,21,2,0,0,0,0,0,1,7.1,7.1,0.0%
31,32,De'Anthony Thomas(FA),1,1,10,10.0,10,0,1,0,0,0,0,1,7.0,7.0,0.0%
32,33,Tyreek Hill(KC),4,6,68,17.0,38,1,0,0,0,0,0,1,6.8,6.8,100.0%
33,34,Keenan Allen(LAC),4,12,67,16.8,18,0,0,0,0,0,0,1,6.7,6.7,99.3%
34,35,Vince Mayle(FA),0,0,0,0,0,0,0,1,2,1,0,1,6.2,6.2,0.0%
35,36,JuJu Smith-Schuster(PIT),4,6,58,14.5,21,1,0,0,0,0,0,1,5.8,5.8,18.5%
36,37,Brice Butler(FA),2,2,57,28.5,49,1,0,0,0,0,0,1,5.7,5.7,0.0%
37,38,Marvin Jones Jr.(JAC),6,8,54,9.0,12,0,0,0,0,0,0,1,5.4,5.4,55.4%
38,39,Adam Humphries(WAS),3,5,51,17.0,20,1,0,0,0,0,0,1,5.1,5.1,0.8%
39,40,Larry Fitzgerald(FA),6,10,51,8.5,15,0,0,0,0,0,0,1,5.1,5.1,0.3%
40,41,Mike Evans(TB),5,8,49,9.8,15,0,0,0,0,0,0,1,4.9,4.9,97.8%
41,42,Marqise Lee(FA),2,4,49,24.5,31,1,0,0,0,0,0,1,4.9,4.9,0.0%
42,43,Golden Tate(FA),5,8,48,9.6,22,1,0,0,0,0,0,1,4.8,4.8,0.1%
43,44,Chris Conley(HOU),3,3,46,15.3,19,0,0,0,0,0,0,1,4.6,4.6,0.4%
44,45,Kendall Wright(FA),4,5,46,11.5,13,0,0,0,0,0,0,1,4.6,4.6,0.0%
45,46,Adam Thielen(MIN),5,8,34,6.8,14,0,0,1,11,0,0,1,4.5,4.5,82.7%
