rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Antonio Brown,8,10,155,19.4,51,3,1,0,0,0,0,1,21.5,21.5,84.1,FA,6,WR
2,Larry Fitzgerald,10,11,138,13.8,29,3,1,0,0,0,1,1,17.8,17.8,0.3,FA,6,WR
3,Golden Tate,7,7,96,13.7,45,1,1,0,0,0,0,1,15.6,15.6,0.1,FA,6,WR
4,Marvin Jones Jr.,6,14,96,16.0,38,2,1,0,0,0,0,1,15.6,15.6,55.4,JAC,6,WR
5,Mike Evans,3,8,95,31.7,41,2,1,0,0,0,0,1,15.5,15.5,97.8,TB,6,WR
6,Ted Ginn Jr.,4,4,66,16.5,24,2,1,1,3,0,0,1,12.9,12.9,0.0,FA,6,WR
7,Aldrick Robinson,2,5,66,33.0,45,2,1,0,0,0,0,1,12.6,12.6,0.0,FA,6,WR
8,John Brown,3,4,63,21.0,31,1,1,0,0,0,0,1,12.3,12.3,1.3,FA,6,WR
9,Jarvis Landry,8,14,62,7.8,11,0,1,0,0,0,0,1,12.2,12.2,72.5,CLE,6,WR
10,Will Fuller V,2,5,62,31.0,39,2,1,0,0,0,0,1,12.2,12.2,22.8,MIA,6,WR
11,De'Anthony Thomas,3,4,61,20.3,57,1,1,0,0,0,0,1,12.1,12.1,0.0,FA,6,WR
12,Taywan Taylor,2,4,61,30.5,53,1,1,0,0,0,0,1,12.1,12.1,0.0,FA,6,WR
13,Jeremy Kerley,2,3,61,30.5,31,2,1,0,0,0,0,1,12.1,12.1,0.0,FA,6,WR
14,Cordarrelle Patterson,1,1,5,5.0,4,0,0,3,55,1,0,1,12.0,12.0,95.1,ATL,6,WR
15,Nelson Agholor,4,7,55,13.8,24,2,1,0,0,0,0,1,11.5,11.5,13.6,NE,6,WR
16,Davante Adams,5,10,54,10.8,19,0,1,0,0,0,0,1,11.4,11.4,100.0,GB,6,WR
17,Demaryius Thomas,10,14,133,13.3,40,3,0,0,0,0,1,1,11.3,11.3,0.1,FA,6,WR
18,Michael Crabtree,6,10,52,8.7,23,1,1,0,0,0,0,1,11.2,11.2,0.0,FA,6,WR
19,Kenny Stills,4,4,49,12.3,18,0,1,0,0,0,0,1,10.9,10.9,0.1,NO,6,WR
20,Marvin Hall,1,2,40,40.0,40,1,1,0,0,0,0,1,10.0,10.0,0.0,FA,6,WR
21,Marqise Lee,5,10,83,16.6,21,2,0,1,17,0,0,1,10.0,10.0,0.0,FA,6,WR
22,Kelvin Benjamin,9,13,99,11.0,19,0,0,0,0,0,0,1,9.9,9.9,0.1,FA,6,WR
23,DeSean Jackson,3,6,38,12.7,27,1,1,0,0,0,0,1,9.8,9.8,4.4,LV,6,WR
24,Adam Thielen,9,13,96,10.7,23,2,0,0,0,0,0,1,9.7,9.7,82.7,MIN,6,WR
25,Brandin Cooks,6,9,93,15.5,42,1,0,0,0,0,0,1,9.3,9.3,92.7,HOU,6,WR
26,Eric Decker,7,9,88,12.6,27,2,0,0,0,0,0,1,8.8,8.8,0.6,FA,6,WR
27,DeAndre Hopkins,2,4,19,9.5,16,0,1,0,0,0,0,1,7.9,7.9,69.3,ARI,6,WR
28,Jermaine Kearse,4,4,79,19.8,44,1,0,0,0,0,0,1,7.9,7.9,0.0,FA,6,WR
29,Robby Anderson,4,12,76,19.0,32,2,0,0,0,0,0,1,7.6,7.6,42.2,CAR,6,WR
30,Emmanuel Sanders,5,8,76,15.2,33,1,0,0,0,0,0,1,7.6,7.6,46.6,BUF,6,WR
31,Julio Jones,6,7,72,12.0,18,0,0,0,0,0,0,1,7.2,7.2,60.7,TEN,6,WR
32,Josh Doctson,1,3,11,11.0,11,0,1,0,0,0,0,1,7.1,7.1,0.0,FA,6,WR
33,Alshon Jeffery,4,10,71,17.8,37,1,0,0,0,0,0,1,7.1,7.1,0.1,FA,6,WR
34,Rishard Matthews,4,4,69,17.3,27,1,0,0,0,0,0,1,6.9,6.9,0.0,FA,6,WR
35,Donte Moncrief,5,7,67,13.4,23,1,0,0,0,0,0,1,6.7,6.7,0.0,FA,6,WR
36,Jordy Nelson,6,10,60,10.0,26,1,0,0,0,0,0,1,6.0,6.0,0.1,FA,6,WR
37,Pierre Garcon,5,12,55,11.0,22,1,0,0,0,0,0,1,5.5,5.5,0.0,FA,6,WR
38,Braxton Miller,2,2,-5,-2.5,1,0,1,0,0,0,0,1,5.5,5.5,0.0,FA,6,WR
39,Laquon Treadwell,3,3,51,17.0,25,1,0,0,0,0,0,1,5.1,5.1,2.5,JAC,6,WR
40,Adam Humphries,6,7,51,8.5,27,1,0,0,0,0,0,1,5.1,5.1,0.8,WAS,6,WR
41,Robert Woods,5,7,70,14.0,22,2,0,0,0,0,1,1,5.0,5.0,29.9,LAR,6,WR
42,Keenan Allen,5,9,45,9.0,28,1,0,0,0,0,0,1,4.5,4.5,99.3,LAC,6,WR
43,Chris Moore,3,7,44,14.7,17,0,0,0,0,0,0,1,4.4,4.4,0.1,HOU,6,WR
44,Kasen Williams,4,6,41,10.3,14,0,0,0,0,0,0,1,4.1,4.1,0.0,FA,6,WR
45,Danny Amendola,3,5,40,13.3,17,0,0,0,0,0,0,1,4.0,4.0,0.1,HOU,6,WR
46,Taylor Gabriel,4,8,39,9.8,13,0,0,0,0,0,0,1,3.9,3.9,0.1,FA,6,WR
47,Ryan Grant,3,5,39,13.0,18,0,0,0,0,0,0,1,3.9,3.9,0.0,FA,6,WR
48,Mack Hollins,2,2,38,19.0,20,1,0,0,0,0,0,1,3.8,3.8,0.2,MIA,6,WR
49,Allen Hurns,3,3,37,12.3,18,0,0,0,0,0,0,1,3.7,3.7,0.0,MIA,6,WR
50,Devin Funchess,3,9,36,12.0,20,1,0,0,0,0,0,1,3.6,3.6,0.0,FA,6,WR
51,Kendall Wright,2,3,36,18.0,18,0,0,0,0,0,0,1,3.6,3.6,0.0,FA,6,WR
52,Seth Roberts,3,3,35,11.7,15,0,0,0,0,0,0,1,3.5,3.5,0.0,FA,6,WR
53,Cooper Kupp,2,3,35,17.5,22,1,0,0,0,0,0,1,3.5,3.5,100.0,LAR,6,WR
54,Justin Hardy,3,3,34,11.3,22,1,0,0,0,0,0,1,3.4,3.4,0.0,FA,6,WR
55,TJ Jones,3,9,33,11.0,24,1,0,0,0,0,0,1,3.3,3.3,0.0,FA,6,WR
56,JuJu Smith-Schuster,3,3,32,10.7,15,0,0,0,0,0,0,1,3.2,3.2,18.5,FA,6,WR
57,Marquise Goodwin,2,5,26,13.0,19,0,0,1,6,0,0,1,3.2,3.2,0.3,CHI,6,WR
58,Mike Wallace,3,5,30,10.0,16,0,0,0,0,0,0,1,3.0,3.0,0.0,FA,6,WR
59,Jaron Brown,1,1,30,30.0,30,1,0,0,0,0,0,1,3.0,3.0,0.0,ARI,6,WR
60,Randall Cobb,3,3,28,9.3,14,0,0,0,0,0,0,1,2.8,2.8,7.6,GB,6,WR
61,Amari Cooper,5,6,28,5.6,8,0,0,0,0,0,0,1,2.8,2.8,97.7,DAL,6,WR
62,Martavis Bryant,2,3,27,13.5,20,1,0,0,0,0,0,1,2.7,2.7,0.0,FA,6,WR
63,Jamison Crowder,3,5,15,5.0,8,0,0,1,11,0,0,1,2.6,2.6,23.6,NYJ,6,WR
64,Jordan Taylor,3,4,26,8.7,11,0,0,0,0,0,0,1,2.6,2.6,0.0,FA,6,WR
65,Tyreek Hill,5,7,34,6.8,10,0,0,1,-9,0,0,1,2.5,2.5,100.0,KC,6,WR
66,Ricardo Louis,3,7,25,8.3,13,0,0,0,0,0,0,1,2.5,2.5,0.0,FA,6,WR
67,Michael Campanaro,3,5,24,8.0,13,0,0,0,0,0,0,1,2.4,2.4,0.0,FA,6,WR
68,Terrelle Pryor Sr.,3,5,23,7.7,12,0,0,0,0,0,0,1,2.3,2.3,0.0,FA,6,WR
69,Brandon Coleman,2,4,23,11.5,20,1,0,0,0,0,0,1,2.3,2.3,0.0,FA,6,WR
70,Bruce Ellington,2,3,22,11.0,16,0,0,0,0,0,0,1,2.2,2.2,0.0,FA,6,WR
71,Bennie Fowler III,3,8,21,7.0,9,0,0,0,0,0,0,1,2.1,2.1,0.0,SF,6,WR
72,Kamar Aiken,2,4,21,10.5,14,0,0,0,0,0,0,1,2.1,2.1,0.0,FA,6,WR
73,Bryce Treggs,1,3,20,20.0,20,1,0,0,0,0,0,1,2.0,2.0,0.0,FA,6,WR
74,Chris Hogan,1,4,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.0,FA,6,WR
75,T.Y. Hilton,1,4,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,16.8,IND,6,WR
76,Marcus Johnson,1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.6,TEN,6,WR
77,J.J. Nelson,0,1,0,0.0,0,0,0,1,16,0,0,1,1.6,1.6,0.0,IND,6,WR
78,Demarcus Robinson,1,5,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.8,KC,6,WR
79,Roger Lewis,1,2,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.0,FA,6,WR
80,Mike Williams,1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,91.9,LAC,6,WR
81,Rashard Higgins,1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.7,CLE,6,WR
82,Russell Shepard,2,6,12,6.0,9,0,0,0,0,0,0,1,1.2,1.2,0.0,FA,6,WR
83,Sammy Watkins,1,4,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,7.0,BAL,6,WR
84,Michael Thomas,3,6,11,3.7,5,0,0,0,0,0,0,1,1.1,1.1,20.6,NO,6,WR
85,Sammie Coates,1,2,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0,FA,6,WR
86,Willie Snead IV,1,3,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.1,FA,6,WR
87,Trent Taylor,2,5,11,5.5,10,0,0,0,0,0,0,1,1.1,1.1,0.0,CIN,6,WR
88,Chris Godwin,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,67.1,TB,6,WR
89,ArDarius Stewart,1,2,2,2.0,2,0,0,1,6,0,0,1,0.8,0.8,0.0,FA,6,WR
90,Curtis Samuel,0,0,0,0.0,0,0,0,1,8,0,0,1,0.8,0.8,15.7,WAS,6,WR
91,Tavarres King,1,3,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0,FA,6,WR
92,Geronimo Allison,1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0,FA,6,WR
93,Jared Abbrederis,1,4,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0,FA,6,WR
94,Keelan Cole Sr.,1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,1.0,NYJ,6,WR
95,Tyrell Williams,3,3,27,9.0,14,0,0,0,0,0,1,1,0.7,0.7,4.8,FA,6,WR
96,Torrey Smith,1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0,FA,6,WR
97,Chris Matthews,1,3,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0,FA,6,WR
98,Michael Floyd,1,3,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0,FA,6,WR
99,Bernard Reedy,0,0,0,0.0,0,0,0,1,4,0,0,1,0.4,0.4,0.0,FA,6,WR
100,Jakeem Grant Sr.,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,1.2,FA,6,WR
101,Quintez Cephus,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,DET,6,WR
102,Gabriel Davis,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,22.3,BUF,6,WR
103,Isaiah Hodgins,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,BUF,6,WR
104,Kalija Lipscomb,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TEN,6,WR
105,Olamide Zaccheaus,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,ATL,6,WR
106,Tyler Vaughns,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,6,WR
107,Jalen Guyton,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,LAC,6,WR
108,James Proche II,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,BAL,6,WR
109,Malik Henry,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NO,6,WR
110,Easop Winston Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NO,6,WR
111,Marquez Callaway,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,28.6,NO,6,WR
112,Nsimba Webster,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CHI,6,WR
113,Joe Reed,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAC,6,WR
114,Deonte Harty,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,8.7,NO,6,WR
115,Denzel Mims,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,NYJ,6,WR
116,Jason Moore Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAC,6,WR
117,Van Jefferson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,68.1,LAR,6,WR
118,Alex Bachman,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,6,WR
119,Tom Kennedy,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DET,6,WR
120,Thomas Ives,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CHI,6,WR
121,Gunner Olszewski,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,6,WR
122,Jerry Jeudy,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,65.4,DEN,6,WR
123,Steven Sims Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,6,WR
124,KJ Hamler,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,DEN,6,WR
125,Antonio Gandy-Golden,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,6,WR
