rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Houston Texans,0,3,1,1,1,0,0,1,18.0,18.0,6.4,HOU,13,DST
2,New York Giants,5,2,1,2,1,0,0,1,17.0,17.0,4.5,NYG,13,DST
3,Jacksonville Jaguars,3,1,1,1,0,0,0,1,17.0,17.0,6.9,JAC,13,DST
4,Seattle Seahawks,3,1,2,1,1,0,0,1,16.0,16.0,39.4,SEA,13,DST
5,Baltimore Ravens,3,0,1,2,1,0,0,1,15.0,15.0,51.9,BAL,13,DST
6,New Orleans Saints,7,0,2,3,0,0,0,1,15.0,15.0,79.3,NO,13,DST
7,Denver Broncos,4,1,2,1,0,0,0,1,14.0,14.0,48.5,DEN,13,DST
8,Tampa Bay Buccaneers,4,4,0,0,0,0,0,1,13.0,13.0,98.0,TB,13,DST
9,Indianapolis Colts,3,0,1,2,0,0,0,1,12.0,12.0,66.4,IND,13,DST
10,New York Jets,3,1,0,1,1,0,0,1,11.0,11.0,3.3,NYJ,13,DST
11,Atlanta Falcons,2,0,1,3,1,0,0,1,11.0,11.0,5.8,ATL,13,DST
12,New England Patriots,2,2,0,0,0,0,0,1,10.0,10.0,93.2,NE,13,DST
13,Philadelphia Eagles,3,1,0,2,0,0,0,1,9.0,9.0,52.5,PHI,13,DST
14,Miami Dolphins,2,2,1,1,0,0,0,1,9.0,9.0,60.2,MIA,13,DST
15,Los Angeles Rams,4,1,1,1,0,0,0,1,9.0,9.0,74.5,LAR,13,DST
16,Kansas City Chiefs,3,0,3,4,0,0,0,1,8.0,8.0,45.7,KC,13,DST
17,Dallas Cowboys,2,1,0,2,0,0,0,1,8.0,8.0,82.9,DAL,13,DST
18,Carolina Panthers,4,0,1,0,0,0,0,1,6.0,6.0,27.8,CAR,13,DST
19,Detroit Lions,2,1,1,1,0,0,0,1,5.0,5.0,1.1,DET,13,DST
20,Tennessee Titans,2,1,0,0,0,0,0,1,5.0,5.0,48.4,TEN,13,DST
21,Chicago Bears,3,1,0,0,0,0,0,1,5.0,5.0,35.9,CHI,13,DST
22,Buffalo Bills,3,1,0,0,0,0,0,1,5.0,5.0,95.9,BUF,13,DST
23,Cleveland Browns,4,0,0,1,0,0,0,1,4.0,4.0,40.8,CLE,13,DST
24,Cincinnati Bengals,2,0,1,1,0,0,0,1,4.0,4.0,14.7,CIN,13,DST
25,Green Bay Packers,2,0,0,1,0,0,0,1,3.0,3.0,60.6,GB,13,DST
26,Arizona Cardinals,1,0,0,0,0,0,0,1,2.0,2.0,60.9,ARI,13,DST
27,Los Angeles Chargers,1,1,0,0,0,0,1,1,2.0,2.0,44.3,LAC,13,DST
28,Minnesota Vikings,0,1,0,0,0,0,0,1,2.0,2.0,28.0,MIN,13,DST
29,Pittsburgh Steelers,2,0,0,0,0,0,0,1,1.0,1.0,44.6,PIT,13,DST
30,Washington Commanders,0,1,0,2,0,0,0,1,1.0,1.0,27.5,WAS,13,DST
31,San Francisco 49ers,3,0,0,0,0,0,0,1,-1.0,-1.0,79.5,SF,13,DST
32,Las Vegas Raiders,0,0,1,1,0,0,0,1,-2.0,-2.0,7.6,LV,13,DST
