rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Mason Crosby,5,6,83.3,48,0,0,3,2,0,2,2,1,19.0,19.0,40.7,GB,2,K
2,Robbie Gould,3,3,100.0,45,0,0,1,2,0,3,3,1,14.0,14.0,22.5,SF,2,K
3,Dustin Hopkins,3,4,75.0,49,0,1,0,2,0,0,0,1,11.0,11.0,14.5,LAC,2,K
4,Randy Bullock,2,2,100.0,40,0,1,0,1,0,4,4,1,11.0,11.0,10.8,TEN,2,K
5,Matt Prater,2,2,100.0,43,0,1,0,1,0,3,3,1,10.0,10.0,52.8,ARI,2,K
6,Stephen Hauschka,2,2,100.0,43,0,0,0,2,0,2,2,1,10.0,10.0,0.0,FA,2,K
7,Jason Myers,2,2,100.0,55,0,0,0,1,1,0,1,1,9.0,9.0,22.1,SEA,2,K
8,Ryan Succop,2,2,100.0,42,0,0,1,1,0,2,2,1,9.0,9.0,57.4,TB,2,K
9,Stephen Gostkowski,2,3,66.7,46,0,1,0,1,0,2,2,1,9.0,9.0,0.1,FA,2,K
10,Mike Nugent,2,2,100.0,46,0,1,0,1,0,1,2,1,8.0,8.0,1.0,FA,2,K
11,Graham Gano,1,1,100.0,54,0,0,0,0,1,3,3,1,8.0,8.0,31.4,NYG,2,K
12,Matt Bryant,1,1,100.0,44,0,0,0,1,0,4,4,1,8.0,8.0,1.1,FA,2,K
13,Brett Maher,2,2,100.0,37,0,1,1,0,0,2,2,1,8.0,8.0,1.9,NO,2,K
14,Wil Lutz,2,3,66.7,44,0,0,1,1,0,1,1,1,8.0,8.0,3.3,NO,2,K
15,Brandon McManus,2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,8.0,44.3,DEN,2,K
16,Aldrick Rosas,2,2,100.0,38,0,1,1,0,0,1,1,1,7.0,7.0,1.8,FA,2,K
17,Caleb Sturgis,1,1,100.0,24,0,1,0,0,0,4,4,1,7.0,7.0,0.0,FA,2,K
18,Justin Tucker,1,1,100.0,55,0,0,0,0,1,2,2,1,7.0,7.0,98.0,BAL,2,K
19,Sebastian Janikowski,1,1,100.0,56,0,0,0,0,1,2,2,1,7.0,7.0,20.0,FA,2,K
20,Josh Lambo,1,1,100.0,28,0,1,0,0,0,4,4,1,7.0,7.0,3.2,FA,2,K
21,Zane Gonzalez,2,4,50.0,39,0,0,2,0,0,0,2,1,6.0,6.0,2.6,CAR,2,K
22,Harrison Butker,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,76.6,KC,2,K
23,Cody Parkey,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,0.4,FA,2,K
24,Ka'imi Fairbairn,1,2,50.0,34,0,0,1,0,0,2,2,1,5.0,5.0,0.8,HOU,2,K
25,Daniel Carlson,0,3,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,74.3,LV,2,K
26,Chris Boswell,0,1,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,51.0,PIT,2,K
27,Chandler Catanzaro,0,0,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,0.0,FA,2,K
28,Jake Elliott,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,22.5,PHI,2,K
29,Adam Vinatieri,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.2,FA,2,K
30,Jason Sanders,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,22.6,MIA,2,K
31,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,2,K
32,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,2,K
33,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,2,K
34,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,2,K
35,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,2,K
36,Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,2,K
37,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,2,K
38,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,2,K
39,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,2,K
40,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,2,K
41,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,2,K
42,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,LAR,2,K
43,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,2,K
44,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,2,K
45,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,2,K
46,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,2,K
47,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,2,K
48,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,2,K
49,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,2,K
50,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,2,K
51,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,2,K
52,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,2,K
53,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,2,K
54,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,2,K
55,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,2,K
56,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,2,K
