,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Tampa Bay Buccaneers(TB),5,2,2,3,1,0,0,1,23.0,23.0,98.0%
1,2,Tennessee Titans(TEN),3,2,1,1,0,0,1,1,22.0,22.0,48.4%
2,3,Los Angeles Rams(LAR),6,1,0,0,1,0,0,1,18.0,18.0,74.5%
3,4,Kansas City Chiefs(KC),2,2,1,0,1,0,0,1,18.0,18.0,45.7%
4,5,New Orleans Saints(NO),9,2,1,2,0,0,0,1,16.0,16.0,79.3%
5,6,Cincinnati Bengals(CIN),4,0,0,0,0,1,0,1,13.0,13.0,14.7%
6,7,Pittsburgh Steelers(PIT),5,1,1,1,0,0,0,1,13.0,13.0,44.6%
7,8,Washington Commanders(WAS),7,1,1,1,0,0,0,1,11.0,11.0,27.5%
8,9,Indianapolis Colts(IND),6,0,2,2,0,0,0,1,11.0,11.0,66.4%
9,10,Green Bay Packers(GB),0,3,0,0,0,0,0,1,10.0,10.0,60.6%
10,11,Buffalo Bills(BUF),4,1,1,3,0,0,0,1,9.0,9.0,95.9%
11,12,Denver Broncos(DEN),3,1,1,0,0,0,0,1,8.0,8.0,48.5%
12,13,Minnesota Vikings(MIN),2,1,1,1,1,0,0,1,8.0,8.0,28.0%
13,14,Jacksonville Jaguars(JAC),4,0,1,1,0,0,0,1,6.0,6.0,6.9%
14,15,Seattle Seahawks(SEA),0,1,2,2,0,0,0,1,6.0,6.0,39.4%
15,16,Houston Texans(HOU),3,1,0,0,0,0,0,1,5.0,5.0,6.4%
16,17,Chicago Bears(CHI),2,1,0,0,0,0,0,1,5.0,5.0,35.9%
17,18,Baltimore Ravens(BAL),2,0,1,1,0,0,0,1,5.0,5.0,51.9%
18,19,Dallas Cowboys(DAL),4,0,0,0,0,0,0,1,4.0,4.0,82.9%
19,20,Cleveland Browns(CLE),1,1,0,1,0,0,0,1,4.0,4.0,40.8%
20,21,Carolina Panthers(CAR),5,0,0,1,0,0,0,1,4.0,4.0,27.8%
21,22,San Francisco 49ers(SF),1,0,1,1,0,0,0,1,4.0,4.0,79.5%
22,23,Miami Dolphins(MIA),2,1,0,1,0,0,0,1,3.0,3.0,60.2%
23,24,Detroit Lions(DET),1,1,0,0,0,0,0,1,3.0,3.0,1.1%
24,25,Los Angeles Chargers(LAC),0,1,0,0,0,0,0,1,2.0,2.0,44.3%
25,26,New England Patriots(NE),3,0,0,0,0,0,0,1,2.0,2.0,93.2%
26,27,Philadelphia Eagles(PHI),3,1,0,0,0,0,0,1,1.0,1.0,52.5%
27,28,New York Jets(NYJ),1,0,0,0,0,0,0,1,1.0,1.0,3.3%
28,29,Las Vegas Raiders(LV),1,0,0,0,0,0,0,1,0.0,0.0,7.6%
29,30,Atlanta Falcons(ATL),0,0,0,0,0,0,0,1,0.0,0.0,5.8%
30,31,Arizona Cardinals(ARI),1,0,0,0,0,0,0,1,0.0,0.0,60.9%
31,32,New York Giants(NYG),0,0,0,1,0,0,0,1,-1.0,-1.0,4.5%
