rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Houston Texans,3,4,1,1,1,0,0,1,20.0,20.0,6.4,HOU,DST,16,2019
2,Indianapolis Colts,5,3,0,0,0,0,2,1,18.0,18.0,66.4,IND,DST,16,2019
3,New York Jets,4,2,0,0,0,0,0,1,12.0,12.0,3.3,NYJ,DST,16,2019
4,Arizona Cardinals,5,0,1,2,0,0,0,1,11.0,11.0,60.9,ARI,DST,16,2019
5,Green Bay Packers,5,1,0,0,0,0,0,1,11.0,11.0,60.6,GB,DST,16,2019
6,Tampa Bay Buccaneers,5,1,1,2,0,0,0,1,10.0,10.0,98.0,TB,DST,16,2019
7,Kansas City Chiefs,3,0,0,0,0,0,0,1,10.0,10.0,45.7,KC,DST,16,2019
8,Minnesota Vikings,3,1,2,3,0,0,0,1,9.0,9.0,28.0,MIN,DST,16,2019
9,Los Angeles Rams,6,2,0,1,0,0,0,1,9.0,9.0,74.5,LAR,DST,16,2019
10,Atlanta Falcons,3,0,1,0,0,0,0,1,9.0,9.0,5.8,ATL,DST,16,2019
11,Philadelphia Eagles,2,0,1,1,0,0,0,1,8.0,8.0,52.5,PHI,DST,16,2019
12,San Francisco 49ers,0,1,0,1,1,0,0,1,7.0,7.0,79.5,SF,DST,16,2019
13,New Orleans Saints,5,0,1,1,0,0,0,1,6.0,6.0,79.3,NO,DST,16,2019
14,Denver Broncos,4,0,0,0,0,0,0,1,5.0,5.0,48.5,DEN,DST,16,2019
15,Pittsburgh Steelers,2,0,1,1,0,0,0,1,5.0,5.0,44.6,PIT,DST,16,2019
16,Jacksonville Jaguars,1,2,0,0,0,0,0,1,5.0,5.0,6.9,JAC,DST,16,2019
17,New England Patriots,4,0,0,0,0,0,0,1,5.0,5.0,93.2,NE,DST,16,2019
18,Baltimore Ravens,1,1,0,0,0,0,0,1,4.0,4.0,51.9,BAL,DST,16,2019
19,Los Angeles Chargers,3,0,0,0,0,0,0,1,3.0,3.0,44.3,LAC,DST,16,2019
20,Seattle Seahawks,2,0,0,0,0,0,0,1,2.0,2.0,39.4,SEA,DST,16,2019
21,Las Vegas Raiders,1,0,0,0,0,0,0,1,2.0,2.0,7.6,LV,DST,16,2019
22,Miami Dolphins,4,0,1,1,0,0,0,1,2.0,2.0,60.2,MIA,DST,16,2019
23,Dallas Cowboys,1,0,0,1,0,0,0,1,2.0,2.0,82.9,DAL,DST,16,2019
24,Buffalo Bills,0,0,1,1,0,0,0,1,2.0,2.0,95.9,BUF,DST,16,2019
25,Cleveland Browns,0,0,1,1,0,0,0,1,1.0,1.0,40.8,CLE,DST,16,2019
26,Chicago Bears,1,0,0,0,0,0,0,1,1.0,1.0,35.9,CHI,DST,16,2019
27,Detroit Lions,0,0,0,0,0,0,1,1,0.0,0.0,1.1,DET,DST,16,2019
28,Cincinnati Bengals,2,1,0,1,0,0,0,1,0.0,0.0,14.7,CIN,DST,16,2019
29,New York Giants,3,0,0,0,0,0,0,1,-1.0,-1.0,4.5,NYG,DST,16,2019
30,Carolina Panthers,3,0,0,0,0,0,0,1,-1.0,-1.0,27.8,CAR,DST,16,2019
31,Tennessee Titans,3,0,0,0,0,0,0,1,-1.0,-1.0,48.4,TEN,DST,16,2019
32,Washington Commanders,1,0,0,1,0,0,0,1,-3.0,-3.0,27.5,WAS,DST,16,2019
