,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Stephen Hauschka(FA),3,3,100.0,51,0,1,1,0,1,4,4,1,15.0,15.0,0.0%
1,2,Brandon McManus(DEN),3,4,75.0,47,0,1,0,2,0,2,2,1,13.0,13.0,44.3%
2,3,Justin Tucker(BAL),2,3,66.7,46,0,0,1,1,0,5,5,1,12.0,12.0,98.0%
3,4,Younghoe Koo(ATL),3,4,75.0,38,0,2,1,0,0,2,2,1,11.0,11.0,40.9%
4,5,Wil Lutz(NO),2,2,100.0,44,0,1,0,1,0,4,4,1,11.0,11.0,3.3%
5,6,Michael Badgley(IND),3,4,75.0,49,0,2,0,1,0,0,0,1,10.0,10.0,19.9%
6,7,Brett Maher(NO),2,2,100.0,34,0,0,2,0,0,3,3,1,9.0,9.0,1.9%
7,8,Zane Gonzalez(CAR),2,2,100.0,43,0,1,0,1,0,2,3,1,9.0,9.0,2.6%
8,9,Nick Folk(NE),3,3,100.0,39,0,1,2,0,0,0,0,1,9.0,9.0,81.8%
9,10,Adam Vinatieri(FA),1,1,100.0,34,0,0,1,0,0,4,4,1,7.0,7.0,0.2%
10,11,Matt Gay(LAR),1,1,100.0,55,0,0,0,0,1,2,2,1,7.0,7.0,89.8%
11,12,Harrison Butker(KC),1,1,100.0,41,0,0,0,1,0,3,3,1,7.0,7.0,76.6%
12,13,Chase McLaughlin(CLE),1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,7.1%
13,14,Daniel Carlson(LV),1,1,100.0,20,0,1,0,0,0,2,2,1,5.0,5.0,74.3%
14,15,Jake Elliott(PHI),1,1,100.0,42,0,0,0,1,0,1,1,1,5.0,5.0,22.5%
15,16,Greg Zuerlein(DAL),1,1,100.0,38,0,0,1,0,0,2,2,1,5.0,5.0,74.2%
16,17,Randy Bullock(TEN),1,2,50.0,40,0,0,0,1,0,1,1,1,5.0,5.0,10.8%
17,18,Sam Ficken(TEN),0,1,0.0,0,0,0,0,0,0,4,5,1,4.0,4.0,0.1%
18,19,Dustin Hopkins(LAC),1,2,50.0,44,0,0,0,1,0,0,0,1,4.0,4.0,14.5%
19,20,Joey Slye(WAS),1,1,100.0,31,0,0,1,0,0,0,0,1,3.0,3.0,1.6%
20,21,Dan Bailey(FA),0,0,0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%
21,22,Austin Seibert(DET),0,2,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%
22,23,Matt Prater(ARI),0,0,0,0,0,0,0,0,0,3,3,1,3.0,3.0,52.8%
23,24,Jason Sanders(MIA),0,0,0,0,0,0,0,0,0,2,2,1,2.0,2.0,22.6%
24,25,Josh Lambo(FA),0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,3.2%
25,26,Chris Boswell(PIT),0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,51.0%
26,27,Eddy Pineiro(NYJ),0,2,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.2%
27,28,Ka'imi Fairbairn(HOU),0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.8%
28,29,Ryan Santoso(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
29,30,Matthew Wright(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
30,31,Chris Blewitt(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
31,32,Jason Myers(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1%
32,33,Greg Joseph(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1%
33,34,Ty Long(LAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%
34,35,Cameron Nizialek(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
35,36,Evan McPherson(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2%
36,37,Riley Patterson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
37,38,Alex Kessman(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,39,Jose Borregales(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,40,Quinn Nordin(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
