,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Josh Allen(BUF),21,33,63.6,256,7.8,3,0,0,7,56,1,0,1,33.8,33.8,100.0%
1,2,Lamar Jackson(BAL),17,24,70.8,222,9.3,4,0,0,10,79,0,0,1,32.8,32.8,94.0%
2,3,Jimmy Garoppolo(SF),34,45,75.6,424,9.4,4,2,2,1,7,0,0,1,31.7,31.7,23.3%
3,4,Dak Prescott(DAL),29,46,63.0,444,9.7,3,0,1,6,18,0,0,1,31.6,31.6,98.2%
4,5,Jeff Driskel(HOU),15,26,57.7,209,8.0,2,0,3,8,51,1,0,1,27.5,27.5,0.0%
5,6,Kyler Murray(ARI),24,33,72.7,150,4.5,2,0,4,8,67,1,0,1,26.7,26.7,99.3%
6,7,Sam Darnold(CAR),19,30,63.3,293,9.8,4,1,2,2,-3,0,0,1,26.4,26.4,5.5%
7,8,Kirk Cousins(MIN),29,35,82.9,319,9.1,3,0,5,2,1,0,1,1,22.9,22.9,70.7%
8,9,Baker Mayfield(CLE),17,32,53.1,193,6.0,2,0,1,1,1,1,0,1,21.8,21.8,26.4%
9,10,Drew Brees(FA),28,35,80.0,228,6.5,3,0,0,3,0,0,0,1,21.1,21.1,35.7%
10,11,Derek Carr(LV),25,29,86.2,292,10.1,1,1,3,5,1,1,0,1,20.8,20.8,58.1%
11,12,Jameis Winston(NO),30,51,58.8,313,6.1,2,4,2,2,23,0,0,1,18.8,18.8,5.2%
12,13,Nick Foles(CHI),33,47,70.2,296,6.3,2,1,2,0,0,0,0,1,18.8,18.8,0.7%
13,14,Dwayne Haskins(PIT),19,35,54.3,214,6.1,2,1,6,4,5,0,0,1,18.1,18.1,0.1%
14,15,Matt Ryan(ATL),21,31,67.7,311,10.0,1,0,3,2,0,0,0,1,16.4,16.4,36.3%
15,16,Patrick Mahomes II(KC),19,32,59.4,182,5.7,1,1,1,5,59,0,0,1,16.2,16.2,100.0%
16,17,Philip Rivers(FA),28,52,53.8,353,6.8,1,4,2,0,0,0,0,1,16.1,16.1,20.6%
17,18,Jacoby Brissett(MIA),15,24,62.5,148,6.2,1,1,3,2,12,1,0,1,16.1,16.1,0.6%
18,19,Brandon Allen(CIN),17,39,43.6,240,6.2,1,1,2,3,18,0,0,1,14.4,14.4,0.4%
