,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Jonathan Taylor(IND),30,253,8.4,56,0,2,1,2,1,1.0,0,0,1,37.4,37.4,100.0%
1,2,Derrick Henry(TEN),34,250,7.4,52,0,2,0,0,0,0,0,1,1,35.0,35.0,78.0%
2,3,J.K. Dobbins(BAL),13,160,12.3,72,0,2,0,0,0,0,0,0,1,28.0,28.0,10.3%
3,4,Alexander Mattison(MIN),21,95,4.5,20,0,1,3,3,50,16.7,1,0,1,26.5,26.5,75.0%
4,5,Darwin Thompson(KC),14,45,3.2,10,0,1,7,7,65,9.3,1,0,1,23.0,23.0,0.0%
5,6,Josh Jacobs(LV),15,89,5.9,28,0,2,0,1,0,0,0,0,1,20.9,20.9,98.0%
6,7,Jeff Wilson Jr.(SF),20,76,3.8,18,0,1,3,7,12,4.0,1,0,1,20.8,20.8,56.1%
7,8,Antonio Williams(NYG),12,63,5.3,18,0,2,1,1,20,20.0,0,0,1,20.3,20.3,0.0%
8,9,Sony Michel(LAR),16,76,4.8,13,0,0,3,3,60,20.0,1,0,1,19.6,19.6,89.4%
9,10,David Montgomery(CHI),22,69,3.1,8,0,1,9,9,63,7.0,0,0,1,19.2,19.2,98.7%
10,11,David Johnson(HOU),14,84,6.0,26,0,1,3,5,36,12.0,0,0,1,18.0,18.0,35.4%
11,12,Melvin Gordon III(DEN),26,93,3.6,15,0,1,4,6,17,4.3,0,0,1,17.0,17.0,87.8%
12,13,Nick Chubb(CLE),14,108,7.7,47,0,1,0,1,0,0,0,0,1,16.8,16.8,99.8%
13,14,Aaron Jones(GB),11,42,3.8,10,0,1,4,5,43,10.8,0,0,1,14.5,14.5,98.9%
14,15,Ronald Jones II(TB),12,78,6.5,16,0,1,0,0,0,0,0,0,1,13.8,13.8,83.5%
15,16,Myles Gaskin(MIA),7,20,2.9,7,0,1,4,5,57,14.3,0,0,1,13.7,13.7,83.2%
16,17,Brian Hill(SF),9,94,10.4,62,0,0,3,3,42,14.0,0,0,1,13.6,13.6,0.1%
17,18,D'Andre Swift(DET),12,54,4.5,13,0,1,3,3,16,5.3,0,0,1,13.0,13.0,97.2%
18,19,Justin Jackson(LAC),9,72,8.0,34,0,0,1,2,32,32.0,0,0,1,12.4,12.4,42.5%
19,20,Adrian Peterson(SEA),7,63,9.0,38,0,1,0,0,0,0,0,0,1,12.3,12.3,4.9%
20,21,Ezekiel Elliott(DAL),14,42,3.0,13,0,1,3,4,19,6.3,0,0,1,12.1,12.1,99.7%
21,22,Josh Adams(NO),11,47,4.3,10,0,1,2,4,12,6.0,0,0,1,11.9,11.9,0.0%
22,23,Austin Ekeler(LAC),7,18,2.6,6,0,0,6,7,33,5.5,1,0,1,11.1,11.1,99.9%
23,24,Salvon Ahmed(MIA),6,29,4.8,16,0,1,3,3,19,6.3,0,0,1,10.8,10.8,1.6%
24,25,Ty Montgomery(NO),18,105,5.8,36,0,0,1,2,2,2.0,0,0,1,10.7,10.7,0.6%
