,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Travis Kelce(KC),8,12,109,13.6,25,0,1,0,0,0,0,1,16.9,16.9,100.0%
1,2,Jared Cook(LAC),5,7,51,10.2,16,0,1,0,0,0,0,1,11.1,11.1,50.2%
2,3,Eric Ebron(PIT),4,5,48,12.0,18,0,1,0,0,0,0,1,10.8,10.8,3.0%
3,4,Rob Gronkowski(TB),4,4,41,10.3,18,0,1,0,0,0,0,1,10.1,10.1,97.7%
4,5,Robert Tonyan(GB),5,7,79,15.8,45,0,0,0,0,0,0,1,7.9,7.9,18.6%
5,6,Jack Doyle(IND),2,3,18,9.0,11,0,1,0,0,0,0,1,7.8,7.8,2.2%
6,7,Ross Dwelley(SF),1,4,16,16.0,16,0,1,0,0,0,0,1,7.6,7.6,0.1%
7,8,Trey Burton(FA),3,4,9,3.0,8,0,0,1,2,1,0,1,7.1,7.1,0.0%
8,9,Evan Engram(NYG),5,10,61,12.2,30,0,0,1,9,0,0,1,7.0,7.0,28.5%
9,10,Albert Okwuegbunam(DEN),1,1,9,9.0,9,0,1,0,0,0,0,1,6.9,6.9,1.0%
10,11,T.J. Hockenson(DET),7,10,65,9.3,15,0,0,0,0,0,0,1,6.5,6.5,57.4%
11,12,Hayden Hurst(ATL),5,7,54,10.8,18,0,0,0,0,0,0,1,5.4,5.4,0.9%
12,13,Dalton Schultz(DAL),6,8,53,8.8,15,0,0,0,0,0,0,1,5.3,5.3,89.9%
13,14,Noah Fant(DEN),7,9,47,6.7,12,0,0,0,0,0,0,1,4.7,4.7,80.3%
14,15,Jace Sternberger(PIT),3,4,46,15.3,27,0,0,0,0,0,0,1,4.6,4.6,0.0%
15,16,George Kittle(SF),2,4,39,19.5,25,0,0,0,0,0,0,1,3.9,3.9,99.7%
16,17,Mo Alie-Cox(IND),3,4,37,12.3,15,0,0,0,0,0,0,1,3.7,3.7,2.2%
17,18,Anthony Firkser(TEN),2,3,36,18.0,26,0,0,0,0,0,0,1,3.6,3.6,3.7%
18,19,Cameron Brate(TB),2,2,35,17.5,25,0,0,0,0,0,0,1,3.5,3.5,2.8%
19,20,Hunter Henry(NE),4,4,33,8.3,13,0,0,0,0,0,0,1,3.3,3.3,65.9%
20,21,Mark Andrews(BAL),3,6,32,10.7,18,0,0,0,0,0,0,1,3.2,3.2,99.9%
21,22,Gerald Everett(SEA),5,9,32,6.4,11,0,0,0,0,0,0,1,3.2,3.2,35.7%
22,23,Jonnu Smith(NE),2,2,29,14.5,19,0,0,0,0,0,0,1,2.9,2.9,22.7%
23,24,Ian Thomas(CAR),3,3,28,9.3,21,0,0,0,0,0,0,1,2.8,2.8,0.1%
24,25,Darren Waller(LV),5,6,27,5.4,7,0,0,0,0,0,0,1,2.7,2.7,92.6%
25,26,Ryan Izzo(TEN),2,3,24,12.0,15,0,0,0,0,0,0,1,2.4,2.4,0.0%
26,27,Jesse James(CHI),1,1,23,23.0,23,0,0,0,0,0,0,1,2.3,2.3,0.0%
27,28,Jason Witten(FA),2,2,21,10.5,13,0,0,0,0,0,0,1,2.1,2.1,0.1%
28,29,David Njoku(CLE),1,3,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,12.9%
29,30,Will Dissly(SEA),1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.2%
30,31,Durham Smythe(MIA),2,2,16,8.0,8,0,0,0,0,0,0,1,1.6,1.6,0.1%
31,32,Irv Smith Jr.(MIN),1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,7.3%
32,33,Dallas Goedert(PHI),1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,89.8%
33,34,Tyler Higbee(LAR),2,4,14,7.0,13,0,0,0,0,0,0,1,1.4,1.4,77.4%
34,35,Jimmy Graham(CHI),2,7,13,6.5,11,0,0,0,0,0,0,1,1.3,1.3,0.8%
35,36,Kyle Rudolph(NYG),1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.3%
36,37,Tyler Kroft(NYJ),1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.2%
37,38,Levine Toilolo(NYG),1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%
38,39,Mike Gesicki(MIA),1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,87.6%
39,40,Josh Hill(FA),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%
40,41,Kaden Smith(NYG),1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%
41,42,Chris Manhertz(JAC),1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%
42,43,Jacob Hollister(JAC),1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%
43,44,Harrison Bryant(CLE),3,3,25,8.3,10,0,0,0,0,0,1,1,0.5,0.5,0.2%
44,45,Nick Keizer(FA),1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%
45,46,Deon Yelder(ARI),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%
46,47,Cole Kmet(CHI),1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,33.3%
47,48,Cethan Carter(MIA),1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,0.0%
48,49,John Raine(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,50,Mitchell Fraboni(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,51,Matt Sokol(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,52,Mark Vital Jr.(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,53,Matthew Orzech(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Ian Bunting(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,55,Parker Hesse(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Chris Myarick(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Brycen Hopkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
57,58,Zach Gentry(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
58,59,Drew Sample(CIN),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
59,60,Trevon Wesco(NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
60,61,Tyree Jackson(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
61,62,Alize Mack(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,63,Isaac Nauta(GB),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
63,64,Dawson Knox(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.2%
64,65,Dax Raymond(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,66,Kahale Warring(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
66,67,Andrew Beck(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
67,68,Stephen Carlson(CLE),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
68,69,Carson Meier(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,70,Austin Fort(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
70,71,John Lovett(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
71,72,Jody Fortson(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
72,73,Donald Parham Jr.(LAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%
73,74,Michael Jacobson(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,75,Hunter Bryant(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
75,76,Josh Oliver(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
76,77,Nakia Griffin-Stewart(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
77,78,Tyler Davis(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
78,79,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
79,80,Rashod Berry(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
80,81,Scotty Washington(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,82,Eli Wolf(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
82,83,Tommy Hudson(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
83,84,Rysen John(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
84,85,Sean McKeon(DAL),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
85,86,Ryan Becker(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
86,87,Farrod Green(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
87,88,Nick Bowers(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
88,89,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
89,90,Brevin Jordan(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
90,91,Pat Freiermuth(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7%
91,92,Kyle Pitts(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4%
92,93,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
93,94,Tyler Mabry(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,95,Jared Pinkney(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
95,96,Sal Cannella(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
96,97,Colby Parkinson(SEA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
97,98,Adam Trautman(NO),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.7%
98,99,Devin Asiasi(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,100,Josiah Deguara(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
100,101,Luke Farrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
101,102,Ben Ellefson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,103,Mitchell Wilcox(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,104,Noah Gray(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
104,105,Juwan Johnson(NO),1,3,5,5.0,5,0,0,0,0,0,0,1,0.0,0.0,1.9%
105,106,Dalton Keene(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
106,107,Thaddeus Moss(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
107,108,Kyle Markway(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
108,109,Stephen Sullivan(CAR),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
109,110,Charlie Taumoepeau(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
110,111,Charlie Woerner(SF),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
111,112,Noah Togiai(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
