player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,year
Aaron Rodgers,QB,GB,16.0,1057.0,66.0,98.0,4.0,0.0,58.0,58.0,282.3,26.7,2019
Adrian Peterson,RB,WAS,15.0,403.0,27.0,46.0,52.0,6.0,57.0,58.0,130.0,32.3,2019
Ben Roethlisberger,QB,PIT,2.0,95.0,48.0,77.0,1.0,0.0,66.0,66.0,13.7,14.4,2019
Benjamin Watson,TE,NE,10.0,467.0,47.0,66.0,0.0,5.0,4.0,5.0,17.3,3.7,2019
Brian Hoyer,QB,IND,4.0,129.0,32.0,48.0,6.0,0.0,57.0,57.0,25.1,19.5,2019
Chase Daniel,QB,CHI,4.0,127.0,32.0,47.0,5.0,0.0,55.0,55.0,28.0,22.0,2019
Danny Amendola,WR,DET,15.0,642.0,43.0,64.0,0.0,15.0,10.0,15.0,78.6,12.2,2019
Darren Sproles,RB,PHI,6.0,103.0,17.0,23.0,17.0,10.0,22.0,26.0,11.0,10.7,2019
DeSean Jackson,WR,PHI,3.0,65.0,22.0,27.0,0.0,15.0,14.0,15.0,27.9,42.9,2019
Drew Brees,QB,NO,11.0,634.0,58.0,87.0,1.0,0.0,61.0,61.0,228.8,36.1,2019
Eli Manning,QB,NYG,4.0,248.0,62.0,97.0,2.0,0.0,61.0,61.0,59.3,23.9,2019
Frank Gore,RB,BUF,16.0,372.0,23.0,35.0,45.0,4.0,48.0,49.0,81.9,22.0,2019
Greg Olsen,TE,CAR,14.0,790.0,56.0,81.0,0.0,10.0,7.0,10.0,71.7,9.1,2019
Jared Cook,TE,NO,14.0,501.0,36.0,55.0,0.0,13.0,9.0,13.0,124.5,24.9,2019
Jason Witten,TE,DAL,16.0,845.0,53.0,75.0,0.0,10.0,7.0,10.0,76.9,9.1,2019
Joe Flacco,QB,DEN,8.0,532.0,67.0,100.0,2.0,0.0,52.0,52.0,89.9,16.9,2019
Josh McCown,QB,PHI,3.0,15.0,5.0,7.0,13.0,0.0,47.0,47.0,0.8,5.3,2019
Julian Edelman,WR,NE,16.0,1004.0,63.0,87.0,1.0,15.0,11.0,16.0,156.3,15.6,2019
Larry Fitzgerald,WR,ARI,16.0,888.0,56.0,85.0,0.0,12.0,8.0,12.0,102.4,11.5,2019
LeSean McCoy,RB,KC,13.0,295.0,23.0,34.0,34.0,12.0,44.0,46.0,90.6,30.7,2019
Marcedes Lewis,TE,GB,16.0,488.0,31.0,45.0,0.0,4.0,3.0,4.0,21.6,4.4,2019
Marshawn Lynch,RB,SEA,1.0,23.0,23.0,30.0,52.0,0.0,52.0,52.0,9.4,40.9,2019
Matt Moore,QB,KC,6.0,170.0,28.0,45.0,3.0,0.0,56.0,56.0,42.3,24.9,2019
Matt Ryan,QB,ATL,15.0,1065.0,71.0,97.0,3.0,0.0,61.0,61.0,281.4,26.4,2019
Matt Schaub,QB,ATL,6.0,99.0,17.0,24.0,3.0,0.0,71.0,71.0,33.9,34.2,2019
Matthew Slater,WR,NE,16.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Matthew Stafford,QB,DET,8.0,542.0,68.0,99.0,4.0,0.0,57.0,57.0,171.5,31.6,2019
Michael Crabtree,WR,ARI,2.0,31.0,16.0,23.0,0.0,16.0,13.0,16.0,2.2,7.1,2019
Philip Rivers,QB,LAC,16.0,1030.0,64.0,97.0,1.0,0.0,59.0,59.0,255.5,24.8,2019
Ryan Fitzpatrick,QB,MIA,15.0,878.0,59.0,85.0,6.0,0.0,63.0,63.0,254.7,29.0,2019
Ted Ginn Jr.,WR,NO,16.0,606.0,38.0,57.0,0.0,9.0,5.0,10.0,55.9,9.2,2019
Tom Brady,QB,NE,16.0,1135.0,71.0,99.0,2.0,0.0,56.0,56.0,271.6,23.9,2019
Vernon Davis,TE,WAS,4.0,186.0,47.0,74.0,0.0,10.0,5.0,10.0,18.3,9.8,2019
Golden Tate,WR,NYG,11.0,625.0,57.0,86.0,0.0,14.0,8.0,14.0,103.2,16.5,2019
Andre Roberts,WR,BUF,13.0,109.0,8.0,12.0,1.0,6.0,4.0,7.0,2.7,2.5,2019
Colt McCoy,QB,WAS,1.0,56.0,56.0,100.0,4.0,0.0,52.0,52.0,5.3,9.5,2019
Emmanuel Sanders,WR,SF,17.0,840.0,49.0,77.0,0.0,12.0,8.0,12.0,124.3,14.8,2019
Jimmy Graham,TE,GB,16.0,622.0,39.0,57.0,0.0,10.0,6.0,10.0,62.7,10.1,2019
Antonio Brown,WR,NE,1.0,24.0,24.0,34.0,4.0,33.0,21.0,38.0,12.1,50.4,2019
Julio Jones,WR,ATL,15.0,812.0,54.0,75.0,0.0,19.0,12.0,20.0,175.1,21.6,2019
Cam Newton,QB,CAR,2.0,141.0,71.0,100.0,4.0,0.0,67.0,67.0,17.7,12.6,2019
Mark Ingram II,RB,BAL,15.0,503.0,34.0,48.0,40.0,6.0,45.0,46.0,216.5,43.0,2019
Randall Cobb,WR,DAL,15.0,720.0,48.0,69.0,0.0,12.0,8.0,12.0,99.9,13.9,2019
