Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,16,"1,016",64,98,4,0,56,56,387.1,38.1
Adrian Peterson,RB,DET,16,298,19,29,52,6,56,58,112.5,37.8
Alex Smith,QB,WAS,8,459,57,87,2,0,57,57,79.6,17.3
Ben Roethlisberger,QB,PIT,15,"1,010",67,97,2,0,63,63,277.2,27.4
Chad Henne,QB,KC,3,75,25,44,9,0,60,60,23.7,31.6
Chase Daniel,QB,DET,4,65,16,25,3,0,69,69,14.2,21.8
Danny Amendola,WR,DET,14,454,32,52,0,15,10,15,60.4,13.3
DeSean Jackson,WR,PHI,5,180,36,47,1,14,8,15,30.8,17.1
Drew Brees,QB,NO,12,717,60,89,3,0,57,57,215.4,30.0
Frank Gore,RB,NYJ,15,380,25,41,49,5,53,54,84.2,22.2
Greg Olsen,TE,SEA,11,429,39,58,0,9,6,9,29.9,7.0
Jared Cook,TE,NO,15,466,31,46,0,13,8,13,90.4,19.4
Jason Witten,TE,LV,16,406,25,37,0,4,3,4,18.9,4.7
Joe Flacco,QB,NYJ,5,250,50,77,2,0,56,56,57.7,23.1
Julian Edelman,WR,NE,5,220,44,70,1,15,10,17,31.7,14.4
Larry Fitzgerald,WR,ARI,13,744,57,79,0,10,7,10,46.9,6.3
LeSean McCoy,RB,TB,10,116,12,17,9,16,22,25,13.2,11.4
Marcedes Lewis,TE,GB,15,421,28,43,0,4,2,4,28.7,6.8
Matt Ryan,QB,ATL,16,"1,112",70,99,3,0,59,59,293.3,26.4
Matt Schaub,QB,ATL,1,9,9,12,33,0,33,33,-0.4,-4.4
Matthew Stafford,QB,DET,16,934,58,92,3,0,60,60,270.5,29.0
Philip Rivers,QB,IND,16,"1,044",65,96,2,0,54,54,251.0,24.0
Ryan Fitzpatrick,QB,MIA,9,496,55,84,6,0,60,60,160.7,32.4
Ted Ginn Jr.,WR,CHI,5,58,12,17,0,10,5,10,4.0,6.9
Tom Brady,QB,TB,16,"1,024",64,95,3,0,63,63,350.0,34.2
Dez Bryant,WR,BAL,6,129,22,33,0,9,5,9,16.7,12.9
Golden Tate,WR,NYG,12,424,35,56,0,12,9,13,51.5,12.1
Andre Roberts,WR,BUF,15,62,4,6,2,8,8,10,-0.9,-1.5
Colt McCoy,QB,NYG,4,145,36,60,6,0,52,52,19.1,13.2
Emmanuel Sanders,WR,NO,14,559,40,60,0,15,11,15,103.8,18.6
Jimmy Graham,TE,CHI,15,589,39,58,0,12,8,12,90.5,15.4
Rob Gronkowski,TE,TB,16,808,51,75,0,10,6,10,104.3,12.9
Antonio Brown,WR,TB,8,323,40,62,1,19,15,20,72.1,22.3
A.J. Green,WR,CIN,16,819,51,76,0,13,6,13,64.3,7.9
Blaine Gabbert,QB,TB,4,49,12,18,18,0,51,51,15.3,31.2
Julio Jones,WR,ATL,9,469,52,72,0,14,11,14,95.1,20.3
Cam Newton,QB,NE,15,876,58,93,16,0,58,58,269.3,30.7
Mark Ingram II,RB,BAL,11,161,15,23,45,5,48,50,46.9,29.1
Randall Cobb,WR,HOU,10,370,37,60,0,13,11,13,62.1,16.8
Kyle Rudolph,TE,MIN,12,574,48,72,0,6,5,6,37.4,6.5
Andy Dalton,QB,DAL,11,621,56,83,5,0,58,58,143.9,23.2
Luke Stocker,TE,ATL,16,502,31,45,0,2,1,2,6.3,1.3
Anthony Sherman,RB,KC,12,60,5,7,5,3,7,8,7.3,12.2
Dion Lewis,RB,NYG,16,304,19,30,10,10,16,19,38.2,12.6
Lee Smith,TE,BUF,10,171,17,26,0,4,2,4,15.5,9.1
Tyrod Taylor,QB,LAC,2,75,38,49,8,0,48,48,9.0,12.0
Virgil Green,TE,LAC,6,141,24,32,0,4,2,4,11.0,7.8
Bruce Miller,TE,JAC,8,62,8,13,0,3,2,3,0.2,0.3
Robert Griffin III,QB,BAL,4,61,15,26,20,0,43,43,4.6,7.5
Ryan Tannehill,QB,TEN,16,"1,052",66,98,4,0,50,50,350.3,33.3
Nick Foles,QB,CHI,8,433,54,80,4,0,67,67,103.7,23.9
Kirk Cousins,QB,MIN,16,"1,082",68,100,3,0,51,51,319.2,29.5
Russell Wilson,QB,SEA,16,"1,047",65,98,8,0,61,61,372.6,35.6
Lamar Miller,RB,CHI,1,5,5,10,0,40,40,40,0.6,12.0
Alshon Jeffery,WR,PHI,7,202,29,41,0,6,3,6,17.5,8.7
Mohamed Sanu Sr.,WR,DET,10,281,28,42,0,9,6,9,27.0,9.6
T.Y. Hilton,WR,IND,15,688,46,67,0,14,8,14,108.2,15.7
Marvin Jones Jr.,WR,DET,16,917,57,90,0,13,8,13,151.8,16.6
Alfred Morris,RB,NYG,9,111,12,19,50,4,52,53,37.7,34.0
Case Keenum,QB,CLE,2,15,8,11,0,0,67,67,1.8,12.0
Cole Beasley,WR,BUF,15,681,45,66,0,16,12,16,125.5,18.4
Chris Hogan,WR,NYJ,5,273,55,82,0,10,5,10,11.8,4.3
Travis Kelce,TE,KC,14,857,61,86,0,16,12,16,200.8,23.4
DeAndre Hopkins,WR,ARI,16,"1,042",65,92,0,15,11,15,172.8,16.6
Robert Woods,WR,LAR,15,934,62,89,2,13,11,15,152.6,16.3
Kenny Stills,WR,HOU,10,166,17,27,0,11,7,11,20.4,12.3
