rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,New England Patriots,36.0,25.0,13.0,11.0,5.0,0.0,4.0,16.0,310.0,19.4,93.2,NE,DST,2010
2.0,Pittsburgh Steelers,48.0,21.0,14.0,20.0,3.0,0.0,1.0,16.0,294.0,18.4,44.6,PIT,DST,2010
3.0,Arizona Cardinals,33.0,17.0,13.0,11.0,7.0,0.0,2.0,16.0,292.0,18.3,60.9,ARI,DST,2010
4.0,Green Bay Packers,47.0,24.0,8.0,14.0,4.0,0.0,0.0,16.0,292.0,18.3,60.6,GB,DST,2010
5.0,New York Giants,46.0,16.0,23.0,30.0,0.0,0.0,0.0,16.0,280.0,17.5,4.5,NYG,DST,2010
6.0,New York Jets,40.0,12.0,18.0,17.0,3.0,2.0,2.0,16.0,280.0,17.5,3.3,NYJ,DST,2010
7.0,Detroit Lions,44.0,14.0,15.0,16.0,3.0,1.0,1.0,16.0,276.0,17.3,1.1,DET,DST,2010
8.0,Philadelphia Eagles,39.0,23.0,11.0,10.0,2.0,0.0,1.0,16.0,270.0,16.9,52.5,PHI,DST,2010
9.0,Dallas Cowboys,35.0,20.0,10.0,12.0,4.0,0.0,3.0,16.0,268.0,16.8,82.9,DAL,DST,2010
10.0,Atlanta Falcons,31.0,22.0,9.0,12.0,3.0,0.0,2.0,16.0,265.0,16.6,5.8,ATL,DST,2010
11.0,Chicago Bears,34.0,21.0,14.0,23.0,1.0,0.0,3.0,16.0,263.0,16.4,35.9,CHI,DST,2010
12.0,Seattle Seahawks,37.0,12.0,10.0,15.0,2.0,1.0,4.0,16.0,259.0,16.2,39.4,SEA,DST,2010
13.0,San Francisco 49ers,36.0,15.0,7.0,12.0,3.0,0.0,1.0,16.0,259.0,16.2,79.5,SF,DST,2010
14.0,Tennessee Titans,40.0,17.0,8.0,14.0,1.0,2.0,2.0,16.0,259.0,16.2,48.4,TEN,DST,2010
15.0,Baltimore Ravens,27.0,19.0,8.0,12.0,3.0,0.0,1.0,16.0,259.0,16.2,51.9,BAL,DST,2010
16.0,Cleveland Browns,29.0,19.0,9.0,8.0,3.0,0.0,0.0,16.0,257.0,16.1,40.8,CLE,DST,2010
17.0,Kansas City Chiefs,39.0,14.0,9.0,15.0,3.0,0.0,1.0,16.0,257.0,16.1,45.7,KC,DST,2010
18.0,Tampa Bay Buccaneers,26.0,19.0,9.0,11.0,3.0,0.0,1.0,16.0,254.0,15.9,98.0,TB,DST,2010
19.0,Indianapolis Colts,30.0,10.0,11.0,10.0,3.0,0.0,2.0,16.0,254.0,15.9,66.4,IND,DST,2010
20.0,New Orleans Saints,33.0,9.0,16.0,22.0,2.0,1.0,0.0,16.0,249.0,15.6,79.3,NO,DST,2010
21.0,Washington Commanders,29.0,14.0,13.0,15.0,2.0,0.0,1.0,16.0,248.0,15.5,27.5,WAS,DST,2010
22.0,Carolina Panthers,31.0,17.0,12.0,13.0,1.0,1.0,0.0,16.0,246.0,15.4,27.8,CAR,DST,2010
23.0,Buffalo Bills,27.0,11.0,11.0,12.0,3.0,0.0,1.0,16.0,243.0,15.2,95.9,BUF,DST,2010
24.0,Miami Dolphins,39.0,11.0,8.0,12.0,1.0,1.0,0.0,16.0,240.0,15.0,60.2,MIA,DST,2010
25.0,Minnesota Vikings,31.0,15.0,10.0,11.0,2.0,0.0,1.0,16.0,238.0,14.9,28.0,MIN,DST,2010
26.0,Cincinnati Bengals,27.0,16.0,10.0,9.0,2.0,0.0,0.0,16.0,236.0,14.8,14.7,CIN,DST,2010
27.0,Denver Broncos,23.0,10.0,8.0,12.0,1.0,0.0,1.0,16.0,225.0,14.1,48.5,DEN,DST,2010
28.0,Houston Texans,30.0,13.0,5.0,8.0,0.0,0.0,0.0,16.0,221.0,13.8,6.4,HOU,DST,2010
29.0,Jacksonville Jaguars,26.0,13.0,5.0,5.0,0.0,0.0,1.0,16.0,217.0,13.6,6.9,JAC,DST,2010
30.0,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,LV,DST,2010
31.0,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,LAC,DST,2010
32.0,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,LAR,DST,2010
