rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1,Stephen Gostkowski,29,35,82.9,53,0,8,10,9,2,66,66,16,166.0,10.4,0.1,FA,K,2012
2,Justin Tucker,30,33,90.9,56,0,8,8,10,4,42,42,16,150.0,9.4,98.0,BAL,K,2012
3,Matt Prater,26,32,81.3,53,1,7,10,5,3,55,55,16,144.0,9.0,52.8,ARI,K,2012
4,Dan Bailey,29,31,93.5,51,1,5,13,7,3,37,37,16,137.0,8.6,0.0,FA,K,2012
5,Mason Crosby,21,33,63.6,54,0,5,5,9,2,50,50,16,126.0,7.9,40.7,GB,K,2012
6,Stephen Hauschka,24,27,88.9,52,1,7,10,5,1,46,46,16,125.0,7.8,0.0,FA,K,2012
7,Greg Zuerlein,23,31,74.2,60,1,4,4,7,7,26,26,16,116.0,7.3,74.2,DAL,K,2012
8,Ryan Succop,28,34,82.4,52,0,4,12,10,2,17,17,16,115.0,7.2,57.4,TB,K,2012
9,Robbie Gould,21,25,84.0,54,0,7,6,6,2,33,33,13,106.0,8.2,22.5,SF,K,2012
10,Nick Folk,21,27,77.8,54,0,7,6,5,3,30,30,16,104.0,6.5,81.8,NE,K,2012
11,Mike Nugent,19,23,82.6,55,2,5,5,6,1,35,35,12,100.0,8.3,1.0,FA,K,2012
12,Kai Forbath,17,18,94.4,50,0,3,2,11,1,33,33,11,97.0,8.8,3.0,LAR,K,2012
13,Graham Gano,9,11,81.8,51,0,3,3,2,1,20,21,6,51.0,8.5,31.4,NYG,K,2012
14,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,2012
15,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,2012
16,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,2012
17,Adam Vinatieri,26,33,78.8,53,1,8,4,9,4,37,37,16,0.0,0.0,0.2,FA,K,2012
18,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,2012
19,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,2012
20,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,K,2012
21,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,2012
22,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,2012
23,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,2012
24,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,2012
25,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,K,2012
26,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,2012
27,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,K,2012
28,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,HOU,K,2012
29,Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.6,KC,K,2012
30,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,CAR,K,2012
31,Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.5,PHI,K,2012
32,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,K,2012
33,Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NO,K,2012
34,Jonathan Brown,0,0,0.0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.1,FA,K,2012
35,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,2012
36,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,K,2012
37,Dominik Eberle,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,2012
38,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,K,2012
39,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,K,2012
40,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,2012
41,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,K,2012
42,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,K,2012
43,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,K,2012
44,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,K,2012
45,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,K,2012
46,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,2012
47,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,2012
48,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,K,2012
49,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,K,2012
50,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,K,2012
51,Jason Myers,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.1,SEA,K,2012
52,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.3,MIA,K,2012
53,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,2012
54,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,2012
55,Phil Dawson,29,31,93.5,53,0,8,8,6,7,29,29,16,0.0,0.0,0.1,FA,K,2012
56,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,2012
57,Rian Lindell,21,24,87.5,50,1,3,10,6,1,39,39,16,0.0,0.0,0.0,FA,K,2012
58,Rob Bironas,25,31,80.6,53,0,6,13,5,1,35,35,16,0.0,0.0,0.0,FA,K,2012
59,Sebastian Janikowski,31,34,91.2,57,1,9,10,5,6,25,25,16,0.0,0.0,20.0,FA,K,2012
60,Shaun Suisham,28,31,90.3,52,0,7,8,12,1,34,34,16,0.0,0.0,0.0,FA,K,2012
61,Shayne Graham,31,38,81.6,51,1,9,10,7,4,45,45,16,0.0,0.0,0.0,FA,K,2012
62,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,K,2012
63,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,2012
64,Nate Kaeding,8,10,80.0,45,1,3,0,4,0,9,9,5,0.0,0.0,0.0,FA,K,2012
65,Jay Feely,25,28,89.3,61,0,6,9,8,2,25,25,16,0.0,0.0,0.0,FA,K,2012
66,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,K,2012
67,Billy Cundiff,7,12,58.3,45,0,1,3,3,0,17,17,5,0.0,0.0,0.0,FA,K,2012
68,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,K,2012
69,Connor Barth,28,33,84.8,57,0,7,3,12,6,39,39,15,0.0,0.0,0.0,FA,K,2012
70,Dan Carpenter,22,27,81.5,53,0,4,8,8,2,26,26,14,0.0,0.0,0.2,FA,K,2012
71,David Akers,29,42,69.0,63,1,8,11,7,2,44,44,16,0.0,0.0,0.0,FA,K,2012
72,Garrett Hartley,18,22,81.8,53,0,9,4,2,3,57,57,16,0.0,0.0,0.0,FA,K,2012
73,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,2012
74,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CLE,K,2012
