rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
1.0,LeSean McCoy,314.0,1607.0,5.1,57.0,9.0,9.0,52.0,64.0,539.0,10.4,2.0,1.0,16.0,278.6,17.4,2.0,RB,2013,team
2.0,Adrian Peterson,279.0,1266.0,4.5,78.0,8.0,10.0,29.0,40.0,171.0,5.9,1.0,3.0,14.0,203.7,14.6,4.9,RB,2013,team
3.0,Frank Gore,276.0,1128.0,4.1,51.0,9.0,9.0,16.0,26.0,141.0,8.8,0.0,3.0,16.0,174.9,10.9,12.2,RB,2013,team
4.0,Le'Veon Bell,244.0,860.0,3.5,43.0,4.0,8.0,45.0,66.0,399.0,8.9,0.0,1.0,13.0,171.9,13.2,5.4,RB,2013,team
5.0,Alfred Morris,276.0,1275.0,4.6,45.0,10.0,7.0,9.0,12.0,78.0,8.7,0.0,4.0,16.0,169.3,10.6,0.0,RB,2013,team
6.0,Giovani Bernard,170.0,695.0,4.1,35.0,3.0,5.0,56.0,70.0,514.0,9.2,3.0,1.0,16.0,166.9,10.4,5.4,RB,2013,team
8.0,Lamar Miller,177.0,709.0,4.0,49.0,4.0,2.0,26.0,35.0,170.0,6.5,0.0,1.0,16.0,97.9,6.1,0.0,RB,2013,team
9.0,Brandon Bolden,55.0,271.0,4.9,46.0,2.0,3.0,21.0,29.0,152.0,7.2,0.0,0.0,12.0,60.3,5.0,10.7,RB,2013,team
11.0,Anthony Sherman,2.0,3.0,1.5,2.0,0.0,0.0,18.0,24.0,155.0,8.6,1.0,1.0,16.0,19.8,1.2,0.0,RB,2013,team
12.0,Theo Riddick,9.0,25.0,2.8,7.0,0.0,1.0,4.0,8.0,26.0,6.5,0.0,0.0,14.0,11.1,0.8,0.0,RB,2013,team
13.0,Patrick DiMarco,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,49.0,6.1,0.0,0.0,14.0,4.9,0.4,0.0,RB,2013,team
14.0,Kenjon Barner,6.0,7.0,1.2,2.0,0.0,0.0,2.0,3.0,7.0,3.5,0.0,0.0,8.0,1.4,0.2,0.0,RB,2013,team
163.0,Bruce Miller,7.0,13.0,1.9,4.0,0.0,0.0,25.0,36.0,243.0,9.7,0.0,0.0,14.0,0.0,0.0,0.0,RB,2013,team
165.0,Stanley Havili,7.0,7.0,1.0,4.0,0.0,0.0,18.0,21.0,128.0,7.1,1.0,0.0,13.0,0.0,0.0,0.0,RB,2013,team
167.0,Da'Rel Scott,20.0,73.0,3.7,16.0,0.0,0.0,11.0,19.0,102.0,9.3,1.0,0.0,5.0,0.0,0.0,0.0,RB,2013,team
168.0,Evan Royster,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,RB,2013,team
169.0,Bilal Powell,176.0,697.0,4.0,39.0,3.0,1.0,36.0,57.0,272.0,7.6,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
170.0,Taiwan Jones,5.0,23.0,4.6,19.0,0.0,0.0,2.0,3.0,55.0,27.5,0.0,1.0,16.0,0.0,0.0,0.0,RB,2013,team
171.0,Roy Helu,62.0,274.0,4.4,24.0,2.0,4.0,31.0,42.0,251.0,8.1,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
