Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Antonio Brown(FA),136,193,"1,834",13.5,59,25,10,3,28,0,2,16,246.2,15.4,84.1%
2,Julio Jones(TEN),136,203,"1,871",13.8,70,25,8,0,0,0,1,16,239.1,14.9,60.7%
3,Brandon Marshall(FA),109,173,"1,502",13.8,69,19,14,0,0,0,2,16,230.2,14.4,2.6%
4,Allen Robinson II(CHI),80,151,"1,400",17.5,90,31,14,0,0,0,0,16,224.0,14.0,53.7%
5,Odell Beckham Jr.(LAR),96,158,"1,450",15.1,87,19,13,1,3,0,0,15,223.3,14.9,90.8%
6,DeAndre Hopkins(ARI),111,192,"1,521",13.7,61,19,11,0,0,0,0,16,220.1,13.8,69.3%
7,Doug Baldwin(FA),78,103,"1,069",13.7,80,16,14,0,0,0,0,16,190.9,11.9,0.0%
8,A.J. Green(ARI),86,132,"1,297",15.1,80,19,10,0,0,0,1,16,187.7,11.7,51.8%
9,Calvin Johnson(FA),88,149,"1,214",13.8,57,16,9,0,0,0,1,16,173.4,10.8,0.1%
10,Eric Decker(FA),80,132,"1,027",12.8,35,16,12,0,0,0,1,15,172.7,11.5,0.6%
11,Larry Fitzgerald(FA),109,145,"1,215",11.1,44,17,9,0,0,0,2,16,171.5,10.7,0.3%
12,Brandin Cooks(HOU),84,129,"1,138",13.5,71,18,9,8,18,0,0,16,169.6,10.6,92.7%
13,Demaryius Thomas(FA),105,177,"1,304",12.4,72,14,6,0,0,0,2,16,162.4,10.2,0.1%
14,Allen Hurns(MIA),64,105,"1,031",16.1,80,19,10,0,0,0,1,15,161.0,10.7,0.0%
15,Jarvis Landry(CLE),110,166,"1,157",10.5,50,10,4,18,113,1,0,16,159.4,10.0,72.5%
16,Sammy Watkins(BAL),60,96,"1,047",17.5,63,18,9,1,1,0,0,13,158.8,12.2,7.0%
17,Jeremy Maclin(FA),87,124,"1,088",12.5,61,14,8,3,14,0,1,15,155.9,10.4,0.0%
