rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
1.0,Aaron Rodgers,401.0,610.0,65.7,4428.0,7.3,40.0,7.0,35.0,67.0,369.0,4.0,4.0,16.0,380.0,23.8,97.4,QB,2016,team
2.0,Matt Ryan,373.0,534.0,69.9,4944.0,9.3,38.0,7.0,37.0,35.0,117.0,0.0,2.0,16.0,347.5,21.7,36.3,QB,2016,team
3.0,Drew Brees,471.0,673.0,70.0,5208.0,7.7,37.0,15.0,27.0,23.0,20.0,2.0,4.0,16.0,332.3,20.8,35.7,QB,2016,team
4.0,Andrew Luck,346.0,545.0,63.5,4240.0,7.8,31.0,13.0,41.0,64.0,341.0,2.0,5.0,15.0,307.6,20.5,2.2,QB,2016,team
5.0,Kirk Cousins,406.0,606.0,67.0,4917.0,8.1,25.0,12.0,23.0,34.0,96.0,4.0,3.0,16.0,300.7,18.8,70.7,QB,2016,team
6.0,Dak Prescott,311.0,459.0,67.8,3667.0,8.0,23.0,4.0,25.0,57.0,282.0,6.0,4.0,16.0,287.1,17.9,98.2,QB,2016,team
7.0,Matthew Stafford,388.0,594.0,65.3,4327.0,7.3,24.0,10.0,37.0,37.0,207.0,2.0,2.0,16.0,279.7,17.5,97.2,QB,2016,team
8.0,Tyrod Taylor,269.0,436.0,61.7,3023.0,6.9,17.0,6.0,42.0,95.0,580.0,6.0,2.0,15.0,270.9,18.1,4.9,QB,2016,team
9.0,Blake Bortles,368.0,625.0,58.9,3905.0,6.2,23.0,16.0,34.0,58.0,359.0,3.0,6.0,16.0,270.1,16.9,0.1,QB,2016,team
10.0,Derek Carr,357.0,560.0,63.8,3937.0,7.0,28.0,6.0,16.0,39.0,70.0,0.0,3.0,15.0,268.4,17.9,58.1,QB,2016,team
11.0,Russell Wilson,353.0,546.0,64.7,4219.0,7.7,21.0,11.0,41.0,72.0,259.0,1.0,2.0,16.0,268.1,16.8,90.4,QB,2016,team
12.0,Marcus Mariota,276.0,451.0,61.2,3426.0,7.6,26.0,9.0,23.0,60.0,349.0,2.0,5.0,15.0,260.7,17.4,0.2,QB,2016,team
13.0,Andy Dalton,364.0,563.0,64.7,4206.0,7.5,18.0,8.0,41.0,46.0,184.0,4.0,3.0,16.0,260.6,16.3,1.6,QB,2016,team
14.0,Philip Rivers,349.0,578.0,60.4,4386.0,7.6,33.0,21.0,36.0,14.0,35.0,0.0,5.0,16.0,259.0,16.2,20.6,QB,2016,team
15.0,Tom Brady,291.0,432.0,67.4,3554.0,8.2,28.0,2.0,15.0,28.0,64.0,0.0,0.0,12.0,258.4,21.5,99.1,QB,2016,team
16.0,Jameis Winston,345.0,567.0,60.8,4090.0,7.2,28.0,18.0,35.0,53.0,165.0,1.0,6.0,16.0,256.5,16.0,5.2,QB,2016,team
17.0,Cam Newton,270.0,510.0,52.9,3509.0,6.9,19.0,14.0,36.0,90.0,359.0,5.0,2.0,15.0,254.3,17.0,20.3,QB,2016,team
18.0,Ben Roethlisberger,328.0,509.0,64.4,3819.0,7.5,29.0,13.0,17.0,16.0,14.0,1.0,2.0,14.0,252.3,18.0,23.8,QB,2016,team
19.0,Carson Palmer,364.0,597.0,61.0,4233.0,7.1,26.0,14.0,40.0,14.0,38.0,0.0,4.0,15.0,243.2,16.2,5.6,QB,2016,team
20.0,Joe Flacco,436.0,672.0,64.9,4317.0,6.4,20.0,15.0,33.0,21.0,58.0,2.0,3.0,16.0,242.0,15.1,0.3,QB,2016,team
21.0,Eli Manning,377.0,598.0,63.0,4027.0,6.7,26.0,16.0,21.0,21.0,-9.0,0.0,4.0,16.0,224.1,14.0,2.3,QB,2016,team
22.0,Alex Smith,328.0,489.0,67.1,3502.0,7.2,15.0,8.0,28.0,48.0,134.0,5.0,4.0,15.0,223.9,14.9,5.0,QB,2016,team
23.0,Sam Bradford,395.0,552.0,71.6,3877.0,7.0,20.0,5.0,37.0,20.0,53.0,0.0,5.0,15.0,220.9,14.7,0.0,QB,2016,team
24.0,Carson Wentz,379.0,607.0,62.4,3782.0,6.2,16.0,14.0,33.0,46.0,150.0,2.0,3.0,16.0,213.0,13.3,44.0,QB,2016,team
25.0,Colin Kaepernick,196.0,331.0,59.2,2241.0,6.8,16.0,4.0,36.0,69.0,468.0,2.0,3.0,12.0,200.3,16.7,0.3,QB,2016,team
26.0,Trevor Siemian,289.0,486.0,59.5,3401.0,7.0,18.0,10.0,31.0,28.0,57.0,0.0,2.0,14.0,191.6,13.7,1.1,QB,2016,team
