rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
1.0,Mike Evans,96.0,173.0,1321.0,13.8,45.0,15.0,12.0,0.0,0.0,0.0,0.0,16.0,208.1,13.0,97.8,WR,2016,team
2.0,Jordy Nelson,97.0,152.0,1257.0,13.0,60.0,19.0,14.0,0.0,0.0,0.0,1.0,16.0,207.7,13.0,0.1,WR,2016,team
3.0,Antonio Brown,106.0,154.0,1284.0,12.1,51.0,22.0,12.0,3.0,9.0,0.0,0.0,15.0,201.3,13.4,84.1,WR,2016,team
5.0,T.Y. Hilton,91.0,155.0,1448.0,15.9,63.0,28.0,6.0,0.0,0.0,0.0,0.0,16.0,182.8,11.4,16.8,WR,2016,team
6.0,Julio Jones,83.0,129.0,1409.0,17.0,75.0,27.0,6.0,0.0,0.0,0.0,0.0,14.0,176.9,12.6,60.7,WR,2016,team
7.0,Davante Adams,75.0,121.0,997.0,13.3,66.0,17.0,12.0,0.0,0.0,0.0,1.0,16.0,171.7,10.7,100.0,WR,2016,team
8.0,Brandin Cooks,78.0,117.0,1173.0,15.0,98.0,15.0,8.0,6.0,30.0,0.0,0.0,16.0,168.3,10.5,92.7,WR,2016,team
9.0,Michael Thomas,92.0,121.0,1137.0,12.4,46.0,18.0,9.0,0.0,0.0,0.0,2.0,15.0,163.7,10.9,20.6,WR,2016,team
10.0,Doug Baldwin,94.0,125.0,1128.0,12.0,59.0,16.0,7.0,3.0,2.0,0.0,0.0,16.0,159.6,10.0,0.0,WR,2016,team
11.0,Michael Crabtree,89.0,145.0,1003.0,11.3,56.0,10.0,8.0,0.0,0.0,0.0,0.0,16.0,150.3,9.4,0.0,WR,2016,team
12.0,Amari Cooper,83.0,132.0,1153.0,13.9,64.0,21.0,5.0,1.0,0.0,0.0,0.0,16.0,148.9,9.3,97.7,WR,2016,team
13.0,Tyrell Williams,69.0,119.0,1059.0,15.3,51.0,19.0,7.0,0.0,0.0,0.0,0.0,16.0,147.9,9.2,4.8,WR,2016,team
14.0,Rishard Matthews,65.0,108.0,945.0,14.5,60.0,16.0,9.0,0.0,0.0,0.0,1.0,16.0,146.5,9.2,0.0,WR,2016,team
15.0,Tyreek Hill,61.0,83.0,593.0,9.7,49.0,8.0,6.0,24.0,267.0,3.0,1.0,16.0,138.0,8.6,100.0,WR,2016,team
16.0,Jarvis Landry,94.0,131.0,1136.0,12.1,71.0,16.0,4.0,5.0,17.0,0.0,2.0,16.0,137.5,8.6,72.5,WR,2016,team
17.0,Larry Fitzgerald,107.0,150.0,1023.0,9.6,32.0,8.0,6.0,2.0,5.0,0.0,1.0,16.0,136.9,8.6,0.3,WR,2016,team
19.0,Demaryius Thomas,90.0,144.0,1083.0,12.0,55.0,10.0,5.0,0.0,0.0,0.0,2.0,16.0,136.3,8.5,0.1,WR,2016,team
20.0,Kelvin Benjamin,63.0,118.0,941.0,14.9,50.0,10.0,7.0,0.0,0.0,0.0,1.0,16.0,134.1,8.4,0.1,WR,2016,team
21.0,Emmanuel Sanders,79.0,137.0,1032.0,13.1,64.0,12.0,5.0,1.0,4.0,0.0,0.0,16.0,133.6,8.4,46.6,WR,2016,team
22.0,Julian Edelman,98.0,159.0,1106.0,11.3,77.0,11.0,3.0,12.0,57.0,0.0,2.0,16.0,132.3,8.3,13.1,WR,2016,team
23.0,Golden Tate,91.0,135.0,1077.0,11.8,67.0,13.0,4.0,10.0,4.0,0.0,1.0,16.0,132.1,8.3,0.1,WR,2016,team
24.0,Mike Wallace,72.0,116.0,1017.0,14.1,95.0,10.0,4.0,5.0,31.0,0.0,0.0,16.0,130.8,8.2,0.0,WR,2016,team
25.0,Dez Bryant,50.0,96.0,796.0,15.9,56.0,10.0,8.0,0.0,0.0,0.0,1.0,13.0,130.0,10.0,2.6,WR,2016,team
26.0,Kenny Britt,68.0,111.0,1002.0,14.7,66.0,15.0,5.0,0.0,0.0,0.0,1.0,15.0,128.2,8.5,0.0,WR,2016,team
27.0,Kenny Stills,42.0,81.0,726.0,17.3,74.0,10.0,9.0,0.0,0.0,0.0,0.0,16.0,126.6,7.9,0.1,WR,2016,team
29.0,Adam Thielen,69.0,92.0,967.0,14.0,71.0,16.0,5.0,2.0,15.0,0.0,1.0,16.0,126.2,7.9,82.7,WR,2016,team
30.0,Jamison Crowder,67.0,99.0,847.0,12.6,55.0,11.0,7.0,2.0,-2.0,0.0,1.0,16.0,124.5,7.8,23.6,WR,2016,team
31.0,DeSean Jackson,56.0,100.0,1005.0,17.9,80.0,19.0,4.0,0.0,0.0,0.0,0.0,15.0,124.5,8.3,4.4,WR,2016,team
32.0,Pierre Garcon,79.0,114.0,1041.0,13.2,70.0,15.0,3.0,0.0,0.0,0.0,0.0,16.0,122.1,7.6,0.0,WR,2016,team
33.0,Brandon LaFell,64.0,107.0,862.0,13.5,86.0,11.0,6.0,1.0,-2.0,0.0,0.0,16.0,122.0,7.6,0.0,WR,2016,team
34.0,A.J. Green,66.0,100.0,964.0,14.6,54.0,15.0,4.0,0.0,0.0,0.0,0.0,10.0,120.4,12.0,51.8,WR,2016,team
36.0,DeAndre Hopkins,78.0,151.0,954.0,12.2,51.0,10.0,4.0,0.0,0.0,0.0,0.0,16.0,119.4,7.5,69.3,WR,2016,team
37.0,Sterling Shepard,65.0,105.0,683.0,10.5,32.0,6.0,8.0,3.0,31.0,0.0,0.0,16.0,119.4,7.5,23.7,WR,2016,team
39.0,Cole Beasley,75.0,98.0,833.0,11.1,47.0,6.0,5.0,1.0,7.0,0.0,0.0,16.0,114.0,7.1,63.2,WR,2016,team
40.0,Steve Smith,70.0,101.0,799.0,11.4,52.0,12.0,5.0,0.0,0.0,0.0,0.0,14.0,113.9,8.1,0.0,WR,2016,team
41.0,Cameron Meredith,66.0,97.0,888.0,13.5,50.0,13.0,4.0,1.0,6.0,0.0,2.0,14.0,113.5,8.1,0.0,WR,2016,team
42.0,Quincy Enunwa,58.0,105.0,857.0,14.8,69.0,14.0,4.0,1.0,12.0,0.0,0.0,16.0,110.9,6.9,0.0,WR,2016,team
43.0,Marqise Lee,63.0,105.0,851.0,13.5,51.0,13.0,3.0,6.0,35.0,0.0,1.0,16.0,109.4,6.8,0.0,WR,2016,team
44.0,Stefon Diggs,84.0,112.0,903.0,10.8,46.0,10.0,3.0,3.0,10.0,0.0,0.0,13.0,109.3,8.4,100.0,WR,2016,team
45.0,Anquan Boldin,67.0,95.0,584.0,8.7,35.0,5.0,8.0,0.0,0.0,0.0,0.0,16.0,106.4,6.7,0.1,WR,2016,team
46.0,Taylor Gabriel,35.0,50.0,579.0,16.5,76.0,8.0,6.0,4.0,51.0,1.0,0.0,13.0,105.9,8.1,0.1,WR,2016,team
48.0,Dontrelle Inman,58.0,97.0,810.0,14.0,57.0,10.0,4.0,0.0,0.0,0.0,0.0,16.0,105.0,6.6,0.0,WR,2016,team
50.0,DeVante Parker,56.0,87.0,744.0,13.3,56.0,9.0,4.0,0.0,0.0,0.0,0.0,15.0,98.4,6.6,64.3,WR,2016,team
51.0,Jordan Matthews,73.0,117.0,804.0,11.0,54.0,13.0,3.0,0.0,0.0,0.0,0.0,14.0,98.4,7.0,0.0,WR,2016,team
52.0,Brandon Marshall,59.0,128.0,788.0,13.4,41.0,10.0,3.0,0.0,0.0,0.0,0.0,15.0,96.7,6.4,2.6,WR,2016,team
54.0,Alshon Jeffery,52.0,94.0,821.0,15.8,54.0,12.0,2.0,0.0,0.0,0.0,0.0,12.0,94.1,7.8,0.1,WR,2016,team
55.0,Chris Hogan,38.0,58.0,680.0,17.9,79.0,11.0,4.0,3.0,9.0,0.0,1.0,15.0,90.9,6.1,0.0,WR,2016,team
57.0,Tavon Austin,58.0,106.0,509.0,8.8,43.0,6.0,3.0,28.0,159.0,1.0,1.0,15.0,88.8,5.9,0.1,WR,2016,team
58.0,Randall Cobb,60.0,84.0,610.0,10.2,47.0,7.0,4.0,10.0,33.0,0.0,0.0,13.0,88.3,6.8,7.6,WR,2016,team
59.0,Travis Benjamin,47.0,75.0,677.0,14.4,54.0,10.0,4.0,2.0,-3.0,0.0,3.0,14.0,85.4,6.1,0.0,WR,2016,team
60.0,Tyler Lockett,41.0,66.0,597.0,14.6,57.0,9.0,1.0,6.0,114.0,1.0,0.0,15.0,83.1,5.5,97.5,WR,2016,team
61.0,Jeremy Kerley,64.0,115.0,667.0,10.4,33.0,8.0,3.0,0.0,0.0,0.0,1.0,16.0,82.7,5.2,0.0,WR,2016,team
62.0,Terrance Williams,44.0,61.0,594.0,13.5,47.0,6.0,4.0,0.0,0.0,0.0,1.0,16.0,81.4,5.1,0.0,WR,2016,team
63.0,Michael Floyd,37.0,76.0,488.0,13.2,39.0,4.0,5.0,0.0,0.0,0.0,0.0,15.0,78.8,5.3,0.0,WR,2016,team
64.0,Adam Humphries,55.0,83.0,622.0,11.3,42.0,7.0,2.0,5.0,18.0,0.0,0.0,15.0,78.0,5.2,0.8,WR,2016,team
65.0,Eli Rogers,48.0,66.0,594.0,12.4,39.0,11.0,3.0,1.0,6.0,0.0,0.0,13.0,78.0,6.0,0.0,WR,2016,team
67.0,Brian Quick,41.0,77.0,564.0,13.8,65.0,7.0,3.0,0.0,0.0,0.0,0.0,16.0,74.4,4.7,0.0,WR,2016,team
68.0,Seth Roberts,38.0,77.0,397.0,10.4,41.0,5.0,5.0,0.0,0.0,0.0,0.0,16.0,73.7,4.6,0.0,WR,2016,team
69.0,Robby Anderson,42.0,78.0,587.0,14.0,52.0,10.0,2.0,3.0,42.0,0.0,1.0,16.0,72.9,4.6,42.2,WR,2016,team
70.0,Donte Moncrief,30.0,56.0,307.0,10.2,39.0,3.0,7.0,1.0,-1.0,0.0,0.0,9.0,72.6,8.1,0.0,WR,2016,team
71.0,Tyler Boyd,54.0,81.0,603.0,11.2,30.0,9.0,1.0,4.0,58.0,0.0,1.0,16.0,70.1,4.4,71.3,WR,2016,team
72.0,Breshad Perriman,33.0,66.0,499.0,15.1,53.0,8.0,3.0,1.0,2.0,0.0,0.0,16.0,68.1,4.3,2.5,WR,2016,team
73.0,Robert Woods,51.0,76.0,613.0,12.0,34.0,10.0,1.0,1.0,6.0,0.0,0.0,13.0,67.9,5.2,29.9,WR,2016,team
75.0,Allen Hurns,35.0,76.0,477.0,13.6,42.0,9.0,3.0,0.0,0.0,0.0,0.0,11.0,65.7,6.0,0.0,WR,2016,team
76.0,Jeremy Maclin,44.0,76.0,536.0,12.2,44.0,6.0,2.0,1.0,-1.0,0.0,0.0,12.0,65.5,5.5,0.0,WR,2016,team
77.0,John Brown,39.0,73.0,517.0,13.3,30.0,5.0,2.0,1.0,10.0,0.0,0.0,15.0,64.7,4.3,1.3,WR,2016,team
78.0,Tajae Sharpe,41.0,83.0,522.0,12.7,34.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,64.3,4.0,1.1,WR,2016,team
80.0,Devin Funchess,23.0,58.0,371.0,16.1,48.0,8.0,4.0,0.0,0.0,0.0,0.0,15.0,63.1,4.2,0.0,WR,2016,team
81.0,Victor Cruz,39.0,72.0,586.0,15.0,48.0,10.0,1.0,0.0,0.0,0.0,1.0,15.0,62.6,4.2,0.1,WR,2016,team
82.0,Cordarrelle Patterson,52.0,70.0,453.0,8.7,39.0,4.0,2.0,7.0,43.0,0.0,0.0,16.0,61.6,3.9,95.1,WR,2016,team
83.0,Marquise Goodwin,29.0,68.0,431.0,14.9,84.0,3.0,3.0,0.0,0.0,0.0,0.0,15.0,61.1,4.1,0.3,WR,2016,team
84.0,Kendall Wright,29.0,43.0,416.0,14.3,48.0,6.0,3.0,1.0,15.0,0.0,0.0,11.0,61.1,5.6,0.0,WR,2016,team
85.0,Corey Coleman,33.0,73.0,413.0,12.5,58.0,4.0,3.0,2.0,10.0,0.0,0.0,10.0,60.3,6.0,0.0,WR,2016,team
