rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
1,Todd Gurley II,279,1305,4.7,57,8,13,64,87,788,12.3,6,2,15,319.3,21.3,0.4,FA,2017,RB
2,Le'Veon Bell,321,1291,4.0,27,3,9,85,106,655,7.7,2,2,15,256.6,17.1,5.4,FA,2017,RB
3,Kareem Hunt,272,1327,4.9,69,12,8,53,63,455,8.6,3,1,16,242.2,15.1,82.1,CLE,2017,RB
4,Alvin Kamara,120,728,6.1,74,5,8,81,100,826,10.2,5,1,16,233.4,14.6,100.0,NO,2017,RB
5,Melvin Gordon III,284,1105,3.9,87,5,8,58,83,476,8.2,4,0,16,230.1,14.4,87.8,DEN,2017,RB
6,Mark Ingram II,230,1124,4.9,72,11,12,58,71,416,7.2,0,3,16,220.0,13.8,39.1,NO,2017,RB
7,LeSean McCoy,287,1138,4.0,48,12,6,59,77,448,7.6,2,1,16,204.6,12.8,2.0,FA,2017,RB
8,Leonard Fournette,268,1040,3.9,90,4,9,36,48,302,8.4,1,0,13,194.2,14.9,74.8,TB,2017,RB
9,Ezekiel Elliott,242,983,4.1,30,5,7,26,38,269,10.3,2,1,10,177.2,17.7,99.7,DAL,2017,RB
10,Jordan Howard,276,1122,4.1,53,5,9,23,32,125,5.4,0,1,16,176.5,11.0,18.7,PHI,2017,RB
11,Carlos Hyde,240,938,3.9,61,6,8,59,88,350,5.9,0,1,16,175.0,10.9,6.9,JAC,2017,RB
12,Dion Lewis,180,896,5.0,44,7,6,32,35,214,6.7,3,0,16,165.0,10.3,2.0,FA,2017,RB
13,Devonta Freeman,196,865,4.4,44,5,7,36,47,317,8.8,1,1,14,164.2,11.7,74.2,BAL,2017,RB
14,Lamar Miller,238,888,3.7,21,1,3,36,45,327,9.1,3,0,16,157.5,9.8,0.0,FA,2017,RB
15,Christian McCaffrey,117,435,3.7,40,1,2,80,113,651,8.1,5,1,16,148.6,9.3,47.2,CAR,2017,RB
16,Alex Collins,212,973,4.6,50,6,6,23,36,187,8.1,0,2,15,148.0,9.9,18.8,SEA,2017,RB
17,C.J. Anderson,245,1007,4.1,40,7,3,28,40,224,8.0,1,1,16,147.1,9.2,1.0,FA,2017,RB
18,Frank Gore,261,961,3.7,21,1,3,29,38,245,8.4,1,0,16,144.6,9.0,12.2,FA,2017,RB
19,Marshawn Lynch,207,891,4.3,51,5,7,20,31,151,7.6,0,1,15,144.3,9.6,0.3,FA,2017,RB
20,Latavius Murray,216,842,3.9,46,7,8,15,17,103,6.9,0,0,16,142.4,8.9,22.2,BAL,2017,RB
21,Duke Johnson Jr.,82,348,4.2,19,0,4,74,93,693,9.4,3,2,16,142.1,8.9,7.4,MIA,2017,RB
22,Tevin Coleman,156,628,4.0,52,6,5,27,39,299,11.1,3,0,15,140.9,9.4,18.5,NYJ,2017,RB
23,DeMarco Murray,184,659,3.6,75,3,6,39,47,266,6.8,1,1,15,132.5,8.8,0.1,FA,2017,RB
24,Jerick McKinnon,150,570,3.8,58,2,3,51,68,421,8.3,2,2,16,127.1,7.9,0.8,KC,2017,RB
25,Derrick Henry,176,744,4.2,75,5,5,11,17,136,12.4,1,0,16,124.0,7.8,78.0,TEN,2017,RB
26,Bilal Powell,178,772,4.3,75,9,5,23,33,170,7.4,0,1,15,122.2,8.1,0.0,FA,2017,RB
27,Javorius Allen,153,591,3.9,37,1,4,46,60,250,5.4,2,0,16,120.1,7.5,0.1,FA,2017,RB
28,Orleans Darkwa,171,751,4.4,75,6,5,19,28,116,6.1,0,0,15,118.7,7.9,0.0,FA,2017,RB
29,Jamaal Williams,153,556,3.6,25,1,4,25,34,262,10.5,2,0,16,117.8,7.4,58.2,DET,2017,RB
30,Isaiah Crowell,206,853,4.1,59,5,2,28,42,182,6.5,0,1,16,115.5,7.2,0.1,FA,2017,RB
31,Chris Thompson,64,294,4.6,61,1,2,39,54,510,13.1,4,2,10,112.4,11.2,0.0,FA,2017,RB
32,Joe Mixon,178,626,3.5,25,2,4,30,34,287,9.6,0,2,14,111.3,8.0,98.1,CIN,2017,RB
33,Jay Ajayi,208,873,4.2,71,6,1,24,34,158,6.6,1,2,14,111.1,7.9,7.0,FA,2017,RB
34,Kenyan Drake,133,644,4.8,66,7,3,32,48,239,7.5,1,2,16,110.3,6.9,29.4,LV,2017,RB
35,Jonathan Stewart,198,680,3.4,60,1,6,8,15,52,6.5,1,3,15,109.2,7.3,0.0,FA,2017,RB
36,Giovani Bernard,105,458,4.4,25,5,2,43,60,389,9.0,2,0,16,108.7,6.8,5.4,TB,2017,RB
37,Theo Riddick,84,286,3.4,21,1,3,53,71,444,8.4,2,1,16,101.0,6.3,0.0,FA,2017,RB
38,Rex Burkhead,64,264,4.1,31,2,5,30,36,254,8.5,3,0,10,99.8,10.0,31.5,HOU,2017,RB
39,LeGarrette Blount,173,766,4.4,68,7,2,8,8,50,6.3,1,1,16,99.6,6.2,0.1,FA,2017,RB
40,Ameer Abdullah,165,552,3.3,34,5,4,25,35,162,6.5,1,1,14,99.4,7.1,10.4,CAR,2017,RB
41,Tarik Cohen,87,370,4.3,46,4,2,53,71,353,6.7,1,2,16,91.6,5.7,3.0,CHI,2017,RB
42,Samaje Perine,175,603,3.4,30,1,1,22,24,182,8.3,1,2,16,86.5,5.4,15.2,CIN,2017,RB
43,Matt Forte,103,381,3.7,20,1,2,37,45,293,7.9,1,1,12,83.4,7.0,19.1,FA,2017,RB
44,Matt Breida,105,465,4.4,33,2,2,21,36,180,8.6,1,0,16,82.5,5.2,8.2,BUF,2017,RB
45,Corey Clement,74,321,4.3,28,2,4,10,15,123,12.3,2,0,16,82.4,5.2,0.8,DAL,2017,RB
46,Marlon Mack,93,358,3.8,35,6,3,21,33,225,10.7,1,0,14,82.3,5.9,1.6,IND,2017,RB
47,Austin Ekeler,47,260,5.5,35,3,2,27,35,279,10.3,3,2,16,79.9,5.0,99.9,LAC,2017,RB
48,James White,43,171,4.0,10,0,0,56,72,429,7.7,3,0,14,78.0,5.6,7.9,NE,2017,RB
49,Rod Smith,55,232,4.2,45,1,4,19,23,202,10.6,1,0,15,73.4,4.9,0.0,FA,2017,RB
50,Aaron Jones,81,448,5.5,46,6,4,9,18,22,2.4,0,0,12,71.0,5.9,98.9,GB,2017,RB
