Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Rob Gronkowski(TB),69,105,"1,084",15.7,53,18,8,0,0,0,0,14,158.3,11.3,97.7%
2,Travis Kelce(KC),83,122,"1,038",12.5,44,19,8,2,7,0,0,15,150.5,10.0,100.0%
3,Zach Ertz(ARI),74,110,824,11.1,53,7,8,0,0,0,1,14,128.4,9.2,85.8%
4,Jimmy Graham(CHI),57,96,520,9.1,33,8,10,0,0,0,0,16,114.0,7.1,0.8%
5,Evan Engram(NYG),64,115,722,11.3,35,11,6,1,14,0,0,15,109.6,7.3,28.5%
6,Kyle Rudolph(FA),57,81,532,9.3,34,4,8,0,0,0,0,16,101.2,6.3,0.3%
7,Delanie Walker(FA),74,111,807,10.9,42,9,3,2,-2,1,2,16,100.5,6.3,0.1%
8,Cameron Brate(TB),48,77,591,12.3,35,5,6,0,0,0,0,16,95.1,5.9,2.8%
9,Jack Doyle(FA),80,108,690,8.6,26,4,4,0,0,0,2,15,89.0,5.9,2.2%
10,Jason Witten(FA),63,87,560,8.9,28,3,5,0,0,0,1,16,84.0,5.3,0.1%
11,Tyler Kroft(NYJ),42,62,404,9.6,59,4,7,0,0,0,0,16,82.4,5.2,0.2%
12,Hunter Henry(NE),45,62,579,12.9,34,8,4,0,0,0,0,14,81.9,5.9,65.9%
13,Eric Ebron(FA),53,86,574,10.8,44,6,4,0,0,0,1,16,79.4,5.0,3.0%
14,Vernon Davis(FA),43,69,648,15.1,69,11,3,0,0,0,2,16,78.8,4.9,1.6%
15,Jared Cook(LAC),54,86,688,12.7,35,10,2,0,0,0,1,16,78.7,4.9,50.2%
16,Benjamin Watson(FA),61,79,522,8.6,33,5,4,0,0,0,0,16,76.2,4.8,2.8%
17,O.J. Howard(TB),26,39,432,16.6,58,9,6,0,0,0,2,14,75.2,5.4,1.2%
18,Austin Hooper(CLE),49,65,526,10.7,88,5,3,0,0,0,0,16,70.6,4.4,28.8%
19,Charles Clay(FA),49,74,558,11.4,44,7,2,0,0,0,0,13,67.8,5.2,0.0%
20,Marcedes Lewis(GB),24,48,318,13.3,37,5,5,0,0,0,0,16,63.8,4.0,0.2%
21,George Kittle(SF),43,63,515,12.0,44,8,2,0,0,0,0,15,63.5,4.2,99.7%
22,David Njoku(CLE),32,60,386,12.1,34,8,4,1,1,0,0,16,62.7,3.9,12.9%
23,Garrett Celek(FA),21,33,336,16.0,61,6,4,0,0,0,0,16,57.6,3.6,0.0%
24,Trey Burton(FA),23,31,248,10.8,27,2,5,0,0,0,0,15,56.8,3.8,0.0%
25,Julius Thomas(FA),41,62,388,9.5,27,4,3,0,0,0,0,14,56.8,4.1,0.0%
26,Jesse James(CHI),43,63,372,8.7,32,1,3,0,0,0,0,16,55.2,3.5,0.0%
27,Austin Seferian-Jenkins(FA),50,74,357,7.1,28,2,3,0,0,0,1,13,51.7,4.0,0.0%
28,Ed Dickson(FA),30,48,437,14.6,64,7,1,0,0,0,0,16,49.7,3.1,0.0%
29,Antonio Gates(FA),30,52,316,10.5,27,3,3,0,0,0,0,16,49.6,3.1,0.2%
30,Jermaine Gresham(FA),33,46,322,9.8,21,3,2,0,0,0,0,14,44.2,3.2,0.0%
31,Seth DeValve(FA),33,58,395,12.0,49,7,1,0,0,0,1,16,43.5,2.7,0.0%
