rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Harrison Butker,34.0,38.0,89.5,56.0,0.0,9.0,9.0,13.0,3.0,45.0,48.0,16.0,166.0,10.4,76.6,KC,K,2019
2.0,Wil Lutz,32.0,36.0,88.9,58.0,1.0,9.0,6.0,13.0,3.0,48.0,49.0,16.0,163.0,10.2,3.3,NO,K,2019
3.0,Justin Tucker,28.0,29.0,96.6,51.0,0.0,8.0,9.0,10.0,1.0,57.0,59.0,16.0,153.0,9.6,98.0,BAL,K,2019
4.0,Matt Gay,27.0,35.0,77.1,58.0,0.0,6.0,5.0,11.0,5.0,43.0,48.0,16.0,145.0,9.1,89.8,LAR,K,2019
5.0,Zane Gonzalez,31.0,35.0,88.6,54.0,0.0,12.0,12.0,5.0,2.0,34.0,35.0,16.0,136.0,8.5,2.6,CAR,K,2019
6.0,Josh Lambo,33.0,34.0,97.1,56.0,0.0,12.0,9.0,8.0,4.0,19.0,20.0,16.0,134.0,8.4,3.2,FA,K,2019
7.0,Matt Prater,26.0,31.0,83.9,56.0,0.0,11.0,2.0,6.0,7.0,35.0,36.0,16.0,133.0,8.3,52.8,ARI,K,2019
8.0,Dan Bailey,27.0,29.0,93.1,50.0,0.0,10.0,9.0,5.0,3.0,40.0,44.0,16.0,132.0,8.3,0.0,FA,K,2019
9.0,Brandon McManus,29.0,34.0,85.3,53.0,0.0,6.0,8.0,11.0,4.0,25.0,26.0,16.0,131.0,8.2,44.3,DEN,K,2019
10.0,Joey Slye,25.0,32.0,78.1,55.0,0.0,4.0,5.0,8.0,8.0,31.0,35.0,16.0,130.0,8.1,1.6,WAS,K,2019
11.0,Greg Zuerlein,24.0,33.0,72.7,58.0,0.0,7.0,7.0,5.0,5.0,42.0,42.0,16.0,129.0,8.1,74.2,DAL,K,2019
12.0,Chris Boswell,29.0,31.0,93.5,51.0,1.0,11.0,7.0,9.0,1.0,28.0,28.0,16.0,126.0,7.9,51.0,PIT,K,2019
13.0,Jason Myers,23.0,28.0,82.1,54.0,0.0,6.0,11.0,4.0,2.0,40.0,44.0,16.0,117.0,7.3,22.1,SEA,K,2019
14.0,Randy Bullock,27.0,31.0,87.1,57.0,0.0,10.0,6.0,10.0,1.0,24.0,25.0,16.0,117.0,7.3,10.8,TEN,K,2019
15.0,Robbie Gould,23.0,31.0,74.2,47.0,0.0,9.0,8.0,6.0,0.0,41.0,42.0,13.0,116.0,8.9,22.5,SF,K,2019
16.0,Austin Seibert,25.0,29.0,86.2,53.0,0.0,6.0,9.0,9.0,1.0,30.0,35.0,16.0,116.0,7.3,0.1,DET,K,2019
17.0,Jason Sanders,23.0,30.0,76.7,54.0,0.0,7.0,8.0,5.0,3.0,29.0,30.0,16.0,115.1,7.2,22.6,MIA,K,2019
18.0,Mason Crosby,22.0,24.0,91.7,54.0,1.0,2.0,11.0,7.0,1.0,40.0,41.0,16.0,115.0,7.2,40.7,GB,K,2019
19.0,Ka'imi Fairbairn,20.0,25.0,80.0,54.0,0.0,5.0,8.0,4.0,3.0,40.0,45.0,16.0,110.0,6.9,0.8,HOU,K,2019
20.0,Jake Elliott,22.0,26.0,84.6,53.0,0.0,7.0,8.0,5.0,2.0,35.0,37.0,16.0,109.0,6.8,22.5,PHI,K,2019
21.0,Dustin Hopkins,25.0,30.0,83.3,53.0,0.0,7.0,8.0,8.0,2.0,21.0,22.0,16.0,108.0,6.8,14.5,LAC,K,2019
22.0,Stephen Hauschka,22.0,28.0,78.6,51.0,0.0,5.0,7.0,9.0,1.0,30.0,32.0,16.0,107.0,6.7,0.0,FA,K,2019
23.0,Brett Maher,20.0,30.0,66.7,63.0,0.0,9.0,6.0,1.0,4.0,36.0,36.0,13.0,105.0,8.1,1.9,FA,K,2019
24.0,Eddy Pineiro,23.0,28.0,82.1,53.0,1.0,8.0,9.0,3.0,2.0,27.0,29.0,16.0,103.0,6.4,0.2,NYJ,K,2019
