rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Michael Thomas,149.0,185.0,1725.0,11.6,49.0,17.0,9.0,1.0,-9.0,0.0,0.0,16.0,225.6,14.1,20.6,NO,WR,2019
2.0,Chris Godwin,86.0,121.0,1333.0,15.5,71.0,25.0,9.0,1.0,8.0,0.0,0.0,14.0,190.1,13.6,67.1,TB,WR,2019
3.0,Kenny Golladay,65.0,116.0,1190.0,18.3,75.0,22.0,11.0,0.0,0.0,0.0,1.0,16.0,183.0,11.4,51.8,DET,WR,2019
4.0,Cooper Kupp,94.0,134.0,1161.0,12.4,66.0,21.0,10.0,2.0,4.0,0.0,0.0,16.0,176.5,11.0,100.0,LAR,WR,2019
5.0,Julio Jones,99.0,157.0,1394.0,14.1,54.0,21.0,6.0,2.0,-3.0,0.0,0.0,15.0,175.1,11.7,60.7,ATL,WR,2019
6.0,DeVante Parker,72.0,128.0,1202.0,16.7,51.0,21.0,9.0,0.0,0.0,0.0,0.0,16.0,174.2,10.9,64.3,MIA,WR,2019
7.0,Amari Cooper,79.0,119.0,1189.0,15.1,53.0,17.0,8.0,1.0,6.0,0.0,0.0,16.0,167.5,10.5,97.7,DAL,WR,2019
8.0,Mike Evans,67.0,118.0,1157.0,17.3,67.0,17.0,8.0,0.0,0.0,0.0,0.0,13.0,165.7,12.7,97.8,TB,WR,2019
9.0,DeAndre Hopkins,104.0,150.0,1165.0,11.2,43.0,16.0,7.0,2.0,18.0,0.0,0.0,15.0,165.5,11.0,69.3,HOU,WR,2019
10.0,A.J. Brown,52.0,84.0,1051.0,20.2,91.0,15.0,8.0,3.0,60.0,1.0,0.0,16.0,165.1,10.3,97.8,TEN,WR,2019
11.0,Keenan Allen,104.0,149.0,1199.0,11.5,45.0,15.0,6.0,3.0,16.0,0.0,0.0,16.0,157.5,9.8,99.3,LAC,WR,2019
13.0,Julian Edelman,100.0,153.0,1117.0,11.2,44.0,13.0,6.0,8.0,27.0,0.0,1.0,16.0,156.3,9.8,13.1,NE,WR,2019
14.0,Jarvis Landry,83.0,138.0,1174.0,14.1,65.0,20.0,6.0,1.0,10.0,0.0,0.0,16.0,154.4,9.7,72.5,CLE,WR,2019
15.0,Tyler Lockett,82.0,110.0,1057.0,12.9,44.0,15.0,8.0,4.0,-5.0,0.0,0.0,16.0,153.2,9.6,97.5,SEA,WR,2019
17.0,Courtland Sutton,72.0,124.0,1112.0,15.4,70.0,18.0,6.0,3.0,17.0,0.0,0.0,16.0,150.4,9.4,67.5,DEN,WR,2019
18.0,Stefon Diggs,63.0,94.0,1130.0,17.9,66.0,20.0,6.0,5.0,61.0,0.0,3.0,15.0,149.1,9.9,100.0,MIN,WR,2019
19.0,John Brown,72.0,115.0,1060.0,14.7,53.0,17.0,6.0,2.0,7.0,0.0,0.0,15.0,147.8,9.9,1.3,BUF,WR,2019
20.0,Michael Gallup,66.0,113.0,1107.0,16.8,62.0,18.0,6.0,0.0,0.0,0.0,0.0,14.0,146.7,10.5,72.8,DAL,WR,2019
22.0,Robert Woods,90.0,139.0,1134.0,12.6,48.0,14.0,2.0,17.0,115.0,1.0,0.0,15.0,142.9,9.5,29.9,LAR,WR,2019
23.0,Calvin Ridley,63.0,93.0,866.0,13.7,36.0,12.0,7.0,2.0,34.0,0.0,0.0,13.0,134.0,10.3,56.8,ATL,WR,2019
24.0,Terry McLaurin,58.0,93.0,919.0,15.8,75.0,15.0,7.0,0.0,0.0,0.0,0.0,14.0,133.9,9.6,97.0,WAS,WR,2019
25.0,Tyler Boyd,90.0,148.0,1046.0,11.6,47.0,12.0,5.0,4.0,23.0,0.0,2.0,16.0,132.9,8.3,71.3,CIN,WR,2019
26.0,Deebo Samuel,57.0,81.0,802.0,14.1,42.0,17.0,3.0,14.0,159.0,3.0,1.0,15.0,132.1,8.8,98.8,SF,WR,2019
28.0,Tyreek Hill,58.0,89.0,860.0,14.8,57.0,11.0,7.0,8.0,23.0,0.0,0.0,12.0,130.3,10.9,100.0,KC,WR,2019
29.0,Davante Adams,83.0,127.0,997.0,12.0,58.0,12.0,5.0,0.0,0.0,0.0,1.0,12.0,129.7,10.8,100.0,GB,WR,2019
30.0,D.K. Metcalf,58.0,100.0,900.0,15.5,54.0,13.0,7.0,2.0,11.0,0.0,3.0,16.0,129.1,8.1,98.9,SEA,WR,2019
32.0,Emmanuel Sanders,66.0,97.0,869.0,13.2,75.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,124.3,7.3,46.6,CIN,WR,2019
33.0,Darius Slayton,48.0,84.0,740.0,15.4,55.0,12.0,8.0,0.0,0.0,0.0,0.0,14.0,122.0,8.7,4.3,NYG,WR,2019
34.0,Jamison Crowder,78.0,122.0,833.0,10.7,41.0,11.0,6.0,1.0,4.0,0.0,0.0,16.0,119.7,7.5,23.6,NYJ,WR,2019
35.0,Cole Beasley,67.0,106.0,778.0,11.6,51.0,10.0,6.0,0.0,0.0,0.0,0.0,15.0,117.8,7.9,63.2,BUF,WR,2019
36.0,Curtis Samuel,54.0,105.0,627.0,11.6,44.0,8.0,6.0,19.0,130.0,1.0,0.0,16.0,117.7,7.4,15.7,CAR,WR,2019
37.0,Mike Williams,49.0,90.0,1001.0,20.4,56.0,17.0,2.0,1.0,2.0,0.0,0.0,15.0,112.3,7.5,91.9,LAC,WR,2019
38.0,Robby Anderson,52.0,96.0,779.0,15.0,92.0,13.0,5.0,1.0,4.0,0.0,0.0,16.0,110.3,6.9,42.2,NYJ,WR,2019
39.0,Chris Conley,47.0,90.0,775.0,16.5,70.0,13.0,5.0,0.0,0.0,0.0,0.0,16.0,109.5,6.8,0.4,JAC,WR,2019
40.0,Diontae Johnson,59.0,92.0,680.0,11.5,45.0,7.0,5.0,4.0,41.0,0.0,2.0,16.0,104.1,6.5,98.1,PIT,WR,2019
41.0,Golden Tate,49.0,85.0,676.0,13.8,64.0,10.0,6.0,1.0,16.0,0.0,1.0,11.0,103.2,9.4,0.1,NYG,WR,2019
42.0,Larry Fitzgerald,75.0,109.0,804.0,10.7,54.0,10.0,4.0,0.0,0.0,0.0,1.0,16.0,102.4,6.4,0.3,ARI,WR,2019
43.0,Breshad Perriman,36.0,69.0,645.0,17.9,44.0,15.0,6.0,2.0,16.0,0.0,0.0,14.0,102.1,7.3,2.5,TB,WR,2019
44.0,Tyrell Williams,42.0,64.0,651.0,15.5,46.0,12.0,6.0,0.0,0.0,0.0,0.0,14.0,101.1,7.2,4.8,OAK,WR,2019
45.0,Marquise Brown,46.0,71.0,584.0,12.7,83.0,8.0,7.0,0.0,0.0,0.0,0.0,14.0,100.4,7.2,92.8,BAL,WR,2019
46.0,Christian Kirk,68.0,108.0,709.0,10.4,69.0,6.0,3.0,10.0,93.0,0.0,0.0,13.0,100.2,7.7,79.5,ARI,WR,2019
47.0,Randall Cobb,55.0,83.0,828.0,15.1,59.0,15.0,3.0,3.0,11.0,0.0,1.0,15.0,99.9,6.7,7.6,DAL,WR,2019
